Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,index,Grade_1_Repetition,Grade_1_Dropout,Grade_2_Repetition,Grade_2_Dropout,Grade_3_Repetition,Grade_3_Dropout,Grade_4_Repetition,Grade_4_Dropout,Grade_5_Repetition,Grade_5_Dropout,Grade_6_Repetition,Grade_6_Dropout,Grade_7_Repetition,Grade_7_Dropout,Grade_8_Repetition,Grade_8_Dropout,Grade_9_Repetition,Grade_9_Dropout,Grade_10_Repetition,Grade_10_Dropout,Grade_11_Repetition,Grade_11_Dropout,Grade_12_Repetition,Grade_12_Dropout
Banteay Meanchey,2018,121,894,1053,580,252,113,3270,1518,157,64,2972,1444,85,24,2594,1200,63,18,2166,1044,14,5,1829,901,16,6,1501,772,12,4,1229,602,12,4,904,421,9,3,784,398,16,4,515,276,0,0,427,215,1,0,358,167,7,1,21942,10611,392,133,0,38,430,554,31,0,0,6.0,3.3,4.7,3.7,3.4,2.0,2.5,6.4,1.6,3.4,1.3,6.4,2.2,17.3,1.6,14.0,2.8,18.4,0.6,13.8,0.7,9.6,5.5,39.7
Battambang,2018,45,406,779,488,165,82,1028,487,3,0,828,386,8,0,689,352,10,4,620,310,5,1,608,312,7,0,575,292,4,2,545,277,14,2,547,250,9,1,569,286,14,2,540,285,5,3,529,284,2,1,453,245,17,7,8804,4371,98,23,12,31,228,467,40,1,1,11.7,4.5,8.0,3.6,5.7,5.7,4.0,5.2,2.7,6.3,2.3,8.6,3.3,19.9,2.2,16.5,4.3,17.0,1.2,16.4,1.2,11.3,4.6,29.3
Kampong Cham,2018,25,158,214,130,34,14,545,278,32,10,528,253,27,13,455,215,17,6,337,145,8,3,381,177,0,0,286,145,4,4,159,72,2,1,142,66,2,0,106,54,0,0,89,48,1,0,71,33,0,0,58,28,0,0,4010,1969,93,37,5,23,74,103,9,0,2,14.2,4.2,10.9,4.7,8.9,4.6,7.4,4.6,5.8,4.4,3.9,4.9,3.3,16.6,2.6,15.2,3.3,17.2,2.0,18.1,0.6,9.5,5.3,38.1
Kampong Chhnang,2018,25,190,356,242,87,46,499,261,3,1,426,191,3,1,246,121,0,0,278,124,0,0,254,119,0,0,202,89,0,0,211,80,5,1,182,68,0,0,215,82,1,0,119,36,2,0,165,75,0,0,176,73,1,1,4505,2055,15,4,0,17,195,140,3,1,3,10.6,1.4,7.6,2.0,6.3,2.2,4.5,3.0,2.8,2.7,2.0,4.0,2.4,14.1,1.5,15.1,2.3,15.7,0.8,17.3,0.6,10.2,5.2,34.6
Kampong Speu,2018,50,328,444,279,109,41,1091,552,29,12,825,412,21,7,741,376,12,5,626,312,5,3,502,261,9,4,491,276,18,13,288,133,4,1,246,118,2,2,206,121,1,0,105,55,0,0,58,30,0,0,38,19,0,0,8134,4179,101,47,4,20,130,271,19,0,4,8.7,2.0,6.3,1.2,4.5,2.8,3.3,3.5,2.4,4.9,3.1,3.5,1.3,19.2,0.7,18.6,2.2,22.7,0.3,20.3,0.2,10.4,1.9,13.7
Kampong Thom,2018,15,58,110,71,34,18,233,91,1,0,191,84,1,0,208,106,0,0,147,68,0,0,151,63,0,0,119,55,0,0,71,26,0,0,83,41,0,0,56,22,3,1,55,25,0,0,29,19,0,0,14,6,0,0,1699,754,5,1,2,2,31,70,5,0,5,13.2,4.6,9.3,3.7,7.4,5.9,4.9,6.1,3.7,6.4,2.6,5.3,3.5,17.6,1.4,13.0,3.3,12.9,0.6,12.8,0.7,6.0,2.2,23.9
Kampot,2018,48,296,543,304,61,32,2074,1079,48,30,1230,632,27,13,877,491,30,18,797,418,10,5,697,369,8,3,559,296,4,0,565,307,7,5,388,219,0,0,384,201,1,0,369,184,0,0,304,153,0,0,346,174,23,11,9588,5022,158,85,12,104,147,259,21,0,6,8.6,2.2,5.0,2.3,4.3,4.4,2.8,3.0,2.1,5.7,1.7,5.7,2.2,17.3,1.4,17.2,3.5,17.1,1.1,17.8,0.7,9.0,2.1,20.5
Kandal,2018,63,419,694,395,284,146,1586,815,103,39,1172,580,93,32,892,437,51,18,788,375,35,12,688,338,15,4,557,289,19,4,757,294,6,2,620,243,5,4,526,225,3,1,407,182,3,2,380,173,3,0,350,167,10,7,10697,5119,346,125,22,47,201,389,30,5,7,13.1,1.0,9.9,1.7,8.1,3.3,6.5,2.9,5.0,4.4,3.6,3.5,3.3,15.4,1.9,13.7,2.6,15.5,1.1,12.9,0.8,6.4,5.7,27.4
Kep,2018,4,18,24,14,5,4,289,143,0,0,102,56,0,0,90,55,0,0,104,64,0,0,82,46,0,0,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,446,0,0,11,0,7,6,0,0,8,9.8,,5.8,,5.3,0.9,4.3,6.5,2.3,7.8,3.1,10.8,4.3,22.2,0.8,20.6,3.4,17.9,1.7,9.5,0.3,8.5,0.8,4.7
Koh Kong,2018,18,110,188,99,24,11,732,364,12,2,577,294,20,6,395,201,1,0,373,196,3,0,282,137,3,3,235,145,0,0,137,57,0,0,117,56,1,0,78,34,0,0,17,7,0,0,0,0,0,0,0,0,0,0,3259,1674,40,11,0,29,137,21,1,0,9,7.5,7.7,5.3,8.6,3.7,6.4,1.8,8.1,1.3,0.0,0.8,6.7,0.9,14.5,0.9,11.8,3.9,20.2,0.5,14.4,0.1,4.4,2.1,70.5
Kratie,2018,8,44,14,13,15,4,764,463,11,9,276,174,0,0,156,91,2,1,80,46,0,0,43,20,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,880,13,10,0,1,4,8,1,0,10,13.3,5.4,9.6,5.9,7.5,7.9,6.1,8.6,4.6,9.7,3.0,12.3,2.4,22.3,0.9,19.3,2.6,21.2,0.9,13.7,0.6,8.5,4.6,45.6
Mondul Kiri,2018,5,17,20,17,16,12,66,19,0,0,43,15,0,0,29,9,0,0,30,13,0,0,23,13,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,140,0,0,0,6,7,6,1,0,11,8.0,7.1,6.0,4.7,4.9,7.5,4.0,10.2,1.4,11.6,1.5,8.6,3.1,17.6,2.8,12.3,3.7,12.3,1.1,12.7,0.9,4.3,0.6,6.4
Otdar Meanchey,2018,6,45,35,25,5,3,314,130,8,4,248,120,4,1,170,70,6,3,197,100,0,0,165,77,0,0,107,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,662,18,8,1,4,28,2,0,0,12,14.2,5.8,10.1,4.7,8.1,6.1,5.3,9.3,4.2,6.5,2.2,14.9,3.4,17.5,1.7,14.2,5.5,19.7,2.3,13.4,0.2,5.5,0.9,11.3
Pailin,2018,18,105,151,113,45,16,425,195,14,5,313,158,6,1,262,127,1,0,191,98,1,0,188,101,5,1,148,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245,1098,27,7,0,11,50,88,2,0,13,9.9,4.1,7.6,6.0,8.0,7.2,5.0,5.1,3.3,7.4,0.8,6.4,7.3,17.5,3.4,11.3,2.2,17.7,1.8,9.8,1.7,5.8,10.3,36.7
Phnom Penh,2018,530,4385,6488,3910,3562,2108,12845,6420,245,111,10761,5286,173,75,9169,4537,159,71,9234,4680,105,41,8458,4265,209,93,7104,3663,65,33,4974,2481,45,14,4495,2290,29,9,4354,2214,70,16,3716,1794,6,1,3274,1695,5,1,3087,1613,109,42,101287,50777,1220,507,102,380,1485,4146,367,8,14,5.6,3.6,4.0,2.8,2.7,3.3,2.0,1.9,1.8,3.2,0.8,5.0,3.2,11.7,2.3,4.9,3.3,10.1,1.1,8.0,1.1,,6.9,44.1
Preah Sihanouk,2018,45,358,521,274,136,87,992,482,66,27,902,442,30,12,642,291,19,4,625,292,5,2,583,299,9,5,479,223,5,0,506,231,22,2,420,219,7,4,405,193,12,6,317,145,0,0,262,121,0,0,263,118,5,2,8938,4327,180,64,4,15,166,320,16,0,15,6.1,1.9,3.7,2.3,3.0,0.4,1.9,6.5,1.7,2.7,1.7,11.2,5.2,23.2,1.7,16.5,3.7,22.6,1.0,12.7,0.6,7.5,2.0,20.0
Preah Vihear,2018,4,18,19,16,1,1,63,23,0,0,30,14,0,0,31,10,3,0,24,12,0,0,22,10,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,123,3,0,1,0,15,3,0,0,16,17.1,4.0,10.2,4.6,7.9,3.7,5.0,7.6,2.8,9.3,1.8,9.2,1.6,16.4,1.0,10.6,1.3,13.4,0.1,22.6,0.0,14.6,1.4,13.3
Prey Veng,2018,7,16,42,25,14,8,23,14,0,0,16,9,0,0,14,8,0,0,17,10,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,31,0,0,45,22,0,0,43,25,0,0,349,206,0,0,0,7,6,26,3,0,17,11.9,1.8,8.3,1.0,6.5,2.4,5.2,2.9,4.4,3.3,3.1,2.9,0.8,16.1,0.4,16.7,1.6,19.2,0.9,17.0,0.8,9.7,2.9,17.7
Pursat,2018,8,58,69,68,17,11,436,240,0,0,113,70,0,0,125,55,0,0,114,67,0,0,92,52,0,0,151,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,1064,0,0,0,0,22,46,1,0,18,14.8,4.2,9.1,4.3,7.2,3.5,5.7,5.1,3.8,4.4,2.6,6.6,1.9,17.5,1.3,16.2,2.7,14.6,1.1,19.4,0.6,11.0,4.5,37.2
Ratanak Kiri,2018,14,134,175,109,46,25,438,198,14,5,386,175,2,1,287,146,11,6,278,132,5,2,198,95,3,1,146,68,0,0,125,50,0,0,96,39,0,0,101,39,0,0,49,21,0,0,50,29,0,0,50,24,4,3,3473,1431,39,18,0,3,83,89,0,0,19,7.5,11.7,5.3,10.2,3.6,9.8,2.6,13.8,2.5,14.1,1.2,14.4,0.7,19.5,0.6,1.0,4.3,17.3,0.2,8.5,0.3,7.6,0.0,14.0
Siemreap,2018,102,651,1037,699,267,181,1595,747,38,15,1139,546,13,5,907,433,6,1,953,473,7,4,836,390,9,3,767,365,5,2,583,287,8,3,534,262,6,4,440,214,5,1,369,159,2,0,299,166,0,0,252,130,7,7,15204,7437,106,45,5,53,322,583,74,0,20,13.8,3.4,9.2,5.7,7.1,4.5,4.8,1.5,3.6,5.0,2.7,8.7,4.6,15.4,2.9,10.9,4.4,13.6,2.3,4.2,1.2,6.1,3.6,24.0
Stung Treng,2018,4,15,17,10,2,2,47,22,6,3,36,14,3,2,27,5,1,0,18,9,0,0,13,6,0,0,13,6,0,0,5,1,0,0,2,1,0,0,1,1,0,0,6,4,0,0,2,1,0,0,5,2,0,0,283,132,10,5,0,3,10,4,0,0,21,19.6,4.6,13.2,6.7,8.6,10.0,6.5,7.2,4.2,13.7,2.6,22.6,0.7,18.4,0.4,11.7,1.2,12.3,0.4,5.0,0.0,4.9,1.0,5.3
