Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | 6-11,Table_14 | Sex-Ratio of Population | 12-14,Table_14 | Sex-Ratio of Population | 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2 - shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | w/o Water,Table_15 | Percentage of Schools | w/o Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | Lower Secondary,Table_16 | Percentage of Total Students in | Upper Secondary,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.,Table_17 | % Repeaters (Total) | U.Sec.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.,Table_17 | % Over-age Enrollment (Total) | U.Sec.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.,Table_17 | % Repeaters (Girl) | U.Sec.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to Lower Sec. 2016/2017 | Total,Table_18 | Transition Rate to Lower Sec. 2016/2017 | Girl,Table_18 | Transition Rate to Upper Sec. 2016/2017 | Total,Table_18 | Transition Rate to Upper Sec. 2016/2017 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,812,5,4513,21,147692,73756,4081,1324,4699,2370,916,215,5615,2585,319,410,55,28,303,0,29,302,532,297,47.9,22.7,404,82,410,86,324,2185,10,10,18,129,1,4,0,0,17888,8477,1203,404,17555,8313,829,290,17153,8177,594,205,15762,7685,442,126,14052,7130,254,70,12505,6418,142,36,10575,5435,200,55,8456,4510,53,18,6879,3609,201,51,4717,2534,12,7,3456,1861,9,2,3137,1689,142,60,16685,13360,94915,11294,10375,6014,25910,4894,4705,2864,11310,1878,11.9,18.9,16.6,64,705,2763,1104,49,0,14,201,431,228,39,0,0,2,20,44,0,0,1238,5182,903,4138,327,1030,8,14,30,93,300,233,550,3520,21,94,732,1042,760,894,319,268,17973,7658,1.3,65,137,137,16,32,41,82,81,93,757,587,5,1,5,4,23998,6054011,28,108,17,12,118,15880,7765,99861,48523,56441,27268,60145,29109,104.5,105.8,107,106.6,181.9,5.8,6.9,1.5,6.4,4.3,5.6,37.3,3.6,65.5,36.6,31.4,26.3,32.7,42,1.3,1.3,10.5,64.3,17.5,7.7,16.3,46,3.6,1.8,1.4,11.9,18.9,16.6,2.4,0.9,1.1,10.9,16.2,13.8,105.1,104,84.1,85.5,19.9,17.7,83.9,86.3,71.2,74.2,89.5,6.4,4,92,4.6,3.4,91,3.5,5.5,91.8,2.9,5.2,93.3,1.9,4.8,92.4,1.1,6.5,80.4,1.9,17.7,83,0.7,16.3,77.3,3,19.7,85.1,0.3,14.6,90.9,0.3,8.9,45.1,5.1,49.8
Battambang,1112,7,7379,11,247650,122323,12135,4458,6924,4112,1823,677,8747,4789,356,637,93,26,574,6,107,339,696,300,44.4,21.1,670,211,637,152,485,3540,63,106,41,364,3,20,0,0,34407,16064,4174,1631,30827,14413,2431,902,29902,14003,1718,579,27770,13452,1055,383,24763,12229,596,203,21710,10926,497,162,17384,8983,557,163,13745,7275,332,110,10716,5760,347,121,7602,4167,77,32,5761,3158,42,11,5431,3032,309,161,30233,23419,169379,23600,16827,8753,41845,9300,7525,3863,18794,4173,13.9,22.2,22.2,99,1251,3397,1981,85,1,47,423,700,558,66,1,5,25,22,16,2,0,1807,7310,1339,5857,447,1430,21,23,77,138,375,273,485,5372,11,229,622,1301,900,1354,550,350,56559,8945,1.23,80,174,109,28,44,95,108,105,126,1073,1019,5,1,0,2,28343,6290281,29,100,23,76,819,23883,11525,151819,73376,88087,42657,95316,45868,107.2,106.9,106.5,107.8,222.7,6.2,7.9,1.6,6.6,4.8,6.6,51.6,9.6,62.6,27,35.8,28.3,33.6,46.1,1.4,1.2,7.1,68.4,16.9,7.6,20.8,54.8,6.2,3,2.3,13.9,22.2,22.2,4.8,1.8,2,12.5,19.9,20.3,126.6,125.2,98.1,99.4,22.5,20.6,81.2,83.6,75.5,77.5,83,12.2,4.8,87.7,7.6,4.8,89.7,5.8,4.5,90.8,4,5.2,90.7,2.5,6.8,87.9,2.4,9.7,79.5,3.3,17.2,81.3,2.6,16.1,79.8,3.5,16.7,86.6,1.2,12.2,92.9,0.8,6.3,52.6,6.6,40.8
Kampong Cham,798,32,5792,118,220990,109761,15147,5467,5768,3347,1702,622,7470,3969,270,406,80,42,338,0,138,264,481,310,39.1,25.5,428,99,406,64,342,2908,43,66,84,722,10,66,1,19,27752,12658,4138,1667,26290,12156,2998,1068,24746,11801,2291,793,23024,11212,1737,597,21040,10419,1265,424,19141,9605,742,243,16510,8740,658,220,13984,7474,342,113,11447,6198,421,118,8934,4965,150,59,6550,3584,51,20,6220,3449,354,145,23614,17724,141993,24549,15852,9337,41941,8442,8784,5613,21704,3670,17.3,20.1,16.9,214,1732,3115,685,20,0,52,595,866,167,22,0,6,20,21,14,1,0,1485,6367,1398,6105,86,261,1,1,68,59,269,144,216,4541,118,257,309,979,497,667,343,328,12241,7474,1.79,20,131,45,9,30,44,62,64,77,608,518,7,2,2,0,19439,5125731,16,70,7,14,570,18942,9237,121160,59085,68493,33195,71096,33846,105.1,105.1,106.3,110.1,276.9,7.2,9.4,1.9,8,5.7,7.3,42.4,17.3,60.3,38.8,38.3,29.6,38.2,48.7,1.3,1.8,6.9,64.3,19,9.8,22.8,53.1,9.3,3.4,2.6,17.3,20.1,16.9,7.1,2,1.9,16.8,17.7,14.9,124.7,119,93.6,94.3,24.9,20.8,83.2,87.7,79.4,83.1,82.3,14.6,3.1,84.6,11.3,4.1,86.5,9.3,4.2,87.4,7.7,5,88.8,6.1,5.1,87.6,3.9,8.6,80.7,3.9,15.4,83.2,2.6,14.2,78.6,3.8,17.6,83.2,1.9,14.9,90.7,0.8,8.6,43,6,51
Kampong Chhnang,461,0,3195,6,117345,59120,5256,1809,3502,1665,672,176,4174,1841,110,275,60,16,183,7,43,92,148,100,49.3,22.1,331,74,275,48,227,1664,10,17,24,198,9,37,0,0,13096,6194,1489,600,13041,6155,1081,387,13294,6465,797,266,12603,6180,569,185,11429,5751,353,108,10651,5431,220,63,9457,4847,223,41,8116,4425,79,15,7047,3824,113,33,4952,2747,41,10,3679,2012,30,8,3444,1816,261,93,11607,10328,74114,7407,9234,5358,24620,5299,4911,2728,12075,2715,10,21.5,22.5,31,672,2044,623,28,0,9,158,337,131,20,0,0,0,12,15,3,0,808,3534,738,3350,66,176,4,8,18,41,135,100,126,2415,6,67,337,481,374,376,233,146,31431,25712,2.2,25,133,87,17,49,68,151,153,143,447,399,6,1,1,0,21552,5607584,19,63,14,14,294,11358,5557,71706,35042,40470,19625,41526,19824,104.4,104.6,106.2,109.5,254.5,7.6,9.1,1.8,7.7,5.2,6.9,39.7,9.3,32.1,21.7,33.5,28.1,36.7,48.6,1.3,2.2,5.6,63.2,21,10.3,16.1,44.1,6.1,1.7,2.7,10,21.5,22.5,4.4,0.7,1.7,9,19.6,18.1,102.2,100.7,90.9,90.2,11,10.4,86.8,90.2,75.6,77.2,88.1,11,0.9,91.1,7.9,1,92,6.1,1.9,92.1,4.7,3.1,94.6,3.2,2.2,93.9,2.1,4.1,83.8,2.3,13.9,86.3,1,12.7,84.6,1.7,13.6,83.9,0.9,15.2,89.9,0.8,9.2,45.6,8.5,45.9
Kampong Speu,586,4,4117,8,170154,83710,5890,2188,4431,1924,770,146,5201,2070,179,313,70,24,264,0,47,173,178,116,43.2,22.5,408,49,313,48,265,2264,15,21,29,257,2,12,1,11,19281,9021,1860,704,19301,9023,1196,429,20139,9645,831,320,18868,9163,588,225,17869,8953,442,178,15929,7768,460,179,14102,7317,201,54,11266,5963,58,17,9693,4965,168,41,6242,3144,3,1,4530,2280,9,3,4019,1958,74,37,17421,14909,111387,11103,13901,7102,35061,7694,6239,3278,14791,2846,10,21.9,19.2,87,1003,2213,1087,38,0,16,204,305,220,25,0,3,4,2,0,0,0,1159,5043,1077,4808,82,235,0,0,39,43,263,174,225,3273,8,143,176,1022,608,823,351,260,20133,9288,1.35,70,289,204,21,42,72,235,236,219,579,571,6,1,4,0,19403,5460059,13,105,7,22,551,16920,8319,108961,53535,61387,29772,61809,29091,103.4,103.5,106.2,112.5,290.4,7.6,8.9,2,8.6,5.6,7,45.1,8,30.4,19.8,38.4,32.7,41.3,52,1.3,1.4,5.2,65.5,20.6,8.7,14.8,39.8,4.8,1.2,0.6,10,21.9,19.2,3.8,0.6,0.6,8.8,19.7,16,103,100,88.1,87.1,14.4,12.9,85.9,88.3,71.8,71.4,87,8.9,4,93.8,5.8,0.4,92.6,4.2,3.2,94.3,3.2,2.5,93,2.7,4.3,94.5,2.8,2.6,80.6,1.4,18,84.8,0.5,14.7,80.3,1.9,17.8,84.9,0.1,15,94.9,0.2,4.9,75,2,23
Kampong Thom,770,1,4519,13,153399,77313,9279,3385,4407,2379,727,192,5134,2571,196,483,66,25,304,6,122,196,289,177,33.8,21.2,520,138,483,75,408,2506,74,96,46,311,2,12,0,0,19643,9130,3018,1139,18327,8719,1839,729,17702,8436,1349,519,16304,7964,1049,293,15151,7582,619,222,13717,7349,399,147,12107,6390,333,115,9454,5221,132,40,7811,4216,308,84,5700,3193,101,43,4144,2289,14,5,3879,2102,118,49,16625,13627,100844,13578,11774,5258,29372,7490,5599,3072,13723,3167,13.5,25.5,23.1,93,734,2379,1140,55,0,15,133,315,238,24,0,4,0,19,45,5,0,1349,5228,1232,4973,113,249,4,6,31,94,209,118,151,3503,13,102,438,738,405,466,371,345,20348,10861,1.28,51,131,73,12,24,91,152,148,146,732,631,6,2,6,2,23691,5284649,24,199,13,20,463,14755,7147,94515,45965,52625,25500,53454,25252,106.5,105.6,106.4,111.7,199.2,5.7,6.7,1.8,6.8,4.5,5.9,39.5,15.8,37.5,23,34.8,29.9,33.9,43.8,1.3,1.3,6.2,65.7,19.1,8.9,14.2,50.1,8.2,2.6,1.7,13.5,25.5,23.1,6.2,1.5,1.3,12.8,23.4,20.2,112.7,111.8,92.4,93.4,18,16.5,86,88.4,76.8,79.8,81.9,15,3.1,88,9.9,2.1,87.6,7.7,4.6,89.7,6.5,3.9,89.6,4.2,6.2,87.9,2.9,9.2,78.7,2.8,18.5,86,1.5,12.5,80.4,4.2,15.3,85.5,2.1,12.4,93,0.3,6.7,68.9,3.3,27.9
Kampot,600,1,3701,5,131891,64666,4482,1444,4715,2298,931,176,5646,2474,192,309,76,23,192,0,289,187,158,157,45.4,24,504,29,309,63,246,1763,105,137,153,1309,30,159,1,8,14052,6474,1130,411,13578,6427,763,252,13783,6521,614,187,13294,6498,376,125,12949,6402,299,108,11605,5829,194,63,11667,5845,315,81,9824,5020,183,42,8699,4380,318,61,6345,3272,76,24,4932,2510,54,19,4323,2166,160,71,12922,10981,79261,7897,11352,6474,30190,6552,6269,3404,15600,3206,10,21.7,20.6,59,796,2575,1066,48,0,16,175,416,259,33,0,1,4,9,0,0,0,960,4336,910,4192,47,135,3,9,27,57,212,124,121,3120,5,129,298,792,495,435,368,285,14804,7949,1.31,40,205,68,16,46,125,207,198,262,582,530,6,1,1,0,20891,5352721,3,49,3,10,207,12650,6130,83259,40337,48161,23251,48948,23301,106.4,106.4,107.1,110.1,219.8,7.9,9.4,1.6,7.2,5.2,6.2,32,48.2,26.3,26.2,28,23.4,35.6,42.3,1.2,1.3,5.2,60.1,22.9,11.8,16.5,43.8,4.3,2.7,1.9,10,21.7,20.6,3,1.2,1.4,9.1,18.7,17,102.2,98.9,86.8,85.5,15,13.5,88.4,91.7,74.6,78.6,87.8,7.7,4.5,92.9,5.4,1.7,91.8,4.4,3.8,92.8,2.8,4.5,91.3,2.4,6.3,93.8,1.5,4.6,80.6,2.6,16.8,83.9,1.8,14.2,77.3,3.8,18.9,83.9,1.3,14.8,90.5,1.2,8.3,66.6,4,29.4
Kandal,743,21,6569,36,246514,120584,16008,5525,7195,3992,1491,405,8686,4397,229,374,102,38,349,0,216,204,387,225,50.7,26.3,478,120,374,76,636,5101,82,177,113,1279,17,96,4,53,28741,13220,4018,1482,28138,12766,3145,1059,28633,13224,2449,834,27086,13002,1772,578,24107,11872,1302,431,21300,10371,866,276,19032,9584,832,259,15656,8314,366,125,13561,7221,474,164,10401,5592,144,52,7574,4116,102,28,7411,3917,538,237,24723,21590,158005,19931,18200,10416,48249,9305,10257,6150,25386,4968,12.6,19.3,19.6,84,1722,3471,1774,123,0,30,429,629,319,76,0,3,7,18,33,2,0,1685,7452,1647,7359,37,90,1,3,66,73,278,204,682,5051,36,288,405,1019,715,818,422,343,81112,33078,1.23,60,230,97,42,96,131,252,248,246,732,611,6,1,50,0,18165,7462739,4,9,3,2,230,22214,10768,138244,66853,80045,38537,88891,42481,106.3,106.8,107.7,109.2,331.8,9.7,11.7,2.3,10,6.8,8.8,47,29.1,52.1,30.3,34.3,28.4,37.5,48.8,1.3,1.2,6,64.1,19.6,10.3,17.2,50.6,8.6,3.5,3.1,12.6,19.3,19.6,6.3,2.2,2.3,11.7,16.1,16.2,111.3,109,97.2,96.8,12.7,11.2,87.5,91.8,77.3,80.8,86.1,13.8,0,88.6,10.6,0.8,89.6,8.7,1.7,89.9,7,3.1,90.9,5.8,3.3,91.6,4.2,4.3,80.6,4.4,15,85.1,2.4,12.5,80.7,3.6,15.8,81.6,1.6,16.8,88.6,1.3,10.1,50.5,7.6,41.9
Kep,50,0,283,7,8615,4253,282,99,452,234,90,17,542,251,22,22,4,2,10,0,12,22,22,21,44.7,20.3,45,4,22,6,16,108,6,9,6,51,0,0,0,0,962,443,81,33,849,411,39,13,880,470,27,11,797,392,11,3,729,354,9,5,701,338,21,5,680,321,43,13,591,282,13,2,496,250,18,4,423,217,15,9,354,197,4,0,255,131,1,1,881,751,4918,524,637,361,1767,370,408,235,1032,234,10.7,20.9,22.7,4,20,273,150,4,0,0,5,44,38,3,0,0,0,0,5,0,0,85,415,85,415,0,0,0,0,1,3,13,8,9,252,7,5,30,49,30,38,17,19,15695,7323,2.54,2,13,5,0,0,6,19,20,16,36,32,6,1,0,0,27211,4173463,0,0,0,0,40,1012,484,6694,3195,3897,1856,4039,1916,109.1,109.5,110,110.8,172.3,9,10.8,1.7,8.3,5,5.7,20,24,44,42,19.1,15.9,30.4,34.2,1.1,2.5,10.4,57.1,20.5,12,16.6,46.3,3.8,4.2,1.9,10.7,20.9,22.7,2.9,2.2,1.8,9.8,18.3,19.6,87.1,84.7,74.2,74,14.8,12.7,89.8,92.5,81.8,80.9,93.2,9.3,,93.4,4.3,2.3,93.5,3.2,3.3,96.8,1.5,1.7,90.8,1.2,8,93.2,3,3.8,80.3,6,13.8,85.7,2.3,12,88.8,3.6,7.6,87.1,3.7,9.2,92,1.4,6.5,91.3,0.4,8.4
Koh Kong,215,17,1049,0,25969,12705,897,349,996,442,149,33,1145,475,65,121,21,8,82,0,6,65,144,96,39.6,17.1,144,8,121,23,98,554,4,4,2,12,0,0,0,0,3443,1604,282,107,3047,1420,197,88,2925,1416,117,39,2764,1389,69,25,2419,1206,49,11,2157,1119,17,11,1800,927,10,1,1531,785,28,9,1383,674,64,22,930,417,1,0,701,351,0,0,764,360,63,36,3161,2266,16755,3261,1790,754,4714,1604,929,268,2395,792,19.5,34,33.1,18,149,716,110,0,0,1,32,86,28,0,0,0,0,5,1,0,0,233,889,165,755,67,133,1,1,16,25,36,28,55,726,0,52,127,115,93,162,47,42,11991,5660,1.99,16,35,27,4,8,13,18,18,17,154,149,6,2,0,0,43337,6689647,1,9,1,1,91,3197,1536,20113,9716,11285,5507,11728,5700,108.1,107,104.9,105.8,120.8,4.6,5.3,1.1,4.1,3.4,4.9,38.1,2.8,67,44.7,26.1,22.7,24.8,35.8,1.4,2,8.1,64.5,18.2,9.2,13,41.5,4.4,2.2,2.7,19.5,34,33.1,3.4,1.3,3.2,18,30.6,29.5,98.9,97.5,70.9,73.6,28.3,24.4,87,87.7,70.6,70.9,81.7,8.1,10.2,86.3,6.1,7.7,89.4,3.9,6.8,90,2.6,7.4,91.3,2.1,6.6,92.8,0.8,6.4,81.1,0.5,18.3,88,1.9,10.1,84.7,4.9,10.5,83.3,0.1,16.6,93.6,0,6.4,45.1,8.8,46.1
