Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | 6-11,Table_14 | Sex-Ratio of Population | 12-14,Table_14 | Sex-Ratio of Population | 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2 - shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | w/o Water,Table_15 | Percentage of Schools | w/o Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | Lower Secondary,Table_16 | Percentage of Total Students in | Upper Secondary,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.,Table_17 | % Repeaters (Total) | U.Sec.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.,Table_17 | % Over-age Enrollment (Total) | U.Sec.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.,Table_17 | % Repeaters (Girl) | U.Sec.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to Lower Sec. 2018/2019 | Total,Table_18 | Transition Rate to Lower Sec. 2018/2019 | Girl,Table_18 | Transition Rate to Upper Sec. 2018/2019 | Total,Table_18 | Transition Rate to Upper Sec. 2018/2019 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,818,13,4667,8,156200,78140,4292,1427,4834,2516,894,216,5728,2732,326,408,54,30,280,0,19,306,651,389,45.2,22.9,537,91,408,86,322,2212,8,8,10,73,1,4,0,0,17988,8373,1152,404,17401,8344,817,297,16217,7788,582,194,15983,7716,478,123,15414,7546,265,73,14154,7083,175,69,11717,6067,239,72,8784,4791,159,47,7519,4073,268,87,5330,3095,38,11,4249,2467,15,5,3835,2065,104,45,16836,13723,97157,11046,11478,6951,28020,5020,5292,4008,13414,2092,11.4,17.9,15.6,74,769,2722,1192,77,0,20,175,434,230,35,0,1,5,12,27,0,0,1177,5402,958,4735,217,665,2,2,29,119,257,179,210,3760,8,99,894,934,609,832,146,148,31744,12348,1.36,137,161,172,31,35,52,92,88,97,687,616,6,2,4,4,51851,12125841,100,26,9,145,27,16461,8039,103525,50225,58512,28221,62353,30131,104.8,106.1,107.3,106.9,191,5.9,7,1.4,6.6,4.6,5.7,34.2,2.3,79.6,47.6,32.3,27.3,33.5,41.5,1.2,1.4,11.3,62.2,17.9,8.6,15.6,47.7,3.6,2.4,1.2,11.4,17.9,15.6,2.5,1.4,0.8,10.2,15.4,12.6,102.3,99.1,83.4,82.1,18.5,17.2,85.1,87,72,77.7,90.1,6.3,3.7,91.8,4.8,3.4,93.2,3.5,3.3,91.1,2.9,6,96,1.8,2.2,90.6,1.3,8.1,80.1,2.2,17.7,83.8,1.8,14.4,76,3.6,20.4,85.4,0.8,13.8,91.9,0.4,7.8,49.1,3.2,47.7
Battambang,1147,23,7694,31,255364,126697,11683,4157,6851,4128,1686,632,8537,4760,373,649,96,29,581,5,63,348,856,358,43.7,21.6,841,231,649,155,494,3606,27,51,34,302,2,12,0,0,33046,15345,3796,1456,31067,14568,2384,848,28768,13600,1627,575,26888,12831,1087,359,25739,12525,711,244,23916,11971,528,174,19280,9967,573,164,14309,7722,271,87,11640,6378,388,123,8882,4960,109,26,6769,3806,34,16,5926,3336,175,85,29250,23932,169424,22088,18707,9901,45229,9498,8773,5184,21577,4735,13,21,21.9,147,1038,2980,2524,159,1,56,283,603,647,95,2,13,22,46,47,2,0,1885,7921,1417,6507,459,1398,9,16,101,139,471,292,405,5441,31,338,587,1628,1001,1224,192,136,27697,5172,1.25,176,187,165,32,43,79,102,109,120,1100,1073,5,2,8,7,59500,12432941,149,55,48,126,54,24736,11911,157226,75840,91224,44088,98706,47411,107.7,107.3,106.9,108.2,222.6,6,7.4,1.6,6.9,4.7,6.7,50.7,5.5,74.6,31.2,37.3,29.9,33.2,46.9,1.4,1.2,7.5,66.3,17.7,8.4,19.7,55.8,6,2.7,1.5,13,21,21.9,4.5,1.6,1,11.5,18.9,20.3,118.2,116.6,96.7,97.8,18.2,16.1,81.1,84.4,75.4,79.4,82.7,10.9,6.4,86.4,7.6,6,88.8,5.6,5.6,90.3,3.9,5.8,90.3,2.7,7,73.1,2.3,24.6,77.4,3.2,19.5,82.2,2,15.8,72.1,3.3,24.6,83.8,1.4,14.8,90.7,0.5,8.7,60.9,3.3,35.8
Kampong Cham,816,10,5905,112,221352,110434,13360,4715,5779,3352,1743,684,7522,4036,283,409,81,43,323,0,140,277,476,336,39.3,26.2,478,110,409,64,345,2896,45,70,83,687,10,59,2,37,26288,12138,3545,1349,25135,11639,2486,907,23789,11102,2079,694,22806,10820,1489,498,21546,10550,1192,374,19674,9942,730,231,17067,9006,677,235,13633,7373,368,117,11497,6397,401,154,9287,5250,147,54,7425,4336,51,19,6792,3875,195,83,22743,18036,139238,20943,16390,9805,42197,7386,9140,6545,23504,3674,15,17.5,15.6,215,1491,2716,1291,63,3,66,530,813,286,48,0,7,38,47,63,3,3,1567,6719,1493,6507,73,210,1,2,76,59,320,194,218,4695,112,345,335,1281,751,839,144,200,21328,6855,1.35,104,126,33,11,30,43,40,46,59,703,650,7,2,30,0,42922,11034024,66,21,23,467,24,18874,9185,120717,58767,68241,33016,70837,33662,105.5,105.4,106.7,110.4,271.3,7.1,9.2,1.9,8.2,5.8,7.2,39.6,17.2,58.3,41.2,38.3,29.4,37.5,47.1,1.3,1.3,7.4,62.9,19.1,10.6,23.2,53.7,8.3,3.4,1.7,15,17.5,15.6,6.1,2.2,1.2,14.3,15.4,13.4,120.5,117.5,95.6,94.2,20.7,19.8,83.5,88.2,77,80,83.2,13,3.8,85,9.7,5.2,87.3,8.5,4.2,88,6.4,5.5,88.2,5.5,6.3,67.3,3.7,28.9,79,4,16.9,81.6,2.7,15.7,59,3.4,37.6,81.8,1.6,16.5,91.8,0.7,7.5,67.5,3.1,29.4
Kampong Chhnang,469,5,3204,18,117422,59488,4960,1671,3567,1727,675,175,4242,1902,113,279,61,16,185,7,45,95,333,167,45.2,22.2,362,76,279,48,231,1658,11,20,26,205,8,33,0,0,13231,6275,1400,547,12648,5957,975,346,12148,5808,797,228,12134,5868,609,190,11856,5951,355,121,11199,5713,186,61,9658,5096,255,64,7847,4350,118,31,6784,3701,131,28,4914,2831,25,4,4161,2335,13,6,3668,2055,96,45,11831,10634,73216,6700,9403,6179,24289,4384,4889,3104,12743,2398,9.2,18,18.8,38,624,1764,1090,51,0,14,150,305,181,25,0,0,3,6,4,0,0,838,3759,777,3607,60,151,1,1,22,63,140,94,138,2463,18,82,448,499,336,464,98,79,24079,38107,1.19,48,132,91,21,45,60,126,123,122,458,422,6,2,2,0,51760,13181354,61,34,19,207,38,11640,5678,73482,35807,41471,20055,42553,20258,105,105.2,106.8,110.1,250.4,7.6,9,1.8,8,5.3,6.8,39.4,9.6,71,35.6,32.9,27.7,36.6,47.7,1.3,1.2,6.1,62.4,20.7,10.9,15.9,44.8,5.9,2.1,1.1,9.2,18,18.8,4.2,0.9,0.8,8.2,15.7,16.1,101.6,100.9,91.4,92.4,10.1,8.4,85.4,89.2,70.6,73.4,88,10.5,1.5,90.2,7.7,2.1,90.8,6.3,2.9,90.1,4.8,5.1,91.9,3,5.1,84.5,1.7,13.8,81.7,2.7,15.6,83,1.5,15.5,76.7,1.9,21.4,82.6,0.5,16.9,87.7,0.3,12,64.5,2.8,32.7
Kampong Speu,619,15,4144,41,168939,83978,6101,2240,4390,1939,793,142,5183,2081,209,314,72,24,244,0,47,206,409,236,44.6,22.8,455,50,314,48,266,2226,16,26,29,258,1,5,1,14,19117,8962,1684,660,17986,8575,1112,436,17956,8494,959,336,17883,8522,694,253,18220,9035,465,155,17229,8755,398,172,14491,7547,262,75,10687,5646,166,48,9001,4707,279,74,6155,3323,14,2,5095,2711,12,1,4436,2334,56,28,17433,15048,108391,11188,14229,8337,34179,5765,6141,4278,15686,2600,10.3,16.9,16.6,154,906,1931,1318,79,2,42,190,265,257,39,0,1,9,7,8,0,0,1197,6537,1117,6319,80,218,0,0,48,56,304,183,218,3290,41,203,243,1235,691,810,115,129,27711,21384,1.27,119,265,211,30,35,51,217,209,202,559,538,6,1,8,0,42251,11348481,130,66,21,364,28,17200,8442,110761,54321,62401,30209,62830,29519,103.7,103.9,106.6,112.8,272.9,7.1,8.4,1.9,10.6,5.3,6.7,39.4,7.6,66.1,38.1,38.5,32.6,40.8,51.3,1.3,1.3,6.3,64.2,20.2,9.3,15.3,40.2,4.9,2.1,0.5,10.3,16.9,16.6,3.8,1.1,0.4,9.5,14.3,14.3,101.4,98.3,87.5,86.4,13.7,12.2,83.4,86.7,66,69.6,87.3,8.7,4,92.1,6,1.8,91.5,5.1,3.4,92,3.6,4.4,93.3,2.6,4.1,70.7,2.3,27,78.3,1.9,19.8,77.3,1.5,21.3,56.6,3,40.4,80.2,0.2,19.6,88.2,0.2,11.6,69.2,1.4,29.5
Kampong Thom,789,9,4575,50,156323,79333,8286,2979,4398,2444,774,192,5172,2636,207,490,67,25,296,7,76,207,580,297,36.3,21.2,590,153,490,77,413,2511,33,43,43,301,0,0,0,0,19773,9216,2616,1015,18319,8843,1639,611,16909,8026,1219,413,16155,7942,766,266,14705,7437,485,145,13996,7267,377,120,12392,6555,508,189,9864,5552,211,68,8255,4458,318,104,6107,3449,53,13,4812,2699,39,11,4482,2574,55,24,17157,14577,99857,13648,11884,5976,30511,6859,6054,3683,15401,3487,13.7,22.5,22.6,158,721,2165,1277,75,2,25,143,290,287,29,0,0,0,19,1,4,0,1243,5003,1140,4729,101,268,2,6,48,85,227,107,150,3660,50,180,346,818,334,484,99,151,25886,8868,1.47,75,128,106,12,20,70,123,115,114,683,646,7,2,42,2,79408,16600587,183,50,31,388,89,14900,7198,95443,46290,53145,25681,53982,25433,107,106.2,106.9,112.3,198.1,5.6,6.6,1.6,6.3,4.6,5.8,37.5,9.6,73.5,37.6,35.5,30.2,34.2,42.7,1.3,1.5,6.8,63.9,19.5,9.9,15,51,7.1,3.4,1,13.7,22.5,22.6,5.3,2.2,0.6,12.5,19.8,20.1,115.1,113.9,97.8,99,15,13.1,85.3,89.1,73.2,75.5,82.7,13,4.3,87.8,9.2,3,89.4,7.1,3.6,88.1,4.7,7.1,90.4,3.2,6.4,66.9,2.7,30.4,78,4.1,17.9,82.8,2.2,15,64.9,3.8,31.3,78.9,0.9,20.2,90.3,0.8,8.9,66.6,1.4,32
Kampot,611,5,3862,0,127197,62568,4873,1584,4802,2378,944,199,5746,2577,200,311,76,24,195,0,297,195,460,203,45.9,24.9,514,37,311,63,248,1756,108,143,154,1293,34,349,1,11,14156,6391,1338,483,13167,6227,827,274,12619,5948,601,200,12556,5954,417,123,12407,6005,380,130,11756,5896,264,73,10768,5534,323,89,8432,4392,172,36,7854,4126,306,80,5840,3138,108,38,5219,2737,48,21,4695,2469,89,37,12818,11272,76661,7681,10445,6239,27054,5035,5732,3893,15754,3139,10,18.6,19.9,65,872,2517,1286,62,0,12,172,430,291,39,0,1,7,12,15,0,0,1024,4611,982,4490,40,118,2,3,31,56,226,122,130,3248,0,132,283,926,485,472,137,102,11695,5088,1.49,54,191,69,23,61,107,187,180,179,540,520,7,2,3,0,49932,11111035,73,13,19,212,30,12846,6212,84540,40872,48903,23561,49701,23608,106.8,106.8,107.6,110.5,208.2,7.9,9.4,1.7,7.5,5.3,6.3,31.9,48.6,75.3,33.2,26.5,22.1,32.9,39.2,1.2,1.5,6.1,60.3,21.3,12.4,16.4,44.8,5,3,1.6,10,18.6,19.9,3.5,1.5,1.2,8.9,15.6,17.3,99.8,95.1,87.7,84.8,12.1,10.8,86,89.6,69,72.4,86.6,9.4,4.1,91,6.3,2.7,92.1,4.6,3.4,92.9,3.2,3.9,89.8,3,7.2,73,2.2,24.8,79.3,3.1,17.6,79.3,1.8,18.9,70.6,3.7,25.7,82.9,1.7,15.4,89,0.9,10.1,77.5,2,20.5
Kandal,752,11,6609,112,254957,125751,14221,4896,7298,4050,1461,391,8759,4441,239,373,101,39,329,0,204,211,368,270,48,26,526,132,373,77,498,3411,72,160,114,1268,15,89,3,49,29507,13637,3727,1448,27771,13182,2625,896,26276,12069,2166,739,26024,12137,1759,558,25763,12351,1334,440,24273,11964,839,247,20343,10462,667,176,15866,8346,273,92,13734,7316,372,116,11109,6207,122,47,9249,5261,72,19,8285,4536,265,118,25780,22388,159614,17672,19676,12188,49943,8171,10987,7647,28643,5043,11.1,16.4,17.6,277,1554,2988,2337,141,1,57,358,544,415,87,0,2,6,13,28,2,0,1676,7439,1648,7364,28,75,0,0,96,76,304,216,284,5294,112,393,400,1150,793,895,152,122,46911,16861,1.31,109,189,104,37,75,92,208,197,217,692,643,6,2,13,0,40988,15546371,29,8,18,335,8,22822,11044,142022,68565,82231,39530,91323,43571,106.6,107.1,108,109.6,339,9.7,11.6,2.2,9.9,7,8.8,43.8,27.1,48.9,35.9,34.9,29.1,38.6,48.2,1.2,1.3,6.6,62.6,19.6,11.2,16.7,50.7,7.8,2.6,1.6,11.1,16.4,17.6,5.7,1.5,1.1,9.1,13.9,14.1,113,110.4,98.1,98.5,13.2,10.8,87,92.4,80.9,84.3,85.2,12.6,2.1,87.9,9.6,2.6,89.3,8,2.7,89.9,6.5,3.6,91,5.2,3.8,92.7,3.7,3.6,81.4,3.5,15.2,84.8,1.7,13.5,84.2,2.7,13.1,83.7,1.1,15.1,89.1,0.8,10.1,74.7,3.6,21.8
Kep,50,2,276,9,8559,4280,569,173,456,239,93,20,549,259,22,22,4,2,9,0,11,22,43,27,45.4,22.1,45,4,22,6,16,110,6,9,5,43,0,0,0,0,1136,527,138,56,936,455,94,30,885,425,88,30,823,389,94,24,721,395,38,5,658,330,27,4,601,302,39,6,445,236,16,3,422,223,19,10,372,182,7,3,328,176,2,0,345,185,7,2,998,853,5159,526,562,325,1468,236,365,241,1045,207,10.2,16.1,19.8,1,62,230,157,6,0,0,8,44,37,4,0,0,0,0,6,0,0,82,373,82,373,0,0,0,0,6,4,13,11,12,252,9,24,85,50,45,53,8,8,13939,2142,2.46,3,15,5,1,1,11,20,18,19,42,36,6,2,0,0,46582,6895077,3,1,1,42,0,1103,526,7294,3467,4245,2016,4399,2080,109.7,110.4,110.6,111.5,171.2,9.1,11,1.6,7.5,5,5.5,18,22,86,54,18.8,15.6,31,34,1.1,2.5,10.4,60.3,17.2,12.2,16.9,47.2,9.3,5,1.5,10.2,16.1,19.8,5.9,2.5,0.9,8.8,14.7,16.4,90.5,89.5,77.3,79.7,14.5,11,88.2,94.6,75.9,77.8,88.9,14.6,n.a.,93.2,11,n.a.,91,11,n.a.,85.9,11.8,2.3,91.8,5.5,2.6,80.1,4.2,15.7,68.9,6.3,24.9,79.8,3.2,17,76.7,4,19.3,88.6,1.9,9.5,89.9,0.5,9.6,85.3,2.1,12.6
Koh Kong,219,1,1101,0,26566,13043,894,323,1097,503,162,41,1259,544,67,121,19,12,78,0,4,67,171,110,39.3,17.8,158,10,121,23,98,575,2,2,2,13,0,0,0,0,3266,1524,305,123,2980,1379,211,74,2747,1294,126,47,2609,1207,86,29,2428,1204,45,9,2365,1277,35,12,2074,1059,13,5,1634,839,11,2,1420,730,39,11,1014,523,5,1,906,468,3,0,741,331,15,10,2961,2121,16395,2993,2061,740,5128,1458,1009,457,2661,621,18.3,28.4,23.3,17,185,734,159,2,0,3,45,79,32,3,0,0,1,0,0,0,0,269,1207,207,1078,60,127,2,2,13,42,31,11,38,807,0,35,376,86,26,97,33,27,11025,6548,1.74,21,39,35,6,3,10,13,17,17,183,172,6,2,3,0,81683,11954892,28,5,2,113,1,3382,1623,21264,10262,11931,5816,12401,6020,108.4,107.2,105.1,106,121.3,5,5.7,1.2,5.5,3.7,5,35.6,1.8,78.1,50.2,24.2,21.1,24.1,32.9,1.4,1.7,9,61.7,19.3,10,12.9,43.2,4.9,1.2,0.9,18.3,28.4,23.3,3.7,0.7,0.8,17.2,24.1,16.8,87.6,86.3,62.7,64.4,28.4,25.4,85.7,87.9,72.9,75.4,84.6,9.3,6.1,85.1,6.9,8.1,92.3,4.6,3.1,89,3.2,7.8,92.5,1.8,5.7,80.4,1.5,18.2,84.6,0.7,14.7,88.6,0.7,10.7,73.6,2.8,23.6,87,0.5,12.5,91.9,0.4,7.7,32.7,2.2,65.1
