"Table 1: Schools, Classes, Students and Staff",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Province,"Number of
Schools","Number of
Classes",Enrollment,,Teaching Staff,,Non-Teaching Staff,,Govern. staff,Foreigner Teaching Staff,,Buildings,Rooms,Classrooms
,,,Total,Girl,Total,Female,Total,Female,,Total,Female,,,
Banteay Meanchey,121,894,21942,10611,1053,580,252,113,269,49,25,132,1382,703
Battambang,45,406,8804,4371,779,488,165,82,552,38,27,57,632,361
Kampong Cham,25,158,4010,1969,214,130,34,14,54,7,6,52,295,140
Kampong Chhnang,25,190,4505,2055,356,242,87,46,132,13,9,51,326,183
Kampong Speu,50,328,8134,4179,444,279,109,41,116,49,36,67,517,296
Kampong Thom,15,58,1699,754,110,71,34,18,64,7,7,38,166,58
Kampot,48,296,9588,5022,543,304,61,32,182,66,40,69,465,287
Kandal,63,419,10697,5119,694,395,284,146,353,68,48,79,1129,362
Kep,4,18,836,446,24,14,5,4,2,8,4,8,20,18
Koh Kong,18,110,3259,1674,188,99,24,11,44,13,11,39,186,105
Kratie,8,44,1499,880,14,13,15,4,8,15,8,3,9,44
Mondul Kiri,5,17,345,140,20,17,16,12,1,3,1,4,23,17
Otdar Meanchey,6,45,1473,662,35,25,5,3,0,0,0,9,37,29
Pailin,18,105,2245,1098,151,113,45,16,24,3,1,36,234,93
Phnom Penh,530,4385,101287,50777,6488,3910,3562,2108,2334,1111,632,581,9040,3500
Preah Sihanouk,45,358,8938,4327,521,274,136,87,222,86,67,56,663,314
Preah Vihear,4,18,265,123,19,16,1,1,1,5,1,4,41,5
Prey Veng,7,16,349,206,42,25,14,8,20,1,0,7,31,16
Pursat,8,58,2050,1064,69,68,17,11,13,0,0,9,93,55
Ratanak Kiri,14,134,3473,1431,175,109,46,25,112,0,0,39,383,116
Siemreap,102,651,15204,7437,1037,699,267,181,462,200,143,98,1136,571
Stung Treng,4,15,283,132,17,10,2,2,0,6,6,5,16,15
Svay Rieng,6,16,304,141,30,28,4,1,1,15,15,7,74,13
Takeo,24,119,2860,1336,241,99,81,44,79,0,0,39,272,119
Tbaung Khmum,27,132,4308,2626,232,135,52,24,24,29,24,38,297,122
Whole Kingdom,1222,8990,218357,108580,13496,8143,5318,3034,5069,1792,1111,1527,17467,7542
- Urban Area,994,7722,182846,90481,11549,7049,4914,2879,4483,1619,996,1144,15259,6362
- Rural Area,228,1268,35511,18099,1947,1094,404,155,586,173,115,383,2208,1180
