Province,"Number of
Schools","Number of
Classes",Enrollment,Unnamed: 4,Teaching Staff,Unnamed: 6,Non-Teaching Staff,Unnamed: 8,Govern. staff,Foreigner Teaching Staff,Unnamed: 11,Buildings,Rooms,Classrooms
,,,Total,Girl,Total,Female,Total,Female,,Total,Female,,,
Banteay Meanchey,133.0,947.0,23316,11458,1204,659,232,117,495.0,33,17,119.0,1585.0,794.0
Battambang,52.0,407.0,8992,4373,785,458,255,147,427.0,37,26,72.0,662.0,408.0
Kampong Cham,29.0,208.0,4770,2357,275,158,56,23,80.0,7,6,45.0,416.0,206.0
Kampong Chhnang,25.0,181.0,4256,1940,324,209,76,42,143.0,9,7,36.0,340.0,179.0
Kampong Speu,64.0,361.0,8260,4272,596,348,155,55,108.0,39,29,86.0,710.0,325.0
Kampong Thom,34.0,133.0,2658,1298,190,88,36,20,121.0,3,3,55.0,258.0,129.0
Kampot,47.0,304.0,10904,5610,499,261,66,34,106.0,66,40,62.0,503.0,222.0
Kandal,68.0,540.0,11402,6079,685,391,227,129,369.0,63,45,95.0,1386.0,518.0
Kep,4.0,19.0,946,545,26,17,4,4,3.0,8,4,9.0,26.0,19.0
Koh Kong,29.0,159.0,4133,2101,190,118,23,12,57.0,7,6,58.0,249.0,143.0
Kratie,8.0,34.0,706,395,76,43,35,20,2.0,14,10,12.0,74.0,34.0
Mondul Kiri,8.0,20.0,406,190,40,30,16,14,0.0,0,0,7.0,35.0,20.0
Otdar Meanchey,6.0,51.0,1361,625,29,20,5,2,3.0,0,0,8.0,51.0,30.0
Pailin,20.0,116.0,2400,1156,103,89,19,9,13.0,3,1,26.0,182.0,94.0
Phnom Penh,638.0,5947.0,133809,66571,8425,4892,5196,3116,2894.0,722,388,676.0,12292.0,5166.0
Preah Sihanouk,48.0,343.0,7962,3709,518,275,137,90,226.0,87,68,51.0,687.0,307.0
Preah Vihear,4.0,19.0,217,105,21,15,5,3,11.0,2,0,8.0,40.0,36.0
Prey Veng,7.0,26.0,552,239,45,29,11,6,0.0,1,0,15.0,71.0,26.0
Pursat,11.0,46.0,1406,685,77,65,34,26,23.0,0,0,16.0,108.0,44.0
Ratanak Kiri,13.0,132.0,2971,1407,290,162,179,100,185.0,0,0,31.0,284.0,103.0
Siemreap,83.0,581.0,12504,6318,921,611,280,186,251.0,129,101,102.0,959.0,483.0
Stung Treng,11.0,51.0,863,432,70,43,11,7,23.0,11,10,7.0,47.0,40.0
Svay Rieng,13.0,41.0,853,444,66,54,48,33,8.0,15,15,8.0,84.0,41.0
Takeo,40.0,174.0,3557,1687,346,152,122,62,158.0,9,5,60.0,358.0,169.0
Tbaung Khmum,31.0,160.0,4365,2584,268,174,48,23,33.0,29,24,46.0,453.0,187.0
Whole Kingdom,1426.0,11000.0,253569,126580,16069,9361,7276,4280,5739.0,1294,805,1710.0,21860.0,9723.0
- Urban Area,1131.0,9402.0,214004,106028,13718,8082,6771,4065,5004.0,1138,702,1274.0,18970.0,8201.0
- Rural Area,295.0,1598.0,39565,20552,2351,1279,505,215,735.0,156,103,436.0,2890.0,1522.0
