"Table 1: Schools, Classes, Students and Staff",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Province,"Number of
Schools","Number of
Classes",Enrollment,,Teaching Staff,,Non-Teaching Staff,,Foreigner Teaching Staff,,Buildings,Rooms,Classrooms
,,,Total,Girl,Total,Female,Total,Female,Total,Female,,,
Banteay Meanchey,140,908,20437,10067,1261,714,246,131,89,48,248,2220,768
Battambang,61,484,9270,4563,939,569,351,216,63,37,90,1182,456
Kampong Cham,36,246,4195,2144,284,176,71,33,8,2,62,291,190
Kampong Chhnang,28,175,3706,1640,328,205,87,60,26,19,67,443,172
Kampong Speu,64,460,7781,3746,591,378,133,59,48,32,129,862,381
Kampong Thom,55,204,4551,2205,309,174,74,39,31,22,82,502,187
Kampot,42,327,8698,4592,568,292,94,59,14,12,97,688,301
Kandal,88,620,14542,7164,753,455,326,168,86,31,176,1578,571
Kep,3,18,536,300,25,19,4,3,18,13,4,21,18
Koh Kong,18,91,2307,1189,119,78,25,7,3,2,42,188,86
Kratie,9,61,1192,662,87,68,74,47,0,4,16,113,53
Mondul Kiri,9,34,550,251,60,34,30,12,7,5,12,46,34
Otdar Meanchey,12,75,2008,930,81,55,10,4,0,0,26,106,56
Pailin,17,96,1721,835,79,66,24,12,0,0,31,207,83
Phnom Penh,776,6072,117304,59085,6847,4067,4358,2731,2550,1454,981,17049,5551
Preah Sihanouk,61,506,8573,4126,533,294,109,59,86,63,103,1012,325
Preah Vihear,4,13,180,83,14,11,10,8,0,0,5,43,13
Prey Veng,5,14,247,145,33,19,5,3,0,0,8,54,14
Pursat,6,33,710,366,45,39,22,14,2,0,12,59,33
Ratanak Kiri,12,122,2197,1041,151,85,33,21,0,0,14,97,86
Siemreap,123,823,18412,6934,1397,915,546,347,203,131,223,1687,700
Stung Treng,10,49,671,347,43,32,14,10,0,0,14,70,38
Svay Rieng,8,26,373,166,44,38,19,14,14,12,8,59,25
Takeo,52,274,5697,2797,468,241,181,91,22,12,170,593,268
Tbaung Khmum,27,164,4692,2671,243,155,34,19,28,18,43,401,164
Whole Kingdom,1666,11895,240550,118049,15302,9179,6880,4167,3298,1917,2663,29571,10573
- Urban Area,346,2096,43843,21756,2671,1524,684,323,191,116,730,3902,1774
- Rural Area,1320,9799,196707,96293,12631,7655,6196,3844,3107,1801,1933,25669,8799
