Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Schools,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high schoolClasses,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Schools,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Schools,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Schools,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Schools,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Schools,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Schools,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Schools,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Schools,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Schools,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Schools,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Director of the | Schools,Table_14 | Provincial Edn. Service | Total,Table_14 | Provincial Edn. Service | Female,Table_14 | District Edn. Office | Total,Table_14 | District Edn. Office | Female,Table_14 | Teaching Staff at Schools | Total,Table_14 | Teaching Staff at Schools | Female,Table_14 | Non-Tch. Staff at Schools | Total,Table_14 | Non-Tch. Staff at Schools | Female,Table_14 | Total Staff | Total,Table_14 | Total Staff | Female,Table_15 | Aged 6 | Schools,Table_15 | Aged 6 | Girl,Table_15 | Aged 6-11 | Total,Table_15 | Aged 6-11 | Girl,Table_15 | Aged 12-14 | Total,Table_15 | Aged 12-14 | Girl,Table_15 | Aged 15-17 | Total,Table_15 | Aged 15-17 | Girl,Table_15 | Sex-Ratio of Population | Aged 6,Table_15 | Sex-Ratio of Population | 6-11,Table_15 | Sex-Ratio of Population | 12-14,Table_15 | Sex-Ratio of Population | 15-17,Table_16 | Pupils | School,Table_16 | Teachers | School,Table_16 | Staff | School,Table_16 | Buildings | School,Table_16 | Rooms | School,Table_16 | Classrooms | School,Table_16 | Classes | School,Table_16 | Percentage of Schools | 2 - shift,Table_16 | Percentage of Schools | in Pagoda,Table_16 | Percentage of Schools | w/o Water,Table_16 | Percentage of Schools | w/o Toilet,Table_16 | Percentage of Schools | w/o Toilet,Table_17 | Pupil | Schools,Table_17 | Pupil | Staff,Table_17 | Pupil | Class,Table_17 | Pupil | Classroom,Table_17 | Classes | per,Table_17 | Classroom | Area (m2),Table_17 | Percentage of Total Students in | Pre-school,Table_17 | Percentage of Total Students in | Primary,Table_17 | Percentage of Total Students in | Lower,Table_17 | Percentage of Total Students in | Upper,Table_17 | Percentage of | Non-tching,Table_17 | Percentage of | Female,Table_18 | % Repeaters (Total) | Schools,Table_18 | % Repeaters (Total) | L.Sec.,Table_18 | % Repeaters (Total) | U.Sec.,Table_18 | % Over-age Enrollment (Total) | Primary,Table_18 | % Over-age Enrollment (Total) | L.Sec.,Table_18 | % Over-age Enrollment (Total) | U.Sec.,Table_18 | % Repeaters (Girl) | Primary,Table_18 | % Repeaters (Girl) | L.Sec.,Table_18 | % Repeaters (Girl) | U.Sec.,Table_18 | % Over-age Enrollment  (Girl) | Primary,Table_18 | % Over-age Enrollment  (Girl) | L.Sec.,Table_18 | % Over-age Enrollment  (Girl) | U.Sec.,Table_19 | Gross Admission Rate | Schools,Table_19 | Gross Admission Rate | Girl,Table_19 | Net Admission Rate | Total,Table_19 | Net Admission Rate | Girl,Table_19 | % Over-age (6+) Admission | Total,Table_19 | % Over-age (6+) Admission | Girl,Table_19 | Transition Rate to Lower Sec. 2015/2016 | Total,Table_19 | Transition Rate to Lower Sec. 2015/2016 | Girl,Table_19 | Transition Rate to Upper Sec. 2015/2016 | Total,Table_19 | Transition Rate to Upper Sec. 2015/2016 | Girl,Table_20 | Grade 1 | Schools,Table_20 | Grade 1 | Repetition,Table_20 | Grade 1 | Dropout,Table_20 | Grade 2 | Promotion,Table_20 | Grade 2 | Repetition,Table_20 | Grade 2 | Dropout,Table_20 | Grade 3 | Promotion,Table_20 | Grade 3 | Repetition,Table_20 | Grade 3 | Dropout,Table_20 | Grade 4 | Promotion,Table_20 | Grade 4 | Repetition,Table_20 | Grade 4 | Dropout,Table_21 | Grade 5 | Schools,Table_21 | Grade 5 | Repetition,Table_21 | Grade 5 | Dropout,Table_21 | Grade 6 | Promotion,Table_21 | Grade 6 | Repetition,Table_21 | Grade 6 | Dropout,Table_21 | Grade 7 | Promotion,Table_21 | Grade 7 | Repetition,Table_21 | Grade 7 | Dropout,Table_21 | Grade 8 | Promotion,Table_21 | Grade 8 | Repetition,Table_21 | Grade 8 | Dropout,Table_22 | Grade 9 | Schools,Table_22 | Grade 9 | Repetition,Table_22 | Grade 9 | Dropout,Table_22 | Grade 10 | Promotion,Table_22 | Grade 10 | Repetition,Table_22 | Grade 10 | Dropout,Table_22 | Grade 11 | Promotion,Table_22 | Grade 11 | Repetition,Table_22 | Grade 11 | Dropout,Table_22 | Grade 12 | Promotion,Table_22 | Grade 12 | Repetition,Table_22 | Grade 12 | Dropout
Banteay Meanchey,798,64,4402,21,144263,71700,4282,1556,4666,2330,950,219,5616,2549,308,408,56,26,312,0,38,295,530,302,38.6,22.4,281,79,408,86,322,2153,13,19,24,174,1,3,0,0,18684,8742,1320,502,18003,8552,886,315,16833,8101,621,228,15027,7459,434,162,13250,6743,243,88,12369,6231,167,48,10451,5404,150,47,8042,4230,67,20,6606,3404,140,44,4049,2169,23,11,3296,1766,16,8,2793,1422,215,83,17364,13677,94166,11618,10301,6434,25099,4860,4026,2443,10138,1801,12.3,19.4,17.8,78,802,2922,814,33,0,23,227,496,178,20,0,2,6,18,9,0,0,1220,4852,871,3778,342,1064,7,10,34,71,291,228,280,3323,21,116,401,998,732,997,306,265,54996,7971,2.68,44,152,129,9,40,54,94,91,99,603,506,5,1,8,8,21683,5501277,25,89,8,1,9,CHHOEUY CHANNA,90,26,142,36,4666,2330,950,219,5848,2611,15586,7629,98017,47668,55399,26784,59035,28597,104.3,105.6,106.8,106.4,180.8,5.8,7,1.5,6.1,4.2,5.5,39.1,4.8,66.4,37.8,,30.9,25.7,32.8,43.4,1.3,2.7,10.3,65.3,17.4,7,16.9,45.4,3.9,1.4,2.5,12.3,19.4,17.8,2.9,0.9,1.9,11.4,16.8,14.3,111.4,108,87.8,87,21.2,19.4,83.5,85.9,68.6,71.4,88.1,6.8,5.1,91.8,5,3.2,91.3,3.9,4.8,91.3,3,5.7,93.3,1.9,4.8,91.2,1.4,7.5,77.5,1.5,21.1,80.9,0.8,18.2,75.8,2.4,21.8,82.8,0.6,16.6,90.2,0.6,9.3,52.4,7.7,39.9
Battambang,1083,14,7200,12,238884,118007,11585,4404,6963,4135,1852,674,8815,4809,334,631,93,25,572,6,113,317,675,310,19.2,21.3,576,195,631,152,479,3468,68,126,42,362,3,21,0,0,34133,15799,4206,1705,32080,14984,2374,843,29750,14181,1536,554,26589,12903,974,390,23383,11629,618,216,20687,10519,425,166,16888,8664,450,129,12745,6850,154,56,9959,5327,373,116,6638,3626,69,22,5513,2998,33,11,4689,2555,373,196,29927,23219,166622,24396,16438,8524,39592,10060,6569,3184,16840,3642,14.6,25.4,21.6,123,1363,3742,1644,76,1,60,442,833,462,53,1,3,7,18,10,0,0,1801,7109,1339,5638,445,1440,17,31,60,149,372,481,485,5189,12,178,580,1313,843,1511,508,333,1296980,8264,3.61,70,171,99,30,41,105,118,111,119,1007,987,5,1,3,0,22965,4945333,30,84,23,23,970,NGY SET,123,33,184,48,6963,4135,1852,674,9122,4890,23455,11330,149102,72137,86507,41937,93606,45094,107,106.7,106.3,107.6,220.6,6.4,8.1,1.7,6.6,4.8,6.6,52.8,10.4,62.3,28.6,,34.3,27.1,33.2,46,1.4,3.6,6.6,69.8,16.6,7,21,54.6,6.1,2.5,2.8,14.6,25.4,21.6,4.8,1.4,2.5,13.7,23,19.8,127.6,124.4,99,98.9,22.4,20.5,79.4,81.9,71,72.6,80,11.3,8.7,87.7,7.4,4.9,89,5.3,5.6,90.1,3.9,6,90.1,2.7,7.2,87.1,2.1,10.8,74.7,2.7,22.6,78.3,1.3,20.4,75.7,4,20.3,82.5,1,16.5,86.9,0.7,12.5,45.1,7.8,47.1
Kampong Cham,790,45,5696,112,217671,107668,14762,5563,5845,3361,1644,566,7489,3927,260,408,81,41,340,0,135,254,406,329,38.8,25.2,330,99,408,63,345,2920,41,57,85,721,8,55,1,19,28339,12995,3980,1617,26553,12418,2746,1051,24603,11665,2261,835,22638,11016,1722,622,20711,10200,1271,451,19052,9714,752,261,16913,8784,751,266,13256,7162,343,103,11064,5903,417,135,7812,4188,105,33,6471,3489,61,17,5857,3103,353,172,24359,17915,141896,23111,16162,9514,41233,9219,7707,4646,20140,3551,16.3,22.4,17.6,164,1876,3093,679,17,0,52,616,795,156,20,0,10,31,23,18,1,0,1494,6178,1398,5903,94,274,2,1,53,70,309,143,357,4394,112,208,307,1103,508,702,344,329,12358,7720,3.3,14,136,33,7,42,58,78,76,224,611,517,6,1,7,0,24864,6904858,22,61,16,7,489,LY MENGSAN,134,51,133,42,5845,3361,1644,566,7756,4020,18970,9257,121342,59224,68596,33274,71204,33924,104.9,104.9,106.2,109.9,275.5,7.4,9.5,1.9,7.8,5.6,7.2,43,17.1,51.4,41.6,,37.2,29.1,38.2,49.5,1.3,3.3,6.6,65.2,18.9,9.3,22,52.4,9,3.7,2.6,16.3,22.4,17.6,7.1,2.3,2.1,16,20.3,15,128.4,122.9,94.4,91.4,26.5,25.6,84.2,88.4,75.7,79.1,82.2,13.7,4.1,85.9,10.6,3.6,86.4,9.3,4.2,88.5,7.8,3.7,89.3,6.2,4.5,88.2,3.9,7.9,78.3,4.6,17.1,81.4,2.6,15.9,75.9,4.1,20,82.3,1.3,16.3,90.4,1,8.6,43.4,6.6,50
Kampong Chhnang,454,1,3146,8,115302,58086,5546,2001,3510,1639,636,169,4146,1808,105,273,60,16,183,6,40,87,149,98,42.6,21.8,308,80,273,48,225,1641,9,17,22,183,9,34,0,0,13573,6429,1685,679,13715,6648,1104,411,13083,6339,874,310,12022,5946,553,173,11030,5537,351,106,10636,5329,239,70,9589,5057,220,66,8036,4323,91,18,6495,3547,127,47,4350,2344,39,11,3539,1906,30,11,3074,1612,233,99,11888,10448,74059,7764,9369,5361,24120,6152,4311,2215,10963,2516,10.5,25.5,22.9,25,692,2114,640,28,0,6,186,300,118,21,1,0,0,5,1,0,0,805,3526,736,3348,63,167,6,11,20,46,118,89,127,2368,8,76,224,443,323,440,222,142,33269,25721,2.76,23,146,90,19,51,70,169,160,142,450,381,6,1,2,0,18358,4395299,17,53,9,10,382,PICH SAMBO,113,34,107,30,3510,1639,636,169,4366,1872,11214,5493,70791,34646,39953,19405,40995,19601,104.2,104.3,105.9,109.1,254,7.7,9.1,1.8,7.8,5.2,6.9,40.3,8.8,32.8,21.6,,32.8,27.8,36.7,48.7,1.3,2.8,5.3,64.2,20.9,9.5,15.3,43.6,6.5,1.8,2.8,10.5,25.5,22.9,4.8,1,2.1,9.5,22.7,19.7,106,104.7,93.2,92.9,12.1,11.3,88.2,91.3,73,75.6,87.2,11.6,1.2,89.6,8.1,2.3,90,6.9,3.1,92.2,4.8,3.1,94.3,3.2,2.5,95,2.2,2.8,84.6,2.3,13.1,84.8,1.2,14,81.3,2.1,16.5,84.3,0.9,14.8,87.9,0.9,11.2,49.4,8.3,42.3
Kampong Speu,580,4,4082,21,167476,82315,6449,2452,4467,1901,732,119,5199,2020,174,313,70,23,265,0,63,171,190,128,43.9,22.5,339,40,313,48,265,2280,23,32,34,286,4,21,2,27,20807,9780,2112,878,20595,9730,1172,468,19743,9479,956,344,18484,9107,708,240,16630,8107,464,157,16175,8221,500,201,13914,7282,170,65,11233,5845,74,26,8691,4399,129,22,5325,2661,13,3,4158,1967,6,2,3619,1684,145,46,18695,15518,112434,12366,13744,7401,33838,8061,5312,2815,13102,2584,11,23.8,19.7,60,1085,2214,1044,48,0,18,220,281,192,20,0,0,9,18,49,6,0,1172,4896,1093,4676,79,220,0,0,32,39,261,161,248,3186,21,127,174,989,563,829,347,244,20625,9368,2.69,61,295,182,20,42,63,240,237,215,556,546,6,1,0,0,16442,4634461,16,112,8,19,545,THAN THARIN,82,19,117,20,4467,1901,732,119,5398,2059,16775,8257,108034,53132,60866,29547,61282,28873,103.2,103.3,106,112.2,288.8,7.7,9,2,8.4,5.5,7,45.7,10.9,32.8,22.1,,37.5,32.2,41,52.6,1.3,2.7,4.8,67.1,20.2,7.8,14.1,38.9,5.3,1.1,1.3,11,23.8,19.7,4.2,0.6,0.8,10,20.4,15.8,111.4,107.8,92.5,91.5,17,15.1,84.2,88.3,68.5,72.1,85.9,9.3,4.7,90.5,5.6,3.8,90.2,4.9,4.9,94.5,4.1,1.4,92.3,2.7,5,92.8,3.1,4.1,82,1.2,16.8,81.8,0.7,17.5,76.3,1.7,22,82.4,0.3,17.4,90.9,0.2,8.9,59.7,4.3,36
Kampong Thom,757,15,4473,11,149989,75767,9569,3679,4313,2283,724,186,5037,2469,188,478,67,24,301,4,141,188,286,177,41.7,20.6,442,140,478,74,404,2545,91,120,48,331,2,12,0,0,20139,9358,3103,1239,18584,8872,1891,759,17411,8489,1454,535,16206,7938,1042,376,14859,7784,687,258,13692,7098,476,171,11840,6303,324,129,8721,4807,131,42,7289,3946,264,97,4829,2629,59,11,4046,2182,13,2,3612,1914,125,60,17036,14040,100891,14193,11516,5199,27850,7852,4770,2259,12487,3125,14.1,28.2,25,75,767,2397,1013,43,3,12,160,301,230,19,0,1,19,15,11,5,0,1283,4989,1179,4753,100,228,4,8,35,97,202,137,183,3306,11,134,369,703,410,487,377,344,21016,11038,1.93,47,136,61,15,32,80,147,152,141,675,626,7,2,7,2,24709,5593725,22,187,24,21,449,CHOU VUNTHY,85,19,109,24,4313,2283,724,186,5231,2512,14678,7122,94035,45802,52359,25409,53184,25162,106.1,105.3,106.1,111.4,198.1,5.7,6.7,1.7,6.6,4.4,5.9,39.8,18.6,37.8,23.4,,34.8,29.8,33.5,45.4,1.4,1.9,5.8,67.3,18.6,8.3,14.4,49,8.6,2.6,1.6,14.1,28.2,25,6.7,1.8,1.1,13.3,25.5,21.4,116.1,114,95.7,96.1,17.6,15.7,85.7,87.3,76.6,78.2,79.6,14.8,5.6,85.6,10.1,4.2,86.8,8.3,4.9,88.1,6.5,5.5,88.7,4.6,6.7,89.3,3.5,7.2,79,3,18,84.1,1.6,14.4,78.9,4.2,16.9,86.3,1.3,12.5,90.6,0.3,9,57.6,3.7,38.7
Kampot,598,1,3728,63,133321,64714,4463,1483,4638,2239,966,190,5604,2429,192,307,77,22,199,0,284,187,166,164,44.1,23.2,463,29,307,62,245,1777,101,130,151,1312,32,169,0,0,14601,6751,1346,527,14171,6661,742,241,14066,6746,535,173,13637,6643,388,116,12492,6085,279,95,12844,6285,191,53,11962,5904,224,63,9987,5033,105,32,8401,4134,267,56,5817,2952,64,19,4601,2300,27,2,3983,1948,295,106,13255,11288,81811,9840,11738,6444,30350,7697,5753,2940,14401,2980,12,25.4,20.7,13,852,2712,948,87,9,7,193,473,251,34,6,0,5,4,5,0,0,991,4482,932,4322,56,152,3,8,30,58,193,112,139,3066,63,117,234,723,418,470,356,283,14477,7826,1.41,37,224,59,19,63,128,219,211,232,540,519,7,1,4,4,14758,3732721,7,51,7,8,197,TAK HAP,94,14,114,23,4638,2239,966,190,5812,2466,12565,6095,82698,40107,47838,23119,48617,23167,106.2,106.2,106.9,109.9,222.9,7.8,9.4,1.7,7.5,5.1,6.2,33.3,47.5,27.8,27.4,,28.7,23.8,35.8,43.5,1.2,1.4,5.1,61.4,22.8,10.8,17.2,43.3,4.3,2,2.7,12,25.4,20.7,3.1,1,1.8,11,22,17,105.5,102.1,89.8,88.2,14.8,13.7,88.5,91.1,75.9,80,86.6,8.7,4.7,93.1,5.1,1.8,93.1,3.8,3.2,92.9,3,4.1,93.1,2.1,4.8,91.5,1.4,7.1,82.5,1.9,15.6,84.2,1.1,14.7,80.5,3.5,16,84.7,1.2,14.1,89,0.7,10.4,55.9,7.8,36.3
Kandal,735,4,6438,22,240926,117431,15507,5403,7147,3934,1485,391,8632,4325,221,374,102,38,354,0,264,196,372,220,48.4,26.9,434,114,374,79,633,4984,129,250,113,1277,17,96,5,79,29023,13246,4200,1590,29558,13654,2955,1019,28240,13343,2211,746,25369,12279,1644,556,22474,10800,1171,370,20801,10153,772,261,18961,9679,833,265,15380,8102,403,111,13271,6854,484,162,9153,4827,177,38,7757,4023,83,28,7089,3639,574,257,24823,21250,155465,19621,18128,10792,47612,10102,8976,4898,23999,4921,12.6,21.2,20.5,134,1545,3833,1531,96,0,34,425,661,294,71,0,2,8,22,39,2,0,1713,7366,1671,7265,41,99,1,2,36,62,313,206,479,5024,22,130,341,1137,687,795,424,336,110001,36430,1.65,66,228,90,44,104,127,258,249,245,699,614,6,2,8,0,19385,7676126,7,16,19,3,311,UNG TOLA,119,41,149,43,7147,3934,1485,391,8900,4409,21909,10628,136342,65983,78943,38041,87671,41931,106.1,106.6,107.5,109.1,327.8,9.7,11.7,2.3,10,6.8,8.8,48.2,35.9,50.6,29.9,,33.7,27.9,37.4,48,1.3,1.7,5.7,64.5,19.8,10,17.2,50.1,8.3,3.6,3.5,12.6,21.2,20.5,6.2,2.2,2.6,10.5,18,17.1,113.3,109.7,97,95,14.4,13.4,88.1,92,75.5,79.6,85.7,13.5,0.7,89.7,10.2,0.2,90.1,8.4,1.5,90.7,7,2.3,92,5.4,2.6,90.6,3.8,5.6,79.3,4.4,16.3,83.7,2.6,13.6,75.6,4.1,20.3,84,1.9,14,88.7,1.1,10.2,46.7,8,45.2
Kep,50,1,284,8,8389,4116,276,77,464,238,86,20,550,258,22,22,4,2,13,0,13,22,24,23,43,21.4,39,8,22,6,16,109,7,10,6,52,0,0,0,0,869,410,72,19,913,470,47,17,841,397,31,8,744,360,12,4,749,370,11,1,709,333,21,5,720,338,31,11,558,272,19,3,499,257,18,3,402,223,2,0,276,143,3,1,263,140,9,5,797,679,4825,478,689,392,1777,446,400,189,941,224,9.9,25.1,23.8,0,24,293,145,2,0,1,5,47,30,3,0,0,0,0,5,0,0,83,389,82,388,1,1,0,0,1,0,10,8,9,238,8,6,0,36,35,38,19,18,132676,6769,2.44,2,14,4,2,0,6,23,23,18,37,32,6,1,0,0,24967,3942206,1,2,2,1,34,NGOUN CHANSOCHEATA,44,12,23,6,464,238,86,20,617,276,972,466,6428,3072,3741,1785,3878,1843,108.6,109.2,109.6,110.4,167.8,9.3,11,1.7,7.8,4.8,5.7,26,26,48,46,,18.1,15.3,29.5,35.2,1.2,2.4,10.1,57.5,21.2,11.2,15.6,46.9,4,3.8,1.5,9.9,25.1,23.8,2.3,2,1.2,8.4,21.3,18.6,82,83.9,69.9,72.5,14.8,13.6,90.1,94.5,81.5,90.3,94.2,7.8,-2.1,93.8,5.4,0.8,93.1,3.9,2.9,96.5,1.6,2,92.7,1.5,5.8,93.9,2.7,3.4,79,4.5,16.4,85.1,3.4,11.5,81.5,3.7,14.9,89.5,0.7,9.8,90.1,1.1,8.9,60.4,3.5,36.1
Koh Kong,206,16,1010,0,25754,12530,743,258,996,442,153,29,1149,471,62,116,21,7,83,0,43,62,131,96,38,16.2,128,5,116,23,93,520,33,42,10,57,0,0,0,0,3437,1566,285,103,3223,1540,141,53,3016,1454,78,29,2634,1308,58,16,2356,1189,23,4,2058,1056,18,4,1830,939,8,2,1499,752,5,3,1316,588,75,27,842,421,1,1,749,333,3,1,718,340,48,15,3152,2205,16724,3288,1822,564,4645,1776,841,181,2309,941,19.7,38.2,40.8,23,194,654,116,0,0,3,27,92,29,2,0,0,5,8,4,0,0,225,856,163,732,61,122,1,2,16,25,33,30,40,699,0,36,94,104,87,102,47,42,11769,5534,2.38,10,32,21,5,5,9,17,16,25,157,143,5,1,0,0,27911,4598994,3,10,8,5,78,NGET LEOUNG,62,18,63,15,996,442,153,29,1274,504,3109,1496,19551,9455,10970,5359,11401,5547,107.8,106.8,104.7,105.5,125,4.8,5.6,1.1,4.2,3.4,4.9,40.3,20.9,63.6,46.6,,25.9,22.4,25.5,36.8,1.4,2.4,8.1,64.9,18,9,13.3,41,3.6,1.9,2.3,19.7,38.2,40.8,2.6,1.4,1.6,18.9,33.7,35.6,101.4,97.8,70.9,70.3,30,28.2,86.9,86.1,66.8,73.3,85.1,7.9,7.1,87.2,4.2,8.6,92.5,2.8,4.7,89.9,2.2,7.8,90,1,9,88.9,0.9,10.3,83.6,0.4,15.9,86.6,0.3,13,83.3,6,10.7,84.2,0.1,15.7,98.5,0.4,1,40,6.7,53.3
