Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | 6-11,Table_14 | Sex-Ratio of Population | 12-14,Table_14 | Sex-Ratio of Population | 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2 - shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | w/o Water,Table_15 | Percentage of Schools | w/o Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | Lower Secondary,Table_16 | Percentage of Total Students in | Upper Secondary,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.,Table_17 | % Repeaters (Total) | U.Sec.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.,Table_17 | % Over-age Enrollment (Total) | U.Sec.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.,Table_17 | % Repeaters (Girl) | U.Sec.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to Lower Sec. 2017/2018 | Total,Table_18 | Transition Rate to Lower Sec. 2017/2018 | Girl,Table_18 | Transition Rate to Upper Sec. 2017/2018 | Total,Table_18 | Transition Rate to Upper Sec. 2017/2018 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,818,15,4598,11,152590,76099,4051,1371,4782,2440,888,210,5670,2650,324,410,56,28,285,0,22,304,568,323,45.1,22.9,464,84,410,86,324,2211,8,8,13,96,1,3,0,0,18465,8748,1074,412,17049,8062,817,256,16656,7974,576,211,16637,7984,400,131,14577,7185,229,80,13516,6902,164,46,10773,5671,236,55,8656,4605,135,31,7348,3969,195,57,4956,2818,30,8,4061,2188,24,10,3272,1781,171,74,17391,14085,96900,11708,10537,6419,26777,4427,4926,3432,12289,2201,12.1,16.5,17.9,49,779,2697,1188,51,0,14,204,393,232,42,0,0,0,10,1,0,0,1235,5435,950,4554,280,874,5,7,40,129,231,192,220,3618,11,127,1004,818,638,1021,316,248,17740,6702,1.28,32,149,150,17,33,44,86,89,92,604,523,5,1,5,4,38788,9892169,36,84,28,15,178,16173,7904,101699,49377,57480,27744,61254,29621,104.6,106,107.2,106.8,186.5,5.8,6.9,1.5,6.6,4.4,5.6,34.8,2.7,69.4,39.5,31.9,26.9,33.2,42.2,1.3,1.3,10.9,63.5,17.5,8.1,15.7,46.7,3.4,2.1,1.8,12.1,16.5,17.9,2.4,1,1.4,10.9,13.7,15,107.5,105.5,87.1,87.7,19,16.9,84.3,87.5,71.6,77.9,90.7,6,3.3,91.6,4.7,3.7,94.7,3.4,2,91,2.5,6.4,95,1.6,3.4,92.3,1.3,6.4,80.4,2.2,17.3,84.4,1.6,14,78.7,2.8,18.4,85.6,0.6,13.8,89.7,0.7,9.6,54.9,5.5,39.7
Battambang,1133,17,7494,17,253481,125579,12244,4362,6946,4165,1811,672,8757,4837,367,644,95,27,570,6,94,345,716,281,43.7,21.5,734,218,644,153,491,3613,56,97,36,321,2,14,0,0,34641,16139,4037,1512,31386,14626,2462,852,29023,13746,1708,607,27697,13171,1124,383,25906,12794,673,224,23060,11620,498,163,18079,9334,575,163,13659,7482,301,90,11634,6218,458,177,8003,4458,88,31,6338,3554,72,28,5290,3077,248,132,30604,23554,171713,23436,17504,9387,43372,8828,7915,4445,19631,4646,13.6,20.4,23.7,79,1132,3450,2146,145,5,41,352,735,599,78,3,2,13,22,10,0,0,1897,7611,1435,6150,451,1439,11,22,75,153,358,296,493,5561,17,254,677,1295,995,1225,522,343,34063,8843,1.32,90,170,131,34,41,84,95,88,107,1074,1040,5,1,0,2,31295,6807302,32,95,47,29,615,24311,11719,154535,74612,89662,43376,97015,46642,107.4,107.1,106.7,108,223.7,6.1,7.7,1.7,6.7,4.9,6.6,50.3,8.3,63.2,24.8,36.5,28.9,33.8,45.6,1.3,1.3,7.4,67.7,17.1,7.7,20.7,55.2,6.1,3.1,2.1,13.6,20.4,23.7,4.6,1.9,1.7,12.3,17.8,21.9,125.9,124.8,96.9,98.2,23,21.3,80.6,83.9,73.8,76.8,83.8,11.7,4.5,88.5,8,3.6,88.6,5.7,5.7,90.8,4,5.2,91,2.7,6.3,89.1,2.3,8.6,76.8,3.3,19.9,81.3,2.2,16.5,78.7,4.3,17,82.4,1.2,16.4,87.5,1.2,11.3,66.1,4.6,29.3
Kampong Cham,804,27,5846,111,221707,110363,14544,5235,5835,3390,1695,659,7530,4049,273,408,80,43,332,0,137,267,465,300,46.5,26,465,101,408,66,342,2880,42,62,83,709,11,74,1,16,27237,12570,3946,1498,25534,11826,2868,1055,24421,11297,2210,773,23122,11100,1715,579,21483,10654,1221,435,19640,9948,747,266,16675,8572,546,200,13596,7492,370,98,11868,6497,377,119,9011,5093,175,54,7188,4100,40,9,6228,3458,329,149,23291,17251,141437,20770,16129,9312,42139,7295,8836,5915,22427,3686,14.7,17.3,16.4,127,1713,3043,914,38,0,59,531,893,186,29,0,6,17,34,5,0,0,1631,6584,1552,6345,78,238,1,1,77,66,269,146,183,4633,111,287,323,1064,525,668,360,334,12401,6911,1.09,38,134,36,8,28,50,54,64,92,598,515,6,1,4,0,25137,6545420,17,57,31,15,487,18910,9211,120953,58932,68377,33110,70976,33758,105.3,105.2,106.5,110.2,275.8,7.3,9.4,2,8.2,5.8,7.3,41.3,17,57.8,37.3,38,29.4,37.9,47.9,1.3,1.1,7.1,63.8,19,10.1,22.5,53.8,9,3.1,2.4,14.7,17.3,16.4,6.8,1.8,1.7,12.9,15.6,14.3,123.2,120.2,91.2,91.5,25.9,23.9,84.2,87.1,77.1,81.2,81.6,14.2,4.2,84.4,10.9,4.7,86.5,8.9,4.6,88,7.4,4.6,89.8,5.8,4.4,91.2,3.9,4.9,80.1,3.3,16.6,82.1,2.6,15.2,79.5,3.3,17.2,80,2,18.1,89.9,0.6,9.5,56.6,5.3,38.1
Kampong Chhnang,466,0,3220,7,118144,59641,5080,1676,3498,1682,700,188,4198,1870,112,278,60,16,186,7,43,94,147,96,42.6,22.1,357,78,278,48,230,1680,11,19,24,197,8,32,0,0,13264,6211,1395,502,12580,5995,1002,307,12692,6023,838,283,12748,6269,566,187,11976,5980,318,99,11014,5643,213,59,9456,4920,226,57,8017,4285,124,31,6923,3854,159,45,5024,2800,39,11,4075,2292,21,7,3461,1917,179,88,11869,10633,74274,7222,9230,5690,24396,4409,4985,3297,12560,2403,9.7,18.1,19.1,19,595,1912,932,40,0,10,158,341,169,22,0,0,1,1,4,0,0,851,3682,780,3496,68,180,3,6,23,55,113,96,111,2443,7,63,438,427,396,394,229,153,24577,10167,1.12,35,131,84,21,43,65,150,156,142,460,402,6,1,0,0,25963,6673224,20,55,12,10,357,11500,5617,72604,35429,40978,19844,42045,20044,104.7,104.9,106.5,109.8,253.5,7.5,9,1.8,7.9,5.2,6.9,39.9,9.2,31.5,20.6,33.8,28.1,36.7,48.4,1.3,1.1,5.9,62.9,20.6,10.6,16.7,44.5,5.8,2.1,1.9,9.7,18.1,19.1,4,1,1.5,8.7,16.1,16.9,103.2,101.6,92.5,92.1,10.4,9.4,86.7,89.5,70.7,72.9,88,10.6,1.4,90.3,7.6,2,91.5,6.3,2.2,92.5,4.5,3,94.5,2.8,2.7,94,2,4,83.5,2.4,14.1,83.3,1.5,15.1,82,2.3,15.7,81.9,0.8,17.3,89.2,0.6,10.2,60.2,5.2,34.6
Kampong Speu,603,2,4162,11,170222,83971,5931,2157,4471,1957,742,129,5213,2086,195,313,71,24,265,0,46,192,224,167,44.3,23,441,47,313,48,265,2264,14,21,29,260,2,12,1,11,19320,9030,1679,647,18429,8671,1210,440,18766,8879,915,322,19278,9461,615,222,18015,8938,430,187,17066,8617,497,182,13442,6760,181,44,11290,5972,83,15,9302,4773,217,65,6336,3227,19,2,4967,2559,9,0,4125,2092,76,31,17641,15365,110874,11285,13261,7613,34034,6803,6317,3374,15428,3246,10.2,20,21,53,921,2174,1276,47,0,10,187,286,224,33,2,0,4,1,2,0,0,1160,5052,1076,4820,84,232,0,0,46,46,263,171,206,3288,11,164,203,1036,670,778,336,231,20846,8458,1.2,69,279,208,27,36,59,223,224,214,570,555,6,1,6,0,22925,6439622,27,111,8,12,560,17061,8379,109872,53933,61901,29991,62325,29307,103.6,103.7,106.4,112.7,282.3,7.4,8.6,1.9,8.4,5.5,6.9,43.9,7.6,37.1,27.7,38.1,32.7,40.9,51.8,1.3,1.2,5.8,65.1,20,9.1,14.2,40,4.8,1.4,0.7,10.2,20,21,3.7,0.7,0.4,9.1,17.3,18.8,103.4,100,90.1,88.8,12.9,11.2,83.3,86.5,65.2,65,89.3,8.7,2,92.5,6.3,1.2,92.7,4.5,2.8,93.2,3.3,3.5,92.7,2.4,4.9,93.4,3.1,3.5,79.5,1.3,19.2,80.6,0.7,18.6,75.1,2.2,22.7,79.4,0.3,20.3,89.4,0.2,10.4,84.4,1.9,13.7
Kampong Thom,782,6,4593,20,156111,79001,8302,3087,4435,2429,731,179,5166,2608,204,487,66,25,306,6,103,204,298,192,42.6,21.4,562,144,487,75,412,2537,57,75,44,307,2,12,0,0,20195,9510,2600,1052,17887,8373,1713,629,17260,8287,1307,475,16184,7946,805,270,15067,7666,556,193,13972,7157,352,125,12478,6801,428,150,9677,5261,133,41,8348,4592,254,91,6047,3347,37,9,4964,2801,30,9,3952,2189,87,43,17595,14284,100565,13307,12050,5674,30503,7187,6010,3325,14963,3452,13.2,23.6,23.1,63,669,2396,1232,75,0,13,129,299,267,23,0,4,13,44,38,6,0,1385,5340,1259,5066,119,264,7,10,36,91,193,109,154,3583,20,121,463,700,372,369,375,335,17120,11062,2.85,53,141,88,15,22,78,131,125,130,714,631,7,2,9,2,31365,7056291,35,208,62,18,275,14827,7173,94985,46131,52889,25591,53722,25344,106.7,105.9,106.7,112,199.6,5.7,6.6,1.8,6.8,4.6,5.9,39.1,13.2,38.1,24.6,35.2,30.2,34,43.6,1.3,2.8,6.5,64.4,19.5,9.6,14.2,50.5,7.3,2.7,1,13.2,23.6,23.1,5.6,1.7,0.7,12.3,21.4,20,118.7,117.9,96.3,96.3,18.8,18.3,87.8,90.5,76.9,79.2,82.2,13.2,4.6,86.9,9.3,3.7,86.7,7.4,5.9,89,4.9,6.1,89.9,3.7,6.4,92.2,2.6,5.3,78.8,3.5,17.6,85.6,1.4,13,83.9,3.3,12.9,86.6,0.6,12.8,93.3,0.7,6,73.8,2.2,23.9
Kampot,608,4,3699,0,129794,63442,4229,1366,4747,2325,938,189,5685,2514,197,311,76,24,191,0,290,192,178,168,45.3,24.5,521,31,311,63,248,1764,107,140,154,1311,28,131,1,10,14257,6505,1212,415,13208,6179,681,229,13185,6234,599,206,12943,6191,366,122,12796,6193,271,96,12146,6077,202,58,10412,5223,262,63,9516,4933,133,31,8312,4280,307,76,6241,3226,71,19,5176,2694,34,9,4546,2311,91,42,13045,11244,78535,8753,10150,6099,28240,5858,6170,3904,15963,3512,11.1,20.7,22,101,828,2642,1125,51,0,14,178,447,260,39,0,0,5,9,4,0,0,1010,4519,965,4392,43,121,2,6,26,55,173,125,131,3120,0,104,293,692,455,467,366,284,16036,6919,1.35,29,214,70,22,58,127,202,196,245,571,540,7,1,2,0,28301,6821777,8,54,17,18,185,12743,6168,83878,40591,48519,23399,49309,23446,106.6,106.6,107.4,110.3,213.5,7.8,9.4,1.7,7.4,5.1,6.1,31.4,47.7,29.3,27.6,27.3,22.8,35.1,41.6,1.2,1.4,5.4,60.5,21.8,12.3,16.5,44.2,4.2,2.5,1.2,11.1,20.7,22,3,1.2,0.9,10,18.2,18.3,102.4,98.7,88.2,86.4,13.8,12.5,87.5,88.5,70.9,73.2,89.1,8.6,2.2,92.7,5,2.3,91.3,4.3,4.4,94.2,2.8,3,92.2,2.1,5.7,92.5,1.7,5.7,80.4,2.2,17.3,81.5,1.4,17.2,79.4,3.5,17.1,81,1.1,17.8,90.3,0.7,9,77.4,2.1,20.5
Kandal,748,7,6547,24,251350,123416,14523,5120,7246,4002,1482,412,8728,4414,234,374,102,38,346,0,210,208,393,210,46.9,26.4,508,124,374,76,636,5133,78,173,113,1247,16,95,3,45,29530,13885,3777,1413,27462,12497,2796,963,27160,12455,2310,830,27162,12834,1774,639,25747,12471,1208,437,22627,11131,777,227,19165,9614,634,160,15755,8302,293,112,13575,7309,355,98,10959,6109,118,34,8999,4998,59,22,7454,4063,422,185,25753,22086,159688,20064,18531,10929,48495,8314,10841,6797,27412,5607,12.6,17.1,20.5,130,1438,3424,2111,143,0,40,349,625,383,85,0,4,7,26,35,2,0,1681,7592,1640,7487,40,102,1,3,76,76,295,191,414,5195,24,315,425,1113,672,796,417,342,18220,13220,1.86,72,204,101,42,93,125,243,235,260,714,626,6,2,12,0,21210,8441224,7,21,19,1,259,22520,10906,140142,67708,81146,39038,90113,43028,106.5,107,107.9,109.4,336,9.7,11.7,2.2,10.1,6.9,8.8,46.3,28.1,52.5,28.1,34.7,28.8,38.4,48.4,1.3,1.9,6.3,63.5,19.3,10.9,17,50.6,7.9,2.6,2.2,12.6,17.1,20.5,6,1.5,1.6,10.6,14.3,17.6,114.4,114.4,98.1,98.5,14.2,13.9,87,91.2,79.9,84.1,85.8,13.1,1,88.3,9.9,1.7,88.7,8.1,3.3,90.6,6.5,2.9,90.6,5,4.4,92.8,3.6,3.5,81.2,3.3,15.4,84.4,1.9,13.7,81.9,2.6,15.5,86,1.1,12.9,92.8,0.8,6.4,66.9,5.7,27.4
Kep,50,0,272,7,8689,4340,324,120,455,239,92,15,547,254,22,22,4,2,9,0,11,22,23,19,41.7,21.2,45,4,22,6,16,109,5,7,6,49,0,0,0,0,1041,510,94,41,921,428,49,13,878,437,47,20,859,450,34,15,728,364,17,4,677,334,22,7,620,310,29,9,505,252,5,3,481,231,17,5,368,195,7,2,377,197,1,0,325,180,2,1,947,786,5104,501,591,334,1606,254,361,234,1070,260,9.8,15.8,24.3,0,21,273,158,3,0,0,5,47,37,3,0,0,0,0,5,0,0,87,443,87,443,0,0,0,0,4,7,13,6,8,243,7,16,85,49,24,36,20,21,15695,2462,1.65,2,15,6,0,0,7,22,20,18,44,44,6,2,0,0,24614,3876508,0,0,1,0,18,1056,504,6985,3327,4066,1933,4212,1996,109.5,109.9,110.3,111,173.8,9.1,10.9,1.7,8.9,4.9,5.4,18,22,46,38,19.1,15.9,31.9,35.8,1.1,1.6,10.5,58.7,18.5,12.3,16.8,46.4,5.2,3.2,0.9,9.8,15.8,24.3,4,2.1,0.5,9.5,13.4,21.3,89.7,93.1,74.4,77.2,17,17.1,84.2,88.8,72.8,77.2,90.6,9.8,n.a.,98,5.8,n.a.,93.8,5.3,0.9,89.2,4.3,6.5,89.8,2.3,7.8,86,3.1,10.8,73.5,4.3,22.2,78.5,0.8,20.6,78.6,3.4,17.9,88.9,1.7,9.5,91.2,0.3,8.5,94.5,0.8,4.7
Koh Kong,218,17,1113,0,26513,12817,737,274,1074,484,164,45,1238,529,65,121,21,11,78,0,6,65,148,93,37.6,17.5,159,10,121,23,98,562,4,4,2,13,0,0,0,0,3272,1546,258,98,3080,1424,160,57,2734,1299,109,44,2679,1292,51,20,2519,1246,31,10,2405,1199,18,9,2013,1041,17,8,1645,840,15,4,1478,729,56,15,1101,509,5,0,824,367,1,0,685,343,16,9,3014,2193,16689,3313,1996,760,5136,1587,1096,394,2610,849,19.9,30.9,32.5,12,141,753,150,1,0,0,32,88,39,2,0,0,0,1,2,0,0,275,996,203,873,71,122,1,1,22,35,25,18,39,754,0,104,173,75,51,104,46,49,12105,5045,1.46,13,33,29,2,4,10,16,16,17,174,146,5,1,3,0,53034,8671799,2,14,6,2,86,3289,1579,20684,9987,11607,5662,12063,5860,108.3,107.1,105,105.9,121.6,4.9,5.7,1.3,4.6,3.5,5.1,35.8,2.8,67.9,42.7,24.7,21.4,23.8,35.2,1.5,1.5,7.8,62.9,19.4,9.8,13.2,42.7,3.8,1.7,0.8,19.9,30.9,32.5,3,1,0.7,18.7,25.7,30.5,91.6,91.7,66.7,68.1,27.2,25.8,92.5,92.3,75.7,72,84.8,7.5,7.7,86.2,5.3,8.6,89.8,3.7,6.4,90,1.8,8.1,98.7,1.3,0,92.4,0.8,6.7,84.6,0.9,14.5,87.3,0.9,11.8,76,3.9,20.2,85.1,0.5,14.4,95.4,0.1,4.4,27.4,2.1,70.5
