Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high schoolClasses,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Director of the | Provincial Education Service,Table_14 | Provincial Edn. Service | Total,Table_14 | Provincial Edn. Service | Female,Table_14 | District Edn. Office | Total,Table_14 | District Edn. Office | Female,Table_14 | Teaching Staff at Schools | Total,Table_14 | Teaching Staff at Schools | Female,Table_14 | Non-Tch. Staff at Schools | Total,Table_14 | Non-Tch. Staff at Schools | Female,Table_14 | Total Staff | Total,Table_14 | Total Staff | Female,Table_15 | Aged 6 | Total,Table_15 | Aged 6 | Girl,Table_15 | Aged 6-11 | Total,Table_15 | Aged 6-11 | Girl,Table_15 | Aged 12-14 | Total,Table_15 | Aged 12-14 | Girl,Table_15 | Aged 15-17 | Total,Table_15 | Aged 15-17 | Girl,Table_15 | Sex-Ratio of Population | Aged 6,Table_15 | Sex-Ratio of Population | 6-11,Table_15 | Sex-Ratio of Population | 12-14,Table_15 | Sex-Ratio of Population | 15-17,Table_16 | Pupils | School,Table_16 | Teachers | School,Table_16 | Staff | School,Table_16 | Buildings | School,Table_16 | Rooms | School,Table_16 | Classrooms | School,Table_16 | Classes | School,Table_16 | Percentage of Schools | 2 - shift,Table_16 | Percentage of Schools | in Pagoda,Table_16 | Percentage of Schools | w/o Water,Table_16 | Percentage of Schools | w/o Toilet,Table_17 | Pupil | Teacher,Table_17 | Pupil | Staff,Table_17 | Pupil | Class,Table_17 | Pupil | Classroom,Table_17 | Classes | per,Table_17 | Classroom | Area (m2),Table_17 | Percentage of Total Students in | Pre-school,Table_17 | Percentage of Total Students in | Primary,Table_17 | Percentage of Total Students in | Lower,Table_17 | Percentage of Total Students in | Upper,Table_17 | Percentage of | Non-tching,Table_17 | Percentage of | Female,Table_18 | % Repeaters (Total) | Primary,Table_18 | % Repeaters (Total) | L.Sec.,Table_18 | % Repeaters (Total) | U.Sec.,Table_18 | % Over-age Enrollment (Total) | Primary,Table_18 | % Over-age Enrollment (Total) | L.Sec.,Table_18 | % Over-age Enrollment (Total) | U.Sec.,Table_18 | % Repeaters (Girl) | Primary,Table_18 | % Repeaters (Girl) | L.Sec.,Table_18 | % Repeaters (Girl) | U.Sec.,Table_18 | % Over-age Enrollment  (Girl) | Primary,Table_18 | % Over-age Enrollment  (Girl) | L.Sec.,Table_18 | % Over-age Enrollment  (Girl) | U.Sec.,Table_19 | Gross Admission Rate | Total,Table_19 | Gross Admission Rate | Girl,Table_19 | Net Admission Rate | Total,Table_19 | Net Admission Rate | Girl,Table_19 | % Over-age (6+) Admission | Total,Table_19 | % Over-age (6+) Admission | Girl,Table_19 | Transition Rate to Lower Sec. 2019/2020 | Total,Table_19 | Transition Rate to Lower Sec. 2019/2020 | Girl,Table_19 | Transition Rate to Upper Sec. 2019/2020 | Total,Table_19 | Transition Rate to Upper Sec. 2019/2020 | Girl,Table_20 | Grade 1 | Promotion,Table_20 | Grade 1 | Repetition,Table_20 | Grade 1 | Dropout,Table_20 | Grade 2 | Promotion,Table_20 | Grade 2 | Repetition,Table_20 | Grade 2 | Dropout,Table_20 | Grade 3 | Promotion,Table_20 | Grade 3 | Repetition,Table_20 | Grade 3 | Dropout,Table_20 | Grade 4 | Promotion,Table_20 | Grade 4 | Repetition,Table_20 | Grade 4 | Dropout,Table_21 | Grade 5 | Promotion,Table_21 | Grade 5 | Repetition,Table_21 | Grade 5 | Dropout,Table_21 | Grade 6 | Promotion,Table_21 | Grade 6 | Repetition,Table_21 | Grade 6 | Dropout,Table_21 | Grade 7 | Promotion,Table_21 | Grade 7 | Repetition,Table_21 | Grade 7 | Dropout,Table_21 | Grade 8 | Promotion,Table_21 | Grade 8 | Repetition,Table_21 | Grade 8 | Dropout,Table_22 | Grade 9 | Promotion,Table_22 | Grade 9 | Repetition,Table_22 | Grade 9 | Dropout,Table_22 | Grade 10 | Promotion,Table_22 | Grade 10 | Repetition,Table_22 | Grade 10 | Dropout,Table_22 | Grade 11 | Promotion,Table_22 | Grade 11 | Repetition,Table_22 | Grade 11 | Dropout,Table_22 | Grade 12 | Promotion,Table_22 | Grade 12 | Repetition,Table_22 | Grade 12 | Dropout
Banteay Meanchey,815,8,4807,8,159964,80509,4159,1409,4829,2534,908,220,5737,2754,323,408,54,30,260,1,19,303,557,393,46.6,22.8,555,97,408,86,322,2247,8,9,10,74,1,4,0,0,18821,8959,1226,412,17282,8084,992,345,16640,8052,653,223,15922,7692,550,182,15328,7494,372,117,14615,7343,229,79,11824,6253,29,5,10077,5401,29,6,7569,4224,62,32,5942,3302,9,4,4761,2752,8,4,3890,2254,0,0,17595,12618,98608,15336,11795,3291,29470,8795,5933,2353,14593,3490,15.6,29.8,23.9,107,797,2426,1424,72,3,30,192,367,272,47,0,6,11,19,44,2,0,776,5582,581,4927,195,655,0,0,114,148,119,132,121,3850,8,118,206,119,132,121,130,144,29075,11577,1.35,162,128,145,21,18,40,71,61,70,676,630,6,1,4,2,67262,13345782,98,30,33,207,22,CHHOU BUNROEURNG,91,25,154,40,4829,2534,908,220,5982,2819,16750,8172,105362,51062,59550,28692,63459,30632,105,106.3,107.5,107.2,196.3,5.9,7,1,6.8,4.7,5.9,31.9,2.3,68.3,48.2,33.1,27.9,33.3,41.5,1.2,1.4,10.8,61.6,18.4,9.1,15.8,48,4.1,0.4,0.1,15.6,29.8,23.9,2.9,0.3,0.1,14.5,27.6,21.7,105,104.6,75.3,77.4,28.3,26,83.4,88.3,79.5,81.5,90.6,6.8,2.6,91.9,5.7,2.4,94.9,4,1.1,93.6,3.4,2.9,93.4,2.4,4.2,64.1,1.6,34.3,86.7,0.3,13.1,86.4,0.3,13.3,70.6,0.8,28.6,89.5,0.2,10.3,91.6,0.2,8.3,96.7,0,3.3
Battambang,1164,17,8066,76,255335,127247,11140,4063,7034,4235,1718,651,8752,4886,385,654,96,29,574,5,58,360,821,415,42.9,22,914,243,654,158,496,3626,25,62,30,280,3,26,0,0,32222,15026,3826,1465,29647,13947,2689,990,28657,13447,1672,553,26558,12881,1171,404,25091,12157,921,327,23782,11865,591,204,19205,10164,113,43,15856,8573,71,31,12147,6638,39,15,9574,5290,25,16,7774,4329,20,14,6352,3555,2,1,28396,17882,165957,29872,19092,6046,47208,15389,9549,4078,23700,6166,18,32.6,26,178,959,2834,2771,282,10,55,241,581,709,130,2,19,21,32,25,0,0,1144,7596,869,6505,272,1082,3,9,162,200,146,145,143,5629,76,180,266,146,145,143,201,146,18505,4024,1.26,191,166,137,27,39,64,87,83,103,1100,1076,5,2,5,5,54538,11746557,130,43,46,410,18,YI SONGKY,121,31,181,47,7034,4235,1718,651,9054,4964,25150,12102,159933,77053,92793,44795,100403,48162,107.8,107.6,107.2,108.5,219.4,6,7.5,1,6.5,4.8,6.9,49.3,5,70.5,35.7,36.3,29.2,31.7,45.4,1.4,1.3,7.2,65,18.5,9.3,19.6,55.8,6.5,0.5,0.2,18,32.6,26,5,0.4,0.2,16.5,30.3,24.4,112.9,112.1,71.1,72.4,37,35.4,79.8,84.5,82,82.7,81.5,11.6,6.9,86.8,8.6,4.6,88.2,5.8,6,89.8,4.4,5.8,90.1,3.6,6.4,70.6,2.5,26.9,81.9,0.6,17.5,84.6,0.5,14.9,74,0.3,25.6,87.3,0.3,12.4,93.8,0.3,5.9,97.5,0,2.5
Kampong Cham,821,8,5978,177,222357,110922,12742,4550,5636,3274,1721,681,7357,3955,288,409,81,43,324,0,140,282,419,318,46.2,26.3,493,108,409,63,346,2920,48,77,83,685,7,36,2,40,26765,12350,3729,1409,24540,11392,2908,1065,23637,10978,2179,758,22576,10616,1549,511,21363,10427,1232,408,20132,10166,879,306,16259,8679,83,32,14328,7785,70,25,11619,6346,56,16,9739,5481,37,8,8070,4625,14,8,6959,3972,6,4,23036,18465,139013,23641,16176,5717,42206,11832,9702,4899,24768,4736,17,28,19.1,203,1343,2428,1562,100,0,94,479,713,372,63,0,5,27,37,37,6,0,674,6662,628,6492,45,170,1,0,138,121,208,213,179,4877,177,165,147,208,213,179,140,181,18716,6688,1.27,102,112,34,11,24,35,43,39,54,666,632,7,2,14,-1,47774,12292041,54,19,33,438,13,LY MENGSAN,140,54,127,39,5636,3274,1721,681,7624,4048,18830,9158,120488,58586,68114,32914,70712,33558,105.6,105.7,106.9,110.7,270.8,6.9,9,0.8,8.1,5.9,7.3,39.5,17.1,51,38.7,39.5,30.2,37.2,45.6,1.2,1.3,7.4,62.5,19,11.1,23.4,53.8,9,0.5,0.2,17,28,19.1,6.8,0.3,0.1,16,25.6,17.2,122.3,119.5,98.1,98.2,19.8,17.8,82.2,87,84.4,85.6,82.4,14.2,3.4,85.4,11.6,3,88.4,9.2,2.5,88.3,6.8,4.9,89.4,5.7,4.9,54.6,4.5,40.9,83.5,0.5,16,84.8,0.5,14.7,62.6,0.5,36.9,86.7,0.4,12.9,93.6,0.2,6.2,96.4,0.1,3.5
Kampong Chhnang,472,4,3328,23,117538,59843,6008,1986,3532,1719,728,220,4260,1939,115,279,62,16,181,5,44,97,307,161,42.2,22,375,77,279,48,231,1686,9,17,28,221,7,31,0,0,13629,6456,1799,690,12660,5994,1263,396,12218,5823,983,312,11684,5643,764,230,11484,5681,536,166,11332,5853,343,83,9711,5232,140,36,8268,4551,81,33,6695,3772,16,5,4981,2758,51,21,4246,2447,31,14,3737,2116,1,0,11830,9008,73007,9003,9571,2681,24674,7594,4930,1574,12964,3915,12.3,30.8,30.2,50,542,1630,1249,61,0,16,145,293,239,35,0,0,3,2,12,0,0,426,3628,377,3482,48,143,1,3,51,64,61,57,57,2575,23,60,92,61,57,57,77,65,27897,15268,1.24,44,101,67,23,39,56,115,109,106,451,430,7,2,14,0,55085,13504927,62,31,14,209,33,SIM PREM,121,34,113,31,3532,1719,728,220,4494,2004,11774,5736,74376,36174,41985,20263,43086,20466,105.3,105.6,107.2,110.5,249,7.5,9,0.9,7.7,5.5,7.1,38.3,9.3,65,34.1,33.3,27.6,35.3,45.6,1.3,1.2,5.9,62.1,21,11,17.1,45.5,7.8,1,0.6,12.3,30.8,30.2,5.3,0.5,0.5,11.4,29.7,29.5,100.5,100.5,76.5,77.6,23.9,22.8,85.5,91,72.7,74,86.1,13.6,0.3,88.8,10,1.2,89.9,8.1,2,90.2,6.3,3.5,92.7,4.5,2.8,80.2,3.1,16.8,84.8,1.4,13.8,85.1,1,13.9,79.7,0.2,20,85.8,1,13.2,89.8,0.7,9.5,97.2,0,2.7
Kampong Speu,625,4,4172,23,166343,82765,5690,2201,4322,1962,843,153,5165,2115,212,317,71,25,239,0,46,208,368,209,43.9,23.1,451,51,317,48,269,2234,17,26,27,240,1,5,1,14,19355,9303,1711,722,18254,8542,1171,466,17641,8454,954,365,17510,8322,799,270,17246,8331,604,201,17163,8670,417,172,14043,7460,12,1,11376,6059,4,0,8469,4464,17,3,6328,3369,1,1,4831,2623,0,0,4436,2315,0,0,17644,13470,107169,15797,14031,4522,33888,9666,6327,2460,15595,3971,14.7,28.5,25.5,133,914,1740,1447,86,2,25,197,263,303,55,0,0,12,20,23,4,0,596,5172,540,4949,56,223,0,0,78,109,82,95,88,3387,23,96,122,82,95,88,123,116,23810,19805,1.42,118,264,204,32,37,58,193,183,182,585,563,6,1,7,0,44116,11709099,124,41,18,396,20,THAN THARIN,96,27,109,21,4322,1962,843,153,5370,2163,17334,8500,111660,54701,62916,30418,63361,29721,103.9,104.1,106.8,113.2,266.1,6.9,8.3,1,8.3,5.4,6.7,38.2,7.4,58.9,33.4,38.5,32.2,39.9,49.1,1.2,1.4,5.8,64.4,20.4,9.4,16.3,40.9,5.3,0.1,0,14.7,28.5,25.5,4.3,0,0,13.9,25.8,23.1,101.8,101,77.7,78.4,23.7,22.4,81.3,85.1,70.3,71.6,89.2,8.9,1.9,92.5,6.5,1,92.8,5.3,1.9,92.9,4.5,2.7,91.7,3.3,5,60.5,2.4,37.1,78.5,0.1,21.4,79.1,0,20.9,59.9,0.2,39.9,78.5,0,21.5,87.1,0,12.9,92.7,0,7.3
Kampong Thom,795,10,4906,67,155933,79307,7230,2592,4313,2433,809,200,5122,2633,210,493,67,25,311,6,70,210,501,282,35.7,21.8,599,153,493,77,416,2700,25,31,45,316,0,0,0,0,20488,9708,2446,943,17734,8361,1535,565,17098,8354,1268,441,15339,7456,794,252,14712,7368,563,189,13465,6982,371,98,11802,6403,100,33,10204,5487,144,65,8180,4643,8,5,6693,3670,1,1,5325,3051,0,0,4630,2623,0,0,18042,13997,98836,16466,11702,3507,30186,10030,6692,2553,16648,4674,16.7,33.2,28.1,187,705,1894,1426,101,0,37,144,261,327,39,1,9,1,7,20,4,0,776,5196,689,4944,87,250,0,2,105,102,115,139,118,3818,67,127,132,115,139,118,116,160,43067,6507,1.56,99,107,95,10,16,57,116,114,106,730,707,7,2,19,0,51393,10061188,176,60,33,413,55,TAN BUNHONG,94,22,111,25,4313,2433,809,200,5327,2680,14264,6974,91376,44850,50882,24883,51680,24638,104.5,103.7,104.5,109.8,196.1,5.4,6.4,1,6.5,4.8,6.2,39.1,8.8,63,35.5,36.2,30.4,31.8,40.8,1.3,1.6,6.6,63.4,19.4,10.7,15.8,51.4,7.1,0.8,0,16.7,33.2,28.1,5.2,0.6,0,15.7,30.8,25.7,126.5,125.7,98.1,98.8,22.4,21.4,84,88.1,81.1,82.3,82.3,12.4,5.2,86.8,8.4,4.8,86.5,7.5,6,88.2,4.9,6.9,89.5,3.8,6.7,69.3,2.7,28,81.2,0.8,18,82.8,1.5,15.7,71,0.1,28.9,87.1,0,12.8,96.2,0,3.8,98.4,0,1.6
Kampot,612,7,3901,60,127618,62743,4102,1376,4671,2322,997,228,5668,2550,201,311,76,24,186,3,302,196,412,203,45.3,25.4,511,36,311,63,248,1777,108,198,158,1326,35,174,1,14,15156,7050,1396,495,13364,6088,925,300,12836,6094,604,201,12278,5808,444,148,11971,5740,341,95,11639,5732,235,71,10293,5418,32,9,9176,4801,25,5,7303,3872,91,50,6208,3275,2,0,5032,2694,2,0,4682,2441,5,2,13760,10747,77244,9879,10261,3485,26772,8290,6206,2056,15922,4643,12.8,31,29.2,106,796,2344,1361,64,0,26,168,450,308,45,0,0,6,24,20,5,0,542,4528,513,4423,29,105,0,0,73,84,118,125,118,3238,60,85,108,118,125,118,108,85,12088,8543,1.48,60,172,70,23,46,98,161,157,141,562,536,7,2,4,2,48547,9926907,36,8,14,276,15,TAK HAP,105,13,122,21,4671,2322,997,228,5895,2584,12952,6256,85291,41173,49339,23734,50150,23785,107,107.2,107.9,110.8,208.5,7.6,9.3,0.9,7.4,5.3,6.4,30.4,49.3,67.3,33.2,27.3,22.5,32.7,39.4,1.2,1.5,6,60.5,21,12.5,17.6,45,5.1,0.6,0.1,12.8,31,29.2,3.6,0.5,0,11.8,28.5,26.8,106.2,104.8,83,82.8,21.9,21,87.3,91.7,79,79.4,87.9,9.9,2.3,92.9,7,0.1,93.8,4.8,1.4,92.6,3.5,3.8,91.9,2.7,5.3,53.4,2,44.6,85,0.3,14.7,85.5,0.3,14.2,55.3,1.2,43.6,86.1,0,13.8,89.6,0,10.3,95.7,0.1,4.2
Kandal,756,2,6735,186,258461,127877,14548,5131,7345,4118,1445,365,8790,4483,243,373,101,39,316,0,206,215,317,212,46.1,26.4,527,132,373,77,296,3005,69,146,114,1259,19,120,4,73,30485,14110,4104,1545,28136,13132,3198,1169,26890,12763,2647,917,25108,11770,1982,642,24505,11620,1592,532,23976,11703,900,291,20885,10908,64,14,17791,9319,32,6,14127,7525,22,12,11646,6353,4,2,9722,5481,2,1,8506,4849,1,0,26381,21094,159100,20125,20821,6663,52803,15380,11642,4460,29874,7894,12.6,29.1,26.4,235,1443,2912,2568,191,0,48,316,523,453,104,1,1,4,25,25,2,0,677,7230,663,7193,14,37,0,0,256,149,83,106,86,5406,186,275,176,83,106,86,129,110,47773,21741,1.3,117,178,104,36,78,97,174,161,177,698,666,7,2,20,10,39517,14756042,25,16,18,338,7,CHENG SAM UL,114,40,148,43,7345,4118,1445,365,9052,4566,23119,11180,143935,69406,83342,40012,92560,44104,106.8,107.4,108.3,109.9,341.9,9.7,11.6,0.9,9.6,7.2,8.9,41.8,27.2,41.9,28,35.2,29.4,38.4,47.8,1.2,1.3,6.5,61.6,20.4,11.6,16.4,51,9.1,0.2,0,12.6,29.1,26.4,6.8,0.1,0,11.4,26,24.1,114.1,112.4,91.2,91.4,20,18.7,85.8,91.1,84.8,86.8,84.5,13.9,1.6,87.3,11.5,1.2,88,10.1,1.9,88,7.6,4.4,89.6,6.2,4.2,91.1,3.7,5.2,87.3,0.3,12.4,88.9,0.2,10.9,92.5,0.2,7.4,87.5,0,12.5,92,0,8,95.7,0,4.3
Kep,50,0,293,15,8966,4478,318,106,474,249,96,22,570,271,22,22,4,2,10,0,12,22,40,24,44.9,22.6,41,4,22,6,16,116,6,10,6,53,0,0,0,0,1158,557,151,58,995,475,71,25,945,458,34,9,873,407,30,5,794,382,11,6,724,389,15,3,638,329,3,0,532,273,1,0,407,219,2,0,365,201,0,0,338,167,0,0,306,163,0,0,1007,821,5489,900,635,187,1577,512,365,211,1009,181,16.4,32.5,17.9,0,26,255,183,10,0,1,6,45,40,4,0,0,0,0,1,0,0,35,455,35,455,0,0,0,0,10,11,2,4,2,256,15,15,12,2,4,2,7,11,15046,2124,1.78,4,14,9,2,2,13,20,19,18,39,39,7,2,0,0,82086,11013455,5,1,1,33,0,NGOUN CHANSOCHEATA,47,13,22,6,474,249,96,22,639,290,1153,549,7627,3620,4438,2103,4599,2170,110,110.7,111,111.9,179.3,9.5,11.4,0.7,9.1,5.1,5.9,20,24,80,48,18.9,15.7,30.6,35,1.1,1.8,9.9,61.2,17.6,11.3,16.8,47.5,5.7,0.4,0,16.4,32.5,17.9,4,0,0,14.6,30.9,15.8,87.3,90.9,71.2,74.5,18.5,18,112.4,110.8,86.5,90.5,98.7,16.1,n.a.,n.a.,9.4,n.a.,n.a.,4.9,n.a.,n.a.,4.5,n.a.,n.a.,1.8,n.a.,95.4,2.7,1.9,88.2,0.5,11.3,91,0.2,8.8,89.1,0.5,10.4,90.9,0,9.1,93.3,0,6.7,97.1,0,2.9
Koh Kong,223,7,1142,3,27262,13349,739,291,1157,547,172,42,1329,589,71,121,18,13,76,0,5,71,162,105,38.5,17.9,171,12,121,23,98,578,2,3,3,17,0,0,0,0,3386,1546,301,128,3100,1417,213,90,2704,1318,96,32,2566,1214,62,22,2374,1160,25,7,2455,1203,25,9,2090,1127,9,1,1852,937,4,1,1464,748,3,1,1207,610,0,0,918,456,0,0,850,451,1,0,3085,1870,16585,3446,2081,492,5406,2232,1207,335,2975,921,20.8,41.3,31,20,208,712,213,4,0,3,37,81,43,8,0,0,1,0,3,0,0,188,1392,135,1248,53,144,0,0,27,61,36,46,44,861,3,31,82,36,46,44,37,24,13538,5929,1.92,22,23,21,4,4,4,7,8,9,173,176,6,2,8,0,181532,22005926,21,1,9,117,1,NGET LEOUNG,64,19,69,18,1157,547,172,42,1462,626,3474,1667,21853,10540,12259,5972,12744,6185,108.4,107.3,105.3,106,122.3,5.2,6,0.8,6.2,3.9,5.1,34.1,2.2,72.6,47.1,23.6,20.5,23.9,31.7,1.3,1.9,8.4,60.8,19.8,10.9,12.9,44.3,4.4,0.3,0,20.8,41.3,31,3.7,0.1,0,18.9,36.7,25.4,88.8,85.1,53.8,52.8,39.4,37.9,88,88.2,97.7,94.3,88.4,9.2,2.4,87.5,7.1,5.3,91.2,3.5,5.4,90,2.4,7.6,n.a.,1,n.a.,64.8,1.1,34.1,n.a.,0.5,n.a.,n.a.,0.3,n.a.,27.5,0.2,72.2,n.a.,0,n.a.,n.a.,0,n.a.,95.9,0.1,3.9
