Province,Table_1 | Number of Schools,Table_1 | Disadv. Schools,Table_1 | Number of Classes,Table_1 | Classes in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift Schools | Lycee,Table_2 | Floating Schools | Lycee,Table_2 | Schools in Pagoda | Lycee,Table_2 | Attached Pre-Sch. | Lycee,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high schoolClasses,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area per Student | Playground,Table_12 | Pre-School with Sport Facility | Playground,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. Teachers | Female,Table_13 | Teaching Monks | Female,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Director of the Provincial Education Service,Table_14 | Provincial Edn. Service | Total,Table_14 | Provincial Edn. Service | Female,Table_14 | District Edn. Office | Total,Table_14 | District Edn. Office | Female,Table_14 | Teaching Staff at Schools | Total,Table_14 | Teaching Staff at Schools | Female,Table_14 | Non-Tch. Staff at Schools | Total,Table_14 | Non-Tch. Staff at Schools | Female,Table_14 | Total Staff | Total,Table_14 | Total Staff | Female,Table_15 | Aged 6 | Total,Table_15 | Aged 6 | Girl,Table_15 | Aged 6-11 | Total,Table_15 | Aged 6-11 | Girl,Table_15 | Aged 12-14 | Total,Table_15 | Aged 12-14 | Girl,Table_15 | Aged 15-17 | Total,Table_15 | Aged 15-17 | Girl,Table_15 | Sex-Ratio of Population | Aged 6,Table_15 | Sex-Ratio of Population | 6-11,Table_15 | Sex-Ratio of Population | 12-14,Table_15 | Sex-Ratio of Population | 15-17,Table_16 | Pupils per School,Table_16 | Teachers per School,Table_16 | Staff per School,Table_16 | Buildings per School,Table_16 | Rooms per School,Table_16 | Classrooms per School,Table_16 | Classes per School,Table_16 | Percentage of Schools | 2 - shift,Table_16 | Percentage of Schools | in Pagoda,Table_16 | Percentage of Schools | w/o Water,Table_16 | Percentage of Schools | w/o Toilet,Table_17 | Pupil Teacher Ratio,Table_17 | Pupil Staff Ratio,Table_17 | Pupil Class Ratio,Table_17 | Pupil Classroom Ratio,Table_17 | Classes per Classroom,Table_17 | Classroom Area (m2) per Pupil,Table_17 | Percentage of Total Students in | Pre-school,Table_17 | Percentage of Total Students in | Primary,Table_17 | Percentage of Total Students in | Lower Secondary,Table_17 | Percentage of Total Students in | Upper Secondary,Table_17 | Percentage of | Non-tching Staff,Table_17 | Percentage of | Female Staff,Table_18 | % Repeaters (Total) | Primary,Table_18 | % Repeaters (Total) | L.Sec.,Table_18 | % Repeaters (Total) | U.Sec.,Table_18 | % Over-age Enrollment (Total) | Primary,Table_18 | % Over-age Enrollment (Total) | L.Sec.,Table_18 | % Over-age Enrollment (Total) | U.Sec.,Table_18 | % Repeaters (Girl) | Primary,Table_18 | % Repeaters (Girl) | L.Sec.,Table_18 | % Repeaters (Girl) | U.Sec.,Table_18 | % Over-age Enrollment  (Girl) | Primary,Table_18 | % Over-age Enrollment  (Girl) | L.Sec.,Table_18 | % Over-age Enrollment  (Girl) | U.Sec.,Table_19 | Gross Admission Rate | Total,Table_19 | Gross Admission Rate | Girl,Table_19 | Net Admission Rate | Total,Table_19 | Net Admission Rate | Girl,Table_19 | % Over-age (6+) Admission | Total,Table_19 | % Over-age (6+) Admission | Girl,Table_19 | Transition Rate to Lower Sec. 2021/2022 | Total,Table_19 | Transition Rate to Lower Sec. 2021/2022 | Girl,Table_19 | Transition Rate to Upper Sec. 2021/2022 | Total,Table_19 | Transition Rate to Upper Sec. 2021/2022 | Girl,Table_20 | Grade 1 | Promotion,Table_20 | Grade 1 | Repetition,Table_20 | Grade 1 | Dropout,Table_20 | Grade 2 | Promotion,Table_20 | Grade 2 | Repetition,Table_20 | Grade 2 | Dropout,Table_20 | Grade 3 | Promotion,Table_20 | Grade 3 | Repetition,Table_20 | Grade 3 | Dropout,Table_20 | Grade 4 | Promotion,Table_20 | Grade 4 | Repetition,Table_20 | Grade 4 | Dropout,Table_21 | Grade 5 | Promotion,Table_21 | Grade 5 | Repetition,Table_21 | Grade 5 | Dropout,Table_21 | Grade 6 | Promotion,Table_21 | Grade 6 | Repetition,Table_21 | Grade 6 | Dropout,Table_21 | Grade 7 | Promotion,Table_21 | Grade 7 | Repetition,Table_21 | Grade 7 | Dropout,Table_21 | Grade 8 | Promotion,Table_21 | Grade 8 | Repetition,Table_21 | Grade 8 | Dropout,Table_22 | Grade 9 | Promotion,Table_22 | Grade 9 | Repetition,Table_22 | Grade 9 | Dropout,Table_22 | Grade 10 | Promotion,Table_22 | Grade 10 | Repetition,Table_22 | Grade 10 | Dropout,Table_22 | Grade 11 | Promotion,Table_22 | Grade 11 | Repetition,Table_22 | Grade 11 | Dropout,Table_22 | Grade 12 | Promotion,Table_22 | Grade 12 | Repetition,Table_22 | Grade 12 | Dropout
Banteay Meanchey,821,1,4898,23,166919,83833,3936,1359,4802,2548,922,233,5724,2781,327,410,54,30,253,0,16,306,587,480,45.6,24.2,585,112,410,86,324,2241,6,7,9,66,1,3,0,0,19345,9063,1157,428,18913,9013,776,282,17684,8559,619,199,15833,7658,438,143,15240,7524,266,87,14207,7110,186,60,12415,6384,168,47,10125,5439,94,28,8459,4680,121,32,6528,3665,32,12,5027,2907,10,7,4642,2666,69,34,18188,12731,101222,14937,12247,3159,30999,9647,6496,2647,16197,3833,14.8,31.1,23.7,156,594,2225,1701,100,26,17,162,330,343,67,3,3,5,7,16,2,0,1307,5898,1097,5263,201,609,9,26,68,180,1218,969,1218,4063,19,260,307,307,307,307,123,150,17748,5614,1.39,152,142,156,23,26,41,67,67,72,689,661,7,2,6,2,50713,10323624,136,16,19,53,41,CHHOU BUNROEURNG,97,28,107,31,4802,2548,922,233,5928,2840,18222,8704,113228,54658,58681,28542,50481,24800,109.4,107.2,105.6,103.6,203.3,5.8,7,1.6,7.2,4.9,6,30.8,1.9,28.5,41.5,34.8,29.2,34.1,41.1,1.2,1.4,11.1,60.6,18.6,9.7,16.1,48.6,3.4,1.2,0.7,14.8,31.1,23.7,2.5,0.6,0.6,13.4,29.2,21.6,99.8,99.2,69.9,72.1,30,27.3,81.8,84.6,74.1,77.1,90.2,5.8,4,90.9,4.1,5,90.9,3.7,5.4,90,2.6,7.3,90.9,1.7,7.4,92.1,1.2,6.7,80.9,1.4,17.7,79,0.9,20.1,71.3,1.4,27.3,83.1,0.5,16.3,87.9,0.2,12,64.1,1.5,34.4
Battambang,1177,10,7981,96,261359,130344,11517,4142,7073,4288,1779,673,8852,4961,395,655,98,29,557,2,53,369,928,753,42.2,23.5,957,251,655,155,500,3671,23,41,27,270,3,26,0,0,33528,15471,3726,1397,31263,14865,2093,791,27806,13236,1499,483,25860,12441,987,308,25140,12169,895,305,22908,11529,588,219,18958,9742,489,187,15553,8329,365,122,13583,7402,425,119,10734,6006,115,54,7987,4571,104,42,7497,4207,231,115,29802,20510,166505,27289,18469,5292,48094,15424,10619,3764,26218,7415,16.4,32.1,28.3,167,877,2493,3205,328,3,41,241,537,789,166,5,17,17,22,21,1,0,1972,8247,1600,7144,366,1090,6,13,148,399,1766,1168,1766,5878,96,538,733,733,733,733,214,164,23423,5286,1.31,239,179,171,36,39,66,102,95,116,1159,1133,7,2,3,7,53932,11814159,194,40,63,87,40,YI SONGKY,122,38,172,51,7073,4288,1779,673,9146,5050,23236,11140,140312,67860,75256,36454,61651,29862,108.6,106.8,106.4,106.5,222.1,6,7.5,1.7,7,5,6.8,47.3,4.5,21.2,36,37,29.5,32.7,44.5,1.4,1.3,7.9,63.7,18.4,10,20.1,56,5.9,2.7,1.7,16.4,32.1,28.3,4.4,1.7,1.4,15.1,29.4,25.7,128.3,126.3,88.3,90.2,31.2,28.6,79.1,80.8,76.2,79.2,84.8,10.8,4.3,63.9,5.1,31,88.3,5.3,6.4,89.5,3.6,6.9,87.7,3.5,8.7,87,2.5,10.4,78,2.5,19.5,79,2.2,18.8,78.6,3.1,18.4,82.7,1.2,16.1,90.1,1.3,8.7,64.9,3.1,32
Kampong Cham,823,1,6042,159,224785,112294,13072,4494,5773,3391,1722,698,7495,4089,292,407,81,43,301,0,134,286,676,529,45.8,28.3,502,116,407,68,339,2855,48,75,79,657,5,27,2,46,26431,12203,3387,1268,25701,11954,2649,897,23470,11251,1908,657,21803,10460,1436,452,20907,10113,1028,338,19521,9604,781,250,17223,8881,498,169,14360,7872,402,136,12448,6740,451,114,10019,5701,218,92,8060,4594,114,30,7667,4388,200,91,23044,18988,137833,15979,16725,4987,44031,13547,9801,3801,25746,6667,11.6,30.8,25.9,233,1402,2038,1971,129,0,76,477,604,488,77,0,17,15,29,32,5,0,1646,7374,1575,7160,66,205,5,9,71,204,1644,1035,1644,4970,159,273,538,538,538,538,142,175,12569,4659,1.29,102,116,50,17,21,36,39,36,37,708,675,7,2,14,11,41934,10764064,71,12,27,43,13,LY MENGSAN,141,58,115,39,5773,3391,1722,698,7751,4186,19869,9641,121013,58809,68273,33360,53165,25888,106.1,105.8,104.7,105.4,273.1,7,9.1,2,9,6,7.3,36.6,16.3,17.9,35.7,38.9,30,37.2,45.2,1.2,1.3,7.6,61.3,19.6,11.5,23,54.6,8.1,3.1,2.1,11.6,30.8,25.9,5.9,1.8,1.5,10.4,27.9,24,116,113.4,95.6,95.6,17.6,15.7,83.4,87.6,77.9,81.5,83.4,12.3,4.3,83.8,10.3,6,87,8.1,4.9,88,6.4,5.7,88.3,4.8,6.9,79.8,3.9,16.3,82.9,3,14.2,83.2,2.8,14,61.3,3.6,35.1,84.5,2.3,13.2,88.4,1.3,10.3,69.1,2.7,28.2
Kampong Chhnang,475,1,3321,23,120825,61198,5090,1667,3592,1770,752,219,4344,1989,117,280,62,16,181,4,43,87,394,333,41.6,24.1,380,77,280,48,232,1702,9,15,27,213,7,31,0,0,14680,6933,1417,530,13958,6697,1099,368,12781,6165,834,267,11646,5632,568,153,11172,5558,412,117,10572,5309,258,72,9492,4925,146,43,8364,4609,83,21,7252,3975,124,41,5148,2928,26,7,4107,2337,24,3,3721,2091,99,45,13263,11429,74809,8590,9346,3183,25108,7068,5122,1960,12976,2963,11.5,28.2,22.8,51,449,1380,1631,80,1,11,131,256,309,45,0,1,0,3,48,5,0,920,4161,858,4003,58,152,4,6,32,114,730,383,730,2598,23,125,151,151,151,151,90,86,21919,8102,1.23,47,109,82,19,30,49,99,98,93,439,426,9,3,12,0,53928,13105332,95,17,9,57,40,SIM PREM,108,31,89,23,3592,1770,752,219,4541,2043,12232,6028,70737,34540,39196,19371,32154,15423,102.9,104.8,102.3,108.5,254.4,7.6,9.1,1.9,8.8,5.5,7,38.1,9.1,17.1,29.9,33.6,27.8,36.4,46.5,1.3,1.2,6.6,61.9,20.8,10.7,17.3,45.8,6.1,1.4,1.1,11.5,28.2,22.8,4.2,0.8,0.7,10.2,26.2,20.3,108.4,106.2,93.4,93,13.8,12.4,85.9,82.7,73,76,88.2,9.7,2.1,87.9,8.1,4.1,89.4,6.7,3.9,90,4.8,5.3,90.7,3.6,5.7,88.2,2.4,9.4,84.6,1.5,13.9,83.7,1,15.3,75.2,1.8,23.1,84.1,0.5,15.4,87.3,0.6,12.1,67.2,2.6,30.1
Kampong Speu,636,1,4179,46,173493,85345,5883,2132,4320,1947,881,177,5201,2124,223,316,71,26,235,0,45,212,536,450,43.2,24.3,459,48,316,50,266,2227,16,24,26,237,2,13,1,15,21182,9931,1515,562,19630,9357,1110,386,18833,9171,904,350,17836,8530,752,271,16212,7987,548,181,15913,7744,416,168,13766,6996,186,70,12533,6060,107,35,9643,4977,194,51,6599,3605,73,24,5022,2654,28,9,4513,2393,50,25,19667,14652,109606,13778,13580,5464,35942,9145,6526,2460,16134,3649,12.6,25.4,22.6,129,823,1652,1605,110,1,45,178,271,323,62,2,0,23,38,31,1,0,1249,5347,1184,5165,65,179,0,3,58,6138,1155,749,1155,3459,34,199,185,185,185,185,115,144,37909,14900,1.37,107,263,212,33,33,50,205,207,199,578,559,7,1,6,0,51928,12798988,158,20,31,46,23,THAN THARIN,95,23,113,20,4320,1947,881,177,5409,2167,18347,8834,108244,52595,59926,29021,53180,25538,107.7,105.8,106.5,108.2,272.8,6.8,8.2,2,8.4,5.4,6.6,36.9,7.1,15.7,29.2,40.2,33.4,41.5,50.2,1.2,1.4,6.8,63.2,20.7,9.3,16.9,40.8,4.8,1.4,0.9,12.6,25.4,22.6,3.6,0.9,0.7,11.4,24.2,20.6,107.2,106.1,79.9,80.7,25.5,24,82.2,85.7,71.8,76.1,90,7.4,2.7,91.5,5.7,2.8,92.2,4.9,2.9,90.4,4.3,5.3,90.7,3.2,6.1,83.7,2.5,13.8,89.8,1.3,8.8,84,1,15.1,52.9,2.1,44.9,85.6,1.3,13.2,91.4,0.6,8,76.9,1.2,21.9
Kampong Thom,804,1,4771,72,161859,82162,7263,2590,4485,2548,805,205,5290,2753,215,497,67,25,319,6,69,201,710,599,34.8,22.7,616,155,497,91,406,2549,21,28,48,328,0,0,0,0,21619,10299,2427,951,20050,9754,1492,550,17699,8586,979,302,15999,7753,633,198,15017,7638,468,166,13170,6738,327,100,11934,6327,340,127,9385,5123,153,51,8535,4615,313,99,6331,3550,32,7,5474,3151,23,5,5236,2894,76,34,19192,14359,103554,15447,11594,3292,29854,9684,6299,2357,17041,4812,14.9,32.4,28.2,133,627,1960,1628,137,0,24,125,275,343,38,0,1,3,25,38,3,0,1328,5305,1196,5012,127,278,5,15,63,165,1218,676,1218,3846,72,199,254,254,254,254,110,152,31360,12962,1.54,96,117,105,8,12,54,112,112,110,753,715,7,2,11,2,54190,10297570,189,21,30,94,55,TAN BUNHONG,98,22,110,25,4485,2548,805,205,5498,2800,16190,7790,93944,45713,52863,25860,43125,20817,107.8,105.5,104.4,107.2,201.3,5.6,6.6,1.7,6.6,4.8,5.9,39.7,8.6,11.7,25.5,36.1,30.6,33.9,42.1,1.2,1.5,7,64,18.4,10.5,15.2,52,6.1,2.7,0.8,14.9,32.4,28.2,4.5,1.7,0.5,13.9,29.6,25.1,118.5,120,88.7,90.2,25.2,24.9,83.7,86.9,73.3,77.3,85.1,11.1,3.8,83.8,7.5,8.8,88.1,5.6,6.3,88.6,3.9,7.6,88.4,3.2,8.3,81.4,2.4,16.3,79.9,2.9,17.2,82.6,1.5,15.9,68.4,3.6,27.9,84.6,0.5,14.9,89.8,0.4,9.8,77,1.5,21.5
Kampot,611,0,3749,5,131324,64604,4299,1398,4794,2404,969,225,5763,2629,201,310,76,24,174,0,301,194,509,442,45.1,27.1,520,35,310,63,247,1792,108,142,157,1331,35,176,1,13,16451,7608,1273,454,14845,6989,691,244,14015,6693,561,152,12343,5805,348,106,11712,5738,223,74,11141,5404,262,69,10243,5108,255,91,8760,4591,177,61,7583,3962,279,53,5811,3208,72,30,4873,2633,55,15,4916,2609,103,49,15178,11106,80507,10490,9988,3454,26586,7519,5739,2709,15600,3773,13,28.3,24.2,132,660,2323,1600,79,0,25,157,422,318,47,0,2,4,13,33,4,0,1063,4743,1009,4577,45,138,9,28,33,144,1071,680,1071,3245,5,116,273,273,273,273,124,83,11540,4850,1.49,52,173,80,25,46,90,168,154,151,561,537,7,2,10,0,55711,10989361,52,11,19,33,17,TAK HAP,107,13,104,27,4794,2404,969,225,5974,2669,11995,5797,72761,35257,42089,20637,38131,18382,106.9,106.4,103.9,107.4,214.9,7.8,9.4,1.7,7.8,5.3,6.1,28.5,49.3,16.7,27.7,27.4,22.8,35,40.5,1.2,1.5,6.6,61.3,20.2,11.9,16.8,45.6,4.2,2.7,1.5,13,28.3,24.2,2.9,1.5,1.1,11.8,26,21.3,126.5,123.4,92.6,92,26.8,25.4,85.3,88,73,77.6,88,7.9,4.1,91.2,4.7,4.1,90.7,4.2,5.1,91.1,2.8,6.1,91.7,1.9,6.4,85.5,2.2,12.3,83.6,2.5,13.9,81.8,2,16.3,55.2,3.5,41.2,87.2,1.3,11.5,90.6,1,8.4,79.7,2.2,18.1
Kandal,763,1,6821,199,273249,135128,14701,5231,7294,4123,1498,390,8792,4513,249,373,101,40,301,1,202,220,632,530,45.3,27.7,541,132,373,80,495,3399,71,141,111,1236,16,103,4,81,33539,15693,3990,1528,31658,14836,2858,1039,28379,13387,2392,819,26053,12479,1818,615,24341,11915,1387,493,22362,10834,825,282,20340,10266,436,129,18441,9665,274,83,16948,8896,340,106,13236,7131,137,45,10217,5670,53,11,9727,5366,191,81,29549,23286,166332,18984,19904,6736,55729,17009,13099,5832,33180,7145,11.4,30.5,21.5,275,1204,2900,2674,237,4,62,269,478,554,135,0,1,2,7,30,8,0,1722,8257,1692,8164,23,69,7,24,115,6333,1406,862,1406,5716,199,478,658,658,658,658,157,132,58522,16768,1.34,126,175,109,34,67,93,172,161,176,716,664,7,2,24,10,42904,15115999,36,5,13,41,7,CHENG SAM UL,111,36,122,36,7294,4123,1498,390,9025,4585,24193,11809,141075,68816,77026,37331,67178,32856,104.9,105,106.3,104.5,358.1,9.6,11.5,2.3,10.8,7.5,8.9,39.4,26.5,17.2,30.5,37.5,31.1,40.1,47.8,1.2,1.3,6.6,60.9,20.4,12.1,17,51.3,8,1.9,1.1,11.4,30.5,21.5,6,1.1,0.8,10.1,27.2,19.3,122.1,120,96.3,96.1,21.2,19.9,85.2,87.4,82.5,85.8,85.6,11.9,2.6,86.4,9.5,4.1,86.5,8.5,5,87.5,6.9,5.6,88.5,5.7,5.8,91,3.5,5.5,87.2,2.1,10.7,88.7,1.5,9.8,83.4,2.1,14.5,89.8,1.2,9,93.8,0.5,5.6,74.6,2.2,23.3
Kep,50,1,296,10,9419,4678,263,81,476,256,97,22,573,278,22,22,4,2,10,0,11,21,42,26,44.1,24,43,5,22,6,16,116,6,11,5,45,0,0,0,0,1117,536,89,26,1075,514,48,18,1042,506,38,15,910,458,11,3,827,414,4,1,737,349,9,3,645,304,20,5,524,296,14,4,487,249,25,6,395,210,3,0,297,167,2,0,293,162,0,0,1028,667,5708,1004,625,196,1656,486,392,127,985,271,17.6,29.3,27.5,0,19,259,188,10,0,1,4,41,47,4,0,0,0,0,0,0,0,93,559,93,559,0,0,0,0,2,0,48,60,48,254,10,9,1,1,1,1,8,12,13706,2260,1.64,3,14,12,1,1,14,16,16,17,43,37,6,2,0,0,52432,8587266,3,0,1,6,0,NGOUN CHANSOCHEATA,46,12,14,6,476,256,97,22,633,296,907,430,5209,2576,2977,1448,2827,1345,111,102.2,105.6,110.2,188.4,9.5,11.5,1.9,11.2,5.1,5.9,20,22,16,48,19.8,16.4,31.8,37.1,1.2,1.6,11.4,60.6,17.6,10.5,16.9,48.5,3.5,3.6,0.5,17.6,29.3,27.5,2.4,1.8,0,15.8,24.5,25.6,113.4,118.7,73.6,77,35.1,35.1,86.4,86.7,77,80.5,90.1,7.8,2.1,93.1,4.5,2.4,92.9,3.9,3.2,92.8,1.2,6,90.3,0.5,9.2,89.8,1.2,9,78.9,3.1,18,80.9,2.5,16.6,78,4.9,17.1,89.7,0.9,9.4,87.5,0.6,11.9,87.8,0,12.2
Koh Kong,226,0,1216,4,29191,14329,977,366,1243,601,191,52,1434,653,74,121,18,13,70,0,6,70,159,130,37.5,18.9,179,15,121,23,98,594,2,2,4,25,0,0,0,0,3668,1700,368,139,3388,1628,195,82,3040,1443,131,55,2595,1222,82,25,2385,1173,48,22,2277,1123,36,14,2069,1020,33,3,1805,942,16,4,1700,893,31,6,1382,700,17,6,1052,547,3,1,989,514,17,9,3300,1962,17353,3368,2036,503,5574,2250,1365,333,3423,1280,19.4,40.4,37.4,27,179,765,266,6,0,1,34,96,52,8,0,0,7,5,4,0,0,293,1395,230,1230,60,153,3,12,21,27,217,178,217,887,2,75,74,74,74,74,36,27,15312,8631,1.94,20,23,28,4,3,4,8,8,13,204,199,7,2,7,1,79004,9569070,28,1,3,15,1,NGET LEOUNG,76,23,65,18,1243,601,191,52,1575,694,2727,1365,16139,7837,8807,4276,7435,3503,99.8,105.9,106,112.2,129.2,5.5,6.3,1.3,6.2,3.9,5.4,31,2.7,29.6,42.5,23.5,20.4,24,32.9,1.4,1.9,9.7,59.4,19.1,11.7,13.3,45.5,5,1.4,1.1,19.4,40.4,37.4,4.1,0.5,0.9,17.4,36,33.2,121,114.4,71.9,71.1,40.5,37.9,85.1,85.9,85.5,86.9,82.9,9.6,7.6,82.9,5.6,11.6,85.8,4.5,9.7,86.9,3.1,10,88.5,1.9,9.6,87,1.5,11.5,88.1,1.6,10.2,94.6,0.9,4.5,71.8,1.9,26.3,86.1,1.4,12.6,95.6,0.3,4.1,58.5,2.1,39.5
