Province,Table_1 | Number of Schools,Table_1 | Disadv. Schools,Table_1 | Number of Classes,Table_1 | Number of Classroom,Table_1 | Classes in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift Schools | Lycee,Table_2 | Floating Schools | Lycee,Table_2 | Schools in Pagoda | Lycee,Table_2 | Attached Pre-Sch. | Lycee,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Classroom Without Good | Floor,Table_10 | Classroom Without Good | Roof,Table_10 | Classroom Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area per Student | Playground,Table_12 | Pre-School with Sport Facility | Playground,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. Teachers | Female,Table_13 | Teaching Monks | Female,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | 6-11,Table_14 | Sex-Ratio of Population | 12-14,Table_14 | Sex-Ratio of Population | 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2 - shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | w/o Water,Table_15 | Percentage of Schools | w/o Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | Lower Secondary,Table_16 | Percentage of Total Students in | Upper Secondary,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.,Table_17 | % Repeaters (Total) | U.Sec.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.,Table_17 | % Over-age Enrollment (Total) | U.Sec.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.,Table_17 | % Repeaters (Girl) | U.Sec.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to Lower Sec. 2022/2023 | Total,Table_18 | Transition Rate to Lower Sec. 2022/2023 | Girl,Table_18 | Transition Rate to Upper Sec. 2022/2023 | Total,Table_18 | Transition Rate to Upper Sec. 2022/2023 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,821,1,4940,4088,27,167008,84106,4051,1381,4851,2619,932,230,5783,2849,327,410,54,30,258,0,17,306,586,583,45.5,24.7,588,118,410,86,324,2263,6,7,10,73,1,4,0,0,17593,8258,1012,367,18620,8842,723,259,18271,8679,518,159,16957,8322,369,120,15119,7356,289,84,14468,7247,222,61,12034,6234,276,83,10087,5441,191,56,8677,4756,157,62,6611,3776,141,47,5582,3218,71,32,4687,2794,82,51,16581,13814,101028,10841,11758,6773,30798,5866,6470,4129,16880,2681,10.7,19,15.9,153,625,2003,1918,150,2,24,152,301,381,74,0,2,6,31,22,2,0,1319,6039,1117,5439,197,584,5,16,56,58,348,348,348,4088,27,187,348,348,348,348,125,161,421469,5165,1.4,156,143,158,19,17,38,66,63,73,677,639,7,2,7,2,55011,11068083,111,22,14,40,45,18491,8823,114901,55405,59547,28931,51228,25138,109.6,107.4,105.8,103.8,203.4,5.9,7,1.4,1,5,6,31.4,2.1,28.6,29,34.4,28.9,33.8,40.9,1.2,1.4,11,60.5,18.4,10.1,16.1,49.3,3.1,2,1.7,10.7,19,15.9,2.2,1.2,1.3,9.5,16.9,14.3,89.7,89.4,74.7,75.7,16.7,15.3,82.4,85.5,76.5,79.7,89.7,5.1,5.2,91.5,3.7,4.8,92.1,2.9,5,91.9,2.3,5.8,91.8,1.9,6.4,91.3,1.6,7.1,79.7,2.2,18.1,84.1,1.9,14,82.4,1.9,15.7,84.4,2.2,13.4,91.6,1.4,7,68,1.8,30.2
Battambang,1175,5,7899,5938,79,263866,131897,11427,4135,7147,4369,1809,685,8956,5054,398,650,97,30,549,2,52,368,967,951,41.9,24.1,971,257,650,157,493,3639,21,39,27,272,4,34,0,0,30833,14245,3431,1277,31724,14777,1988,676,29867,14417,1496,520,26438,12746,967,357,24599,11945,726,215,23678,11740,613,216,19595,10283,648,229,15492,8297,403,165,13632,7368,498,159,10725,6133,266,118,8823,5044,136,61,7514,4348,255,142,27402,22895,167139,25485,18947,10484,48719,10523,10459,6642,27062,4926,15.2,21.6,18.2,125,821,2378,3451,369,3,37,242,497,837,193,3,11,15,26,23,4,0,2010,8430,1641,7357,361,1056,8,17,171,146,656,656,656,5938,79,579,656,656,656,656,223,187,28433,4294,1.3,265,197,181,38,38,70,109,104,115,1139,1117,7,2,2,5,62613,12871499,188,38,47,66,44,23582,11292,142389,68788,76372,36955,62564,30272,108.8,107,106.7,106.7,224.6,6.1,7.6,1.4,0.9,5.1,6.7,46.7,4.4,17.7,19.1,36.9,29.5,33.4,44.4,1.3,1.3,7.9,63.3,18.5,10.3,20.2,56.4,5.5,3.2,2.4,15.2,21.6,18.2,4.1,2.1,2.1,14.2,19.1,16.7,116.2,114.8,97.1,97.8,16.4,14.9,82.5,86.4,77,81.3,85.6,9.9,4.6,88.9,6.2,4.8,89.8,5.3,4.9,91,3.7,5.4,90.6,2.9,6.6,85.1,2.7,12.2,79.6,3.4,17,84.4,2.6,13,77.4,3.7,19,80.9,2.5,16.6,90.9,1.7,7.4,64.5,3.4,32.1
Kampong Cham,830,2,6712,5037,168,228045,113580,11855,4251,5886,3515,1749,702,7635,4217,296,410,81,43,296,0,138,288,662,533,45.6,28.8,524,118,410,66,344,3487,50,106,81,1265,5,26,2,42,25377,11697,3343,1254,25431,11809,2341,819,24460,11445,1753,636,22392,10832,1303,465,21161,10138,917,325,19834,9817,708,242,16921,8577,450,138,14891,7872,334,126,13002,7207,346,116,10588,5977,151,48,8935,5211,82,26,7522,4354,127,56,22034,19603,138655,17505,16471,9333,44814,8526,10437,6086,27045,4123,12.6,19,15.2,262,1260,2130,2088,146,0,94,456,613,497,89,0,8,18,39,48,9,0,1560,7157,1499,6973,60,183,1,1,80,46,270,270,270,5037,168,299,270,270,270,270,144,159,9590,6266,1.28,97,115,41,15,24,31,40,41,43,677,643,7,2,6,11,45704,11686926,61,6,30,14,18,20163,9774,122800,59614,69282,33817,53953,26242,106.3,106,104.9,105.6,274.8,7.1,9.2,1.8,1,6.1,8.1,35.7,16.6,20.2,35.8,38.7,29.9,34,45.3,1.3,1.3,7.7,60.8,19.7,11.9,22.9,55.2,7.5,2.5,1.3,12.6,19,15.2,5.7,1.6,0.8,11.8,16.7,13.6,109.3,106.8,97.2,96.5,11,9.7,83.9,86.2,83.8,88,84.5,12.2,3.2,86.8,8.9,4.2,88,7.3,4.6,89.9,5.8,4.4,90.3,4.3,5.4,83.6,3.6,12.8,84.5,2.6,12.9,88.1,2.3,9.5,61.4,2.8,35.8,88.4,1.5,10.1,91.7,1,7.2,71.3,1.7,27.1
Kampong Chhnang,478,2,3341,2617,29,123961,62751,5131,1630,3578,1790,819,241,4397,2031,119,281,61,17,181,1,42,89,388,394,41.2,24.3,385,86,281,48,233,1713,8,12,27,218,7,30,0,0,14020,6604,1513,557,14272,6719,1025,322,13673,6658,755,240,12375,6035,561,158,11213,5543,402,115,10771,5452,254,70,9653,4972,218,54,8409,4485,118,35,7688,4233,147,34,5669,3238,50,11,4504,2619,16,2,3878,2240,72,32,12507,11493,76324,6744,9435,5763,25750,4437,5619,3514,14051,1660,8.8,17.2,11.8,40,395,1305,1741,97,0,10,135,265,360,49,0,0,0,1,4,0,0,918,4227,858,4071,58,153,2,3,33,23,110,110,110,2617,29,121,110,110,110,110,95,92,17843,6943,1.19,53,110,89,25,30,47,103,99,95,442,430,9,3,2,0,74093,17478339,128,16,7,40,48,12412,6111,71780,35013,39770,19634,32631,15637,103.1,105,102.6,108.7,259.3,7.5,9.2,1.8,0.6,5.5,7,37.9,8.8,18.8,17.6,34.6,28.2,37.1,47.4,1.3,1.2,6.3,61.6,20.8,11.3,18.6,46.2,5.9,1.9,1,8.8,17.2,11.8,4,0.9,0.6,7.7,14.9,10.1,100.8,99,92.6,91.5,8.1,7.6,88.7,91.6,77.5,81.2,88,10.1,1.9,91,7.2,1.8,91.4,5.8,2.7,91.9,4.8,3.4,93.1,3.6,3.3,90.8,2.4,6.8,87.3,2.3,10.4,90.2,1.4,8.4,77.2,2,20.8,87.2,1,11.8,92.7,0.4,6.9,67.4,1.7,30.8
Kampong Speu,644,3,4306,3460,33,178499,88556,5572,1946,4391,2034,891,178,5282,2212,231,316,70,27,245,0,46,220,546,515,42.8,24.9,471,55,316,51,265,2257,17,26,26,238,2,13,1,15,20224,9505,1573,589,20950,9878,1030,347,19816,9443,891,303,18455,9116,663,215,17255,8392,508,179,15596,7720,331,123,13961,7033,191,64,11764,6151,122,35,10305,5353,178,60,7339,3958,26,7,5902,3252,6,3,4815,2643,53,21,18651,15753,112296,10106,13770,7848,36030,7107,7313,4422,18056,2948,9,19.7,16.3,90,805,1599,1769,127,1,36,171,282,337,65,0,4,27,12,65,5,0,1225,5301,1169,5143,53,154,3,4,48,38,195,195,195,3460,21,157,195,195,195,195,102,148,17684,12385,1.3,114,260,220,32,30,50,193,195,188,588,568,7,1,6,0,46675,12075686,144,20,23,27,22,18619,8956,109844,53318,60814,29419,53968,25888,107.9,106,106.7,108.5,277.2,6.8,8.2,1.8,1,5.4,6.7,38,7.1,15.2,20,40.7,33.8,41.5,51.6,1.2,1.3,6.8,62.9,20.2,10.1,16.9,41.9,4.4,1.4,0.5,9,19.7,16.3,3.2,0.9,0.3,8.2,17.9,13.9,100.2,99.6,84.6,85.2,15.5,14.4,85.7,88.9,75.8,79.5,89.9,7.1,3,92.7,5,2.2,92.4,4.6,3,91.8,3.6,4.6,92.4,3.1,4.5,93.4,2.1,4.6,84.6,1.4,14.1,80.8,1,18.2,82.8,1.8,15.4,89.3,0.4,10.3,94.8,0.1,5.1,75.6,1.2,23.2
Kampong Thom,807,4,4802,3878,66,164508,83827,7350,2614,4577,2623,816,209,5393,2832,217,498,67,25,316,6,71,203,703,663,34.4,23,623,163,498,87,411,2576,21,28,50,344,0,0,0,0,20578,9598,2437,979,20245,9763,1442,508,19251,9394,1037,342,16909,8366,734,217,15155,7559,511,156,13856,7251,294,92,11762,6217,334,113,9889,5436,146,49,8475,4649,286,110,6546,3741,59,19,5541,3148,26,9,5087,2991,44,20,18141,15341,105994,11455,11428,5711,30126,6506,6487,3625,17174,3135,10.8,21.6,18.3,209,568,1828,1810,160,2,40,117,264,332,63,0,3,5,11,14,2,0,1370,5390,1245,5116,125,274,0,0,69,60,238,238,238,3878,66,201,238,238,238,238,116,139,15388,7354,1.53,91,102,92,12,10,58,113,112,107,763,727,7,2,10,2,58390,11012504,190,14,36,69,73,16429,7897,95332,46339,53642,26216,43764,21102,108,105.7,104.6,107.4,203.9,5.7,6.7,4,0.7,4.8,6,39.2,8.8,12.9,17.8,35.9,30.5,34.3,42.4,1.2,1.5,6.8,64.4,18.3,10.4,15.1,52.5,6.1,2.5,0.8,10.8,21.6,18.3,4.4,1.7,0.5,10.4,19.7,16.3,110.4,109.1,93.4,93.8,15.4,14.1,86.5,87.4,76,80.7,84.3,10.9,4.8,88.7,7,4.3,89.5,5.7,4.8,89.9,4.5,5.6,89.3,3.4,7.3,81.5,2.2,16.3,81.6,2.8,15.6,87.3,1.6,11.2,56.3,3.4,40.3,87.1,0.9,12,92.1,0.5,7.4,80.5,0.8,18.7
Kampot,615,0,3768,3282,4,133020,65432,4466,1398,4816,2449,993,225,5809,2674,203,311,77,24,177,0,302,196,533,510,44.8,27.8,519,35,311,63,248,1811,107,137,157,1347,37,190,1,13,15680,7375,1217,425,15940,7407,767,232,14456,6859,468,143,13500,6413,354,112,11909,5697,274,82,11156,5538,191,64,10380,5067,409,110,8607,4469,187,45,7897,4110,337,87,5742,3180,104,28,4994,2802,69,23,4575,2490,89,47,14463,12024,82641,9223,9971,5824,26884,4918,5638,3488,15311,2340,11.2,18.3,15.3,138,708,2277,1620,73,0,31,147,429,344,42,0,2,4,9,26,1,0,1026,4750,980,4600,43,143,3,7,24,38,248,248,248,3282,4,121,248,248,248,248,103,79,12108,5370,1.46,54,175,79,24,41,99,165,145,141,564,534,7,2,3,0,51849,10779346,45,9,13,20,20,12173,5877,73837,35740,42708,20922,38693,18636,107.1,106.6,104.1,107.6,216.3,7.8,9.4,1.6,1.1,5.3,6.1,28.8,49.1,13.3,17.1,27.6,22.9,35.3,40.5,1.1,1.5,6.2,62.1,20.2,11.5,17.1,46,4,3.5,1.7,11.2,18.3,15.3,2.7,1.8,1.2,9.8,15.9,12.9,118.8,118.3,98.8,99.1,16.9,16.2,89,91,74.4,79.6,88.9,7.1,3.9,91.5,5,3.5,92.2,3.3,4.6,92.5,2.8,4.7,92.2,2.3,5.5,80.4,1.7,17.9,82.2,4,13.8,86.3,2.1,11.6,65.1,4.4,30.5,84.8,1.8,13.5,92.1,1.4,6.5,71.4,1.8,26.8
Kandal,767,0,6923,5793,200,280801,139034,15400,5276,7443,4255,1550,413,8993,4668,252,373,101,41,285,0,198,218,629,641,45,28.2,547,136,373,90,485,3330,69,143,108,1254,17,100,4,85,32086,14905,4460,1625,32622,15377,2925,1012,31018,14647,2249,760,27569,13146,1736,589,25063,12091,1276,378,23164,11539,793,271,20477,10289,623,169,17763,9157,431,132,16716,8930,312,93,14725,7997,232,85,11814,6457,106,46,9891,5547,257,116,27626,24281,171522,13881,19854,10289,54956,12093,14493,8893,36430,5880,8.1,22,16.1,200,1064,2802,3094,275,8,56,271,482,609,132,0,3,3,20,46,8,0,1678,8043,1662,8004,16,39,0,0,156,87,616,616,616,5793,200,637,616,616,616,616,150,139,50221,40513,1.49,138,178,127,34,65,88,156,155,168,711,643,7,2,23,9,47919,17147027,37,5,14,15,17,24549,11969,143162,69755,78162,37842,68170,33308,105.1,105.2,106.5,104.7,366.1,9.7,11.7,2.2,1,7.6,9,37.2,25.8,18,16.4,37.7,31.2,40.6,48.5,1.2,1.5,6.4,61.1,19.6,13,17.2,51.9,7.8,2.5,1.6,8.1,22,16.1,5.7,1.4,1.2,7,18.8,14.1,112.5,111,98.9,98.8,12.1,10.9,88.4,91.2,85.5,89,84.8,12.7,2.5,88.6,9,2.4,89,7.8,3.2,89.8,6.6,3.7,90.7,5.2,4.2,91.7,3.5,4.8,85.1,3.1,11.8,88.9,2.3,8.8,86.4,1.8,11.8,88.4,1.8,9.8,94.3,1,4.7,73.2,2.6,24.2
Kep,50,0,294,256,9,9537,4729,345,106,463,253,114,32,577,285,22,22,4,2,9,0,11,20,39,31,40.4,23.3,44,3,22,6,16,116,6,10,5,45,0,0,0,0,1021,474,72,29,1112,534,45,11,1048,506,26,8,998,488,18,6,876,435,13,5,737,366,7,1,693,313,54,16,508,248,36,10,429,251,29,8,403,215,33,10,326,183,8,0,280,164,4,2,949,752,5792,628,639,384,1630,260,370,248,1009,151,10.8,16,15,0,21,231,200,11,0,1,5,44,57,7,0,0,0,0,0,0,0,92,544,92,544,0,0,0,0,1,2,4,4,4,256,9,5,4,4,4,4,7,11,14613,2290,1.62,2,15,10,0,0,14,16,16,17,40,36,8,3,0,0,55440,9481479,1,0,0,2,0,920,436,5287,2612,3021,1469,2869,1364,111,102.4,105.7,110.3,190.7,9.3,11.5,1.8,1,5.1,5.9,18,22,22,38,20.6,16.5,32.4,37.3,1.1,1.6,11.6,60.7,17.1,10.6,19.8,49.4,3.1,7.3,4.5,10.8,16,15,2.1,4.2,2.1,9.5,12.4,13.2,103.2,102.1,81.7,84.6,20.8,17.1,86.1,84.9,76,82.3,92.1,6.2,1.6,93.4,4.1,2.5,93.1,2.5,4.5,94.2,2,3.8,87.4,1.6,11,90,0.9,9,73.2,8.4,18.4,76.3,6.9,16.8,79.5,6,14.6,80.5,8.4,11.1,92.9,2.7,4.4,83.6,1.4,15
Koh Kong,230,0,1216,913,0,30129,14837,1004,357,1261,615,209,60,1470,675,76,122,19,13,74,0,6,74,167,174,37.1,19.4,190,15,122,24,98,604,2,3,4,31,0,0,0,0,3452,1672,316,135,3443,1598,218,88,3235,1605,136,50,3000,1445,100,31,2499,1219,43,10,2330,1136,39,11,2177,1090,27,8,1850,917,12,3,1688,869,39,7,1253,669,51,9,1206,630,7,1,1029,526,16,4,3136,2373,17959,2706,2150,826,5715,1978,1202,417,3488,1276,15.1,34.6,36.6,38,215,712,282,14,0,4,39,98,59,9,0,1,0,4,0,0,0,300,1374,238,1240,62,134,0,0,15,15,77,77,77,913,0,66,77,77,77,77,36,30,13659,5898,1.82,25,27,34,2,3,4,11,11,13,209,197,7,2,5,1,74544,8651416,15,0,6,5,0,2767,1383,16380,7942,8940,4332,7546,3550,100.1,106.2,106.4,112.6,131,5.5,6.4,1,0.6,4,5.3,32.2,2.6,27.4,24.3,23.9,20.5,24.8,33,1.3,1.8,9.8,59.6,19,11.6,14.2,45.9,4.7,1.4,2.1,15.1,34.6,36.6,3.7,0.6,0.8,13.3,31,31.8,113.3,111.1,85.8,86.7,24.3,22,91.9,93.7,70.4,73.7,84.2,8.2,7.6,87.1,6.1,6.7,90.2,4.2,5.6,90.3,3.7,6,91.5,1.7,6.8,85.2,1.7,13.1,88,1.3,10.7,90.4,0.7,9,49,2.3,48.7,86.8,3.7,9.6,96.3,0.7,3,68.9,1.6,29.5
