Province,Table_1 | Number of Schools,Table_1 | Number of Classes,Table_1 | Classes in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-School,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | L.Sec.Sch.,Table_2 | Number of Schools | U.Sec.Sch.,Table_2 | 2-Shift Schools | U.Sec.Sch.,Table_2 | Floating Schools | U.Sec.Sch.,Table_2 | Schools in Pagoda | U.Sec.Sch.,Table_2 | Attached Pre-School | U.Sec.Sch.,Table_2 | Schools without | Water Sup.,Table_2 | Schools without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg. Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec.Edu.+,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L.Sec.Edu. Enrollment | Total,Table_8 | L.Sec.Edu. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U.Sec.Edu. Enrollment | Total,Table_8 | U.Sec.Edu. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L.Sec.Edu.,Table_8 | % Over-age Enrollment in | U.Sec.Edu.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.Edu.,Table_9 | Education Level of Teaching Staff | U.Sec.Edu.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.Edu.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.Edu.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.Edu.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.Edu.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings without Good | Floor,Table_10 | Buildings without Good | Roof,Table_10 | Buildings without Good | Wall,Table_11 | Number of Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constructed,Table_11 | Classrooms without Good | Floor,Table_11 | Classrooms without Good | Roof,Table_11 | Classrooms without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Classroom Area per Student | Playground,Table_12 | Pre-School with Sport Facility | Playground,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meeting,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Community Teachers | Female,Table_13 | Teaching Monks | Female,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | School Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | Aged 6-11,Table_14 | Sex-Ratio of Population | Aged 12-14,Table_14 | Sex-Ratio of Population | Aged 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2-shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | without Water,Table_15 | Percentage of Schools | without Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | L.Sec.Edu.,Table_16 | Percentage of Total Students in | U.Sec.Edu.,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.Edu.,Table_17 | % Repeaters (Total) | U.Sec.Edu.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.Edu.,Table_17 | % Over-age Enrollment (Total) | U.Sec.Edu.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.Edu.,Table_17 | % Repeaters (Girl) | U.Sec.Edu.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.Edu.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.Edu.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to L.Sec.Edu. 2023/2024 | Total,Table_18 | Transition Rate to L.Sec.Edu. 2023/2024 | Girl,Table_18 | Transition Rate to U.Sec.Edu. 2023/2024 | Total,Table_18 | Transition Rate to U.Sec.Edu. 2023/2024 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,820,4922,37,166878,84055,4072,1317,4778,2587,944,237,5722,2824,327,409,54,30,244,0,17,306,458,511,47.2,25.4,598,116,409,87,322,2233,6,7,10,72,1,3,0,0,16829,7790,1074,358,16890,8056,769,278,17905,8483,573,171,17351,8415,425,135,16210,8057,326,80,14259,7120,201,69,12311,6376,261,59,9996,5395,124,51,8644,4753,181,54,6811,3896,46,22,5790,3379,33,8,5022,2962,59,32,15755,13255,99444,9818,12050,7635,30951,4728,6765,5067,17623,1796,9.9,15.3,10.2,137,752,1798,1950,140,5,32,167,269,389,86,1,3,3,23,23,2,0,1369,6182,1182,5629,183,544,4,9,60,138,1279,965,1279,4115,37,216,281,281,281,281,138,179,27076,10794,1.4,156,139,160,40,29,46,60,24,21,661,338,7,2,7,0,55822,11932561,65,143,31,45,61,16688,8047,101632,49245,54174,26358,56665,27587,107.4,106.4,105.5,105.4,203.5,5.8,7,1.7,7.5,5,6,29.8,2.1,44.1,37.7,34.9,29.2,33.9,40.6,1.2,1.4,11.3,59.6,18.5,10.6,16.5,49.4,3.4,1.8,0.8,9.9,15.3,10.2,2.3,1,0.6,8.7,12.9,9,94.4,92.4,79.4,79.5,15.9,14,83.3,87.2,78,81.5,91.8,6.1,2.1,93.3,4.1,2.6,92.8,3.1,4,93.9,2.5,3.6,93.1,2.2,4.8,92.5,1.4,6.1,82,2.2,15.8,83.9,1.2,14.9,81,2.1,16.9,87.1,0.7,12.2,88.9,0.6,10.5,78.6,1.3,20.2
Battambang,1178,7881,75,259389,129257,11091,3866,7082,4329,1784,692,8866,5021,401,650,97,30,538,2,49,371,717,836,46.1,24.6,985,256,650,158,492,3601,20,80,25,247,4,34,0,0,28574,13044,3018,1129,28587,13246,2121,720,29450,13863,1411,459,27908,13682,896,276,24915,12249,661,206,22781,11273,537,160,20104,10226,795,264,15364,8233,456,178,13062,7171,623,226,10314,5851,275,117,8853,5135,136,59,7898,4634,162,72,25556,20343,162215,39993,19309,12114,48530,7967,10039,6759,27065,4053,24.7,16.4,15,126,825,2156,3491,412,1,39,233,464,822,214,3,15,26,26,41,7,0,2047,8586,1692,7553,346,1010,9,23,134,321,1646,1006,1646,5955,75,495,584,584,584,584,210,189,22898,4057,1.35,289,252,225,75,102,64,85,36,43,1148,671,7,2,2,6,53583,11056551,77,216,42,60,63,20846,10146,123981,60279,67213,32625,72642,35279,105.5,105.7,106,105.9,220.2,6,7.5,1.7,7.3,5.1,6.7,45.7,4.2,39.1,29,36.6,29.3,32.9,43.6,1.3,1.3,8.3,62.5,18.7,10.4,20.1,56.6,5.3,3.9,2.1,24.7,16.4,15,3.8,2.6,1.6,24.2,14.2,13,122.6,117.4,97.6,96.2,20.4,18.1,81.5,84.9,73.6,77.8,85.8,9.8,4.4,88.4,6.7,4.9,90.4,4.7,4.8,91.7,3.4,4.9,90.4,2.7,6.9,85.2,2.3,12.5,76.1,4.1,19.9,80.3,2.9,16.8,75.7,4.6,19.8,81.3,2.6,16.2,87.7,1.5,10.8,76.5,2.2,21.3
Kampong Cham 10,831,6585,144,227152,113329,11368,3964,5910,3553,1647,621,7557,4174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kampong Chhnang,480,3357,27,125850,63569,4567,1415,3519,1763,835,259,4354,2022,121,281,61,17,173,1,42,91,339,382,45.5,25,397,90,281,48,233,1714,9,13,26,212,7,29,0,0,13238,6167,1238,439,13577,6387,845,261,13881,6618,699,195,13269,6533,501,142,11933,5919,348,99,10707,5425,248,68,9728,5043,222,54,8491,4515,130,43,7373,3971,143,34,6016,3384,59,13,4936,2880,28,10,4192,2477,106,57,12000,11115,76605,11415,9506,6607,25592,3351,5957,4403,15144,1475,14.9,13.1,9.7,39,424,1176,1765,119,0,20,131,245,381,58,0,0,0,7,7,2,0,938,4258,884,4124,53,133,1,1,24,93,748,364,748,2652,27,94,118,118,118,118,90,93,27827,15231,1.19,48,137,136,35,57,41,68,24,28,441,329,10,3,2,0,56422,14026201,31,171,19,36,67,11236,5516,65458,32171,34557,16991,37149,18281,103.7,103.5,103.4,103.2,262.2,7.3,9.1,2,8.9,5.5,7,36,8.8,29.4,20.4,35.8,28.9,37.5,47.5,1.3,1.2,6.8,60.9,20.3,12,19.2,46.4,5.1,1.9,1.3,14.9,13.1,9.7,3.2,1,0.9,13.8,10.7,8.8,106.8,103.8,98.9,98,7.4,5.6,88.3,91.5,77.5,79.6,90.8,8.8,0.4,92.4,5.9,1.7,93.4,5.1,1.5,93.6,4,2.3,93.3,3.1,3.6,93.8,2.3,3.9,86.6,2.3,11.1,86,1.5,12.5,84.9,1.9,13.2,86.6,1,12.4,90.7,0.6,8.7,77.2,2.7,20
Kampong Speu,644,4262,41,181423,90689,6038,2068,4361,1996,871,185,5232,2181,231,316,70,27,240,0,46,220,385,465,47,25.6,470,58,316,52,264,2230,17,25,26,240,2,13,1,16,19697,9340,1598,581,19734,9381,1141,383,20468,9829,899,311,19319,9347,694,224,17964,8920,494,175,16338,8109,370,145,13883,7067,261,76,11644,6025,189,50,9900,5231,262,80,7493,4159,53,14,6419,3569,37,8,5412,3098,40,21,18099,15084,113520,18346,13622,8790,35427,5571,7440,5446,19324,2005,16.2,15.7,10.4,89,826,1478,1824,157,7,28,176,260,330,73,2,0,13,17,23,4,0,1143,5038,1105,4928,37,109,1,1,48,90,1104,784,1104,3474,41,180,127,127,127,127,115,166,15710,9796,1.21,121,110,206,45,49,61,160,33,43,587,289,7,1,6,0,46319,11866651,52,181,26,36,24,17242,8451,98584,48298,52051,25333,57500,27892,104,104.1,105.5,106.2,281.7,6.8,8.1,1.8,7.8,5.4,6.6,37.3,7.1,40.2,27.8,41.6,34.7,42.6,52.2,1.2,1.2,7.2,62.6,19.5,10.7,16.6,41.7,4.6,2,0.7,16.2,15.7,10.4,3.3,1.1,0.4,14.8,13.4,8.8,105,103.6,87.5,88.8,16.7,14.4,87.3,90.6,72.2,77.4,91.9,7.9,0.2,93.4,5.4,1.1,94,4.5,1.5,94.7,3.8,1.6,92.5,2.9,4.6,89.6,2.4,8,82,1.9,16.1,81.9,1.6,16.5,75.6,2.5,21.9,87,0.7,12.3,91,0.6,8.4,85.7,0.8,13.5
Kampong Thom,805,4799,72,165980,84555,7452,2510,4455,2581,812,200,5267,2781,216,497,67,25,306,6,70,202,565,693,45.8,23.7,630,168,497,88,409,2571,20,24,50,342,0,0,0,0,19997,9357,2413,881,18805,9034,1451,508,19240,9365,1085,329,18196,9066,677,210,15869,8012,416,106,14103,7228,313,99,12552,6689,377,113,9741,5313,212,83,8585,4698,345,113,6317,3680,61,22,5832,3351,29,10,5266,3012,73,36,17584,15310,106210,18446,12175,7183,30878,5220,6256,4237,17415,2328,17.4,16.9,13.4,135,500,1687,1944,187,5,14,131,237,360,71,0,3,2,8,28,1,0,1404,5526,1285,5266,117,258,2,2,73,129,1070,622,1070,3876,72,244,210,210,210,210,129,119,13998,6299,1.49,93,159,175,27,46,49,85,14,19,757,678,7,2,10,0,63899,12390841,49,222,17,68,88,15390,7605,87932,43418,45922,22532,49640,24247,102.4,102.5,103.8,104.7,206.2,5.5,6.5,1.7,6.9,4.8,6,38,8.7,29.8,13.9,37.3,31.5,34.6,42.8,1.2,1.5,6.9,64,18.6,10.5,15.4,52.8,6,3,0.9,17.4,16.9,13.4,4.1,1.9,0.7,16.8,14.3,11.6,114.3,111.5,99.5,99.4,12.9,10.8,87.9,90.7,73.8,78.7,84.5,11.7,3.8,89.7,7.2,3.2,91,5.6,3.4,91.4,4,4.6,91,2.7,6.3,88.7,2.3,9.1,81,3.2,15.8,83.3,2.1,14.5,79.6,4.1,16.3,88.6,0.9,10.4,93.7,0.5,5.8,79.5,1.4,19
Kampot,615,3747,18,133120,65642,4291,1318,4787,2423,977,220,5764,2643,203,311,77,24,149,0,299,196,377,482,48.9,28.3,525,35,311,63,248,1801,105,133,157,1351,36,180,1,14,14268,6713,1141,399,14895,7075,747,243,15018,7086,458,120,13862,6659,374,105,12906,6270,231,68,11252,5465,159,43,10332,5144,303,74,8887,4472,242,74,7695,3947,377,104,6013,3294,99,26,5033,2896,67,20,4661,2638,93,42,13127,11163,82201,17245,10029,6424,26914,4337,5914,4157,15707,1874,21,16.1,11.9,153,679,2207,1696,70,0,31,147,393,353,51,0,2,10,26,40,0,0,1174,5277,1130,5139,43,137,1,1,31,99,1173,817,1173,3317,18,129,181,181,181,181,106,70,16455,4411,1.56,57,143,107,23,67,74,75,29,43,573,298,7,2,1,0,53186,10959954,16,57,10,19,24,11678,5702,65735,32000,35037,17079,39278,19246,104.8,105.4,105.1,104.1,216.5,7.8,9.4,1.9,8.6,5.4,6.1,24.2,48.6,38.7,21.6,27.8,23.1,35.5,40.1,1.1,1.6,6.2,61.7,20.2,11.8,17,45.9,3.8,3.4,1.6,21,16.1,11.9,2.5,1.9,1,19.7,12.6,10.3,112.4,110.7,95.6,96.7,15,12.6,89.9,91.5,74.9,79.5,90.2,7.3,2.5,91.3,4.7,4,93.3,3.2,3.5,93.9,2.8,3.3,93.1,1.9,4.9,86.2,1.4,12.4,83.3,2.9,13.8,85,2.8,12.2,75.1,4.8,20.1,86.5,1.7,11.8,91.5,1.3,7.2,81.2,2,16.8
Kandal,768,6938,216,285422,142055,14853,5125,7346,4231,1556,411,8902,4642,253,373,100,42,276,0,196,219,469,552,49.1,28.9,557,138,373,91,282,2890,68,140,108,1254,16,95,4,90,30733,14068,3902,1431,30987,14605,3077,1076,31375,14943,2223,749,29926,14532,1697,577,26277,12841,1229,410,23425,11596,715,236,21254,10975,609,168,17804,9218,389,119,16103,8398,408,119,14593,8019,285,101,13013,7253,135,48,11170,6297,184,91,26831,22750,172723,46061,20645,12845,55161,10098,14308,10188,38776,5159,26.7,18.3,13.3,202,1104,2581,3154,307,0,50,265,482,613,143,2,0,3,4,19,9,0,1704,8210,1692,8178,12,32,0,0,111,225,1520,1020,1520,5762,216,500,518,518,518,518,155,139,22419,10273,1.26,133,130,110,47,99,82,88,33,61,702,345,7,2,12,9,44454,16444138,25,42,5,10,23,23003,11258,130273,63938,67636,33018,74116,35963,104.3,103.7,104.8,106.1,371.6,9.6,11.6,2.2,10.7,7.5,9,35.9,25.5,38.9,28.1,38.9,32.1,41.1,49.5,1.2,1.3,6.6,60.5,19.3,13.6,17.5,52.1,7.4,2.5,1.6,26.7,18.3,13.3,5.4,1.4,1.1,27,14.5,11.5,116.6,112.2,98.9,98.6,15.2,12.2,89.1,93.7,85.6,88.7,87,12.2,0.9,89.4,9.4,1.2,91,7.2,1.8,90.9,6.2,3,90.6,4.9,4.5,92.3,3.1,4.6,85,3,12,88.4,2.2,9.5,86.4,2.4,11.2,87.5,1.9,10.6,93,1.1,5.9,78,1.9,20.2
Kep,50,295,9,9708,4768,277,87,460,256,105,21,565,277,22,22,4,2,9,0,11,20,26,31,45,24.3,44,3,22,6,16,114,6,10,5,45,0,0,0,0,970,457,58,21,1013,476,47,12,1061,519,38,9,1018,490,36,7,945,478,25,8,831,403,18,6,660,324,17,6,560,251,12,5,457,234,8,4,368,213,15,7,327,174,0,0,311,181,3,2,912,773,5838,943,643,435,1677,214,353,251,1006,140,16.2,12.8,13.9,1,20,222,189,20,12,0,7,35,55,7,4,0,0,2,0,0,0,93,563,93,563,0,0,0,0,2,0,73,72,73,259,9,10,0,0,0,0,6,12,13175,1743,1.67,5,17,10,3,4,12,10,0,2,39,21,8,2,0,0,61161,10368159,2,5,0,4,0,889,433,4982,2460,2530,1248,2746,1340,105.3,102.5,102.7,104.9,194.2,9.2,11.3,1.9,11.3,5.2,5.9,18,22,48,38,21.1,17.2,32.9,37.5,1.1,1.7,12.2,60.1,17.3,10.4,18.6,49,3.8,2.2,1.8,16.2,12.8,13.9,2.2,1.9,1.6,14.8,9.9,11.8,102.6,100.7,87,88.2,15.2,12.4,87.2,86.9,82.3,82.1,94.2,5.7,0.1,92,4.2,3.8,93.7,3.6,2.7,92.2,3.6,4.2,92.8,2.9,4.3,93.1,2.4,4.4,79.1,2.5,18.5,88.4,2.4,9.3,84.6,1.9,13.5,81.1,3.7,15.1,94.5,0,5.5,89.3,1.1,9.6
Koh Kong,231,1219,11,30623,15182,939,351,1237,611,202,59,1439,670,77,122,19,13,71,0,6,73,130,141,41.2,20.1,197,15,122,23,99,611,2,3,4,31,0,0,0,0,3371,1558,257,98,3333,1585,190,76,3212,1551,137,52,3011,1505,65,24,2820,1394,34,11,2382,1138,34,11,2185,1110,87,28,1857,964,39,17,1667,836,50,13,1328,714,24,11,1178,660,0,0,1097,574,22,10,3114,2243,18129,4151,2098,1091,5709,1373,1304,835,3603,769,22.9,24,21.3,30,134,798,294,11,0,1,26,103,61,12,0,0,3,1,4,0,0,299,1379,239,1242,58,135,2,2,19,39,232,194,232,879,11,59,61,61,61,61,30,36,13539,5423,1.73,25,30,29,10,8,5,7,2,1,217,123,7,2,2,1,85312,10307467,10,21,6,17,1,2425,1246,14367,7303,7572,3785,8066,4011,94.6,96.7,100.1,101.1,132.6,5.4,6.2,1.3,6,3.8,5.3,30.7,2.6,43.7,39,24.8,21.3,25.1,34.8,1.4,1.7,10.4,59.2,18.6,11.8,14,46.6,4,3.1,1.3,22.9,24,21.3,3.1,2,1.1,20.4,18.9,18.2,128.4,117.2,92.5,88,28,24.9,90,95.2,77.3,80.9,91,7.4,1.5,89.3,5.5,5.2,91.1,4.2,4.7,92.9,2.2,5,94,1.4,4.7,87.3,1.5,11.2,83.5,4,12.5,87.4,2.1,10.5,79,3,18,94,1.9,4.1,89.1,0,10.9,73.5,2.1,24.4
