Province,Table_1 | Number of Schools,Table_1 | Disadv. Schools,Table_1 | Number of Classes,Table_1 | Classes in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift Schools | Lycee,Table_2 | Floating Schools | Lycee,Table_2 | Schools in Pagoda | Lycee,Table_2 | Attached Pre-Sch. | Lycee,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high schoolClasses,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area per Student | Playground,Table_12 | Pre-School with Sport Facility | Playground,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Director of the Provincial Education Service,Table_14 | Provincial Edn. Service | Total,Table_14 | Provincial Edn. Service | Female,Table_14 | District Edn. Office | Total,Table_14 | District Edn. Office | Female,Table_14 | Teaching Staff at Schools | Total,Table_14 | Teaching Staff at Schools | Female,Table_14 | Non-Tch. Staff at Schools | Total,Table_14 | Non-Tch. Staff at Schools | Female,Table_14 | Total Staff | Total,Table_14 | Total Staff | Female,Table_15 | Aged 6 | Total,Table_15 | Aged 6 | Girl,Table_15 | Aged 6-11 | Total,Table_15 | Aged 6-11 | Girl,Table_15 | Aged 12-14 | Total,Table_15 | Aged 12-14 | Girl,Table_15 | Aged 15-17 | Total,Table_15 | Aged 15-17 | Girl,Table_15 | Sex-Ratio of Population | Aged 6,Table_15 | Sex-Ratio of Population | 6-11,Table_15 | Sex-Ratio of Population | 12-14,Table_15 | Sex-Ratio of Population | 15-17,Table_16 | Pupils per School,Table_16 | Teachers per School,Table_16 | Staff per School,Table_16 | Buildings per School,Table_16 | Rooms per School,Table_16 | Classrooms per School,Table_16 | Classes per School,Table_16 | Percentage of Schools | 2 - shift,Table_16 | Percentage of Schools | in Pagoda,Table_16 | Percentage of Schools | w/o Water,Table_16 | Percentage of Schools | w/o Toilet,Table_17 | Pupil Teacher Ratio,Table_17 | Pupil Staff Ratio,Table_17 | Pupil Class Ratio,Table_17 | Pupil Classroom Ratio,Table_17 | Classes per Classroom,Table_17 | Classroom Area (m2) per Pupil,Table_17 | Percentage of Total Students in | Pre-school,Table_17 | Percentage of Total Students in | Primary,Table_17 | Percentage of Total Students in | Lower Secondary,Table_17 | Percentage of Total Students in | Upper Secondary,Table_17 | Percentage of | Non-tching Staff,Table_17 | Percentage of | Female Staff,Table_18 | % Repeaters (Total) | Primary,Table_18 | % Repeaters (Total) | L.Sec.,Table_18 | % Repeaters (Total) | U.Sec.,Table_18 | % Over-age Enrollment (Total) | Primary,Table_18 | % Over-age Enrollment (Total) | L.Sec.,Table_18 | % Over-age Enrollment (Total) | U.Sec.,Table_18 | % Repeaters (Girl) | Primary,Table_18 | % Repeaters (Girl) | L.Sec.,Table_18 | % Repeaters (Girl) | U.Sec.,Table_18 | % Over-age Enrollment  (Girl) | Primary,Table_18 | % Over-age Enrollment  (Girl) | L.Sec.,Table_18 | % Over-age Enrollment  (Girl) | U.Sec.,Table_19 | Gross Admission Rate | Total,Table_19 | Gross Admission Rate | Girl,Table_19 | Net Admission Rate | Total,Table_19 | Net Admission Rate | Girl,Table_19 | % Over-age (6+) Admission | Total,Table_19 | % Over-age (6+) Admission | Girl,Table_19 | Transition Rate to Lower Sec. 2014/2015 | Total,Table_19 | Transition Rate to Lower Sec. 2014/2015 | Girl,Table_19 | Transition Rate to Upper Sec. 2014/2015 | Total,Table_19 | Transition Rate to Upper Sec. 2014/2015 | Girl,Table_20 | Grade 1 | Promotion,Table_20 | Grade 1 | Repetition,Table_20 | Grade 1 | Dropout,Table_20 | Grade 2 | Promotion,Table_20 | Grade 2 | Repetition,Table_20 | Grade 2 | Dropout,Table_20 | Grade 3 | Promotion,Table_20 | Grade 3 | Repetition,Table_20 | Grade 3 | Dropout,Table_20 | Grade 4 | Promotion,Table_20 | Grade 4 | Repetition,Table_20 | Grade 4 | Dropout,Table_21 | Grade 5 | Promotion,Table_21 | Grade 5 | Repetition,Table_21 | Grade 5 | Dropout,Table_21 | Grade 6 | Promotion,Table_21 | Grade 6 | Repetition,Table_21 | Grade 6 | Dropout,Table_21 | Grade 7 | Promotion,Table_21 | Grade 7 | Repetition,Table_21 | Grade 7 | Dropout,Table_21 | Grade 8 | Promotion,Table_21 | Grade 8 | Repetition,Table_21 | Grade 8 | Dropout,Table_22 | Grade 9 | Promotion,Table_22 | Grade 9 | Repetition,Table_22 | Grade 9 | Dropout,Table_22 | Grade 10 | Promotion,Table_22 | Grade 10 | Repetition,Table_22 | Grade 10 | Dropout,Table_22 | Grade 11 | Promotion,Table_22 | Grade 11 | Repetition,Table_22 | Grade 11 | Dropout,Table_22 | Grade 12 | Promotion,Table_22 | Grade 12 | Repetition,Table_22 | Grade 12 | Dropout
Banteay Meanchey,774,33,4276,21,139995,69636,4534,1679,4635,2258,935,223,5570,2481,286,408,54,26,305,0,281,285,493,306,47.2,22.9,211,80,408,85,323,2111,256,431,24,169,1,3,0,0,19423,9179,1357,507,17657,8443,858,326,15975,7896,633,221,14251,7135,443,172,13072,6593,344,131,12340,6239,201,64,10294,5252,152,41,7990,4104,62,14,5872,3021,133,44,3959,2116,33,13,2859,1470,27,10,2804,1457,291,136,18066,13472,92718,11318,10142,5544,24156,5110,3926,2547,9622,1810,12.2,21.2,18.8,65,865,2876,802,27,0,18,248,498,147,24,0,0,1,17,23,0,0,1145,4643,807,3603,333,1029,5,11,41,60,304,235,302,3262,21,140,256,1070,777,1216,300,250,58269,9980,1.44,108,216,181,16,52,75,139,140,138,597,514,5,1,8,8,12178,4361599,23,77,8,6,10,CHHOEUY CHANNA,92,29,146,35,4635,2258,935,223,5808,2545,15295,7494,96180,46816,54362,26307,57930,28085,104.1,105.4,106.6,106.3,180.9,6,7.2,1.5,6,4.2,5.5,39.4,36.3,63.7,39.5,30.2,25.1,32.7,42.9,1.3,1.4,9.6,66.2,17.3,6.9,16.8,44.5,4.1,1.4,3.6,12.2,21.2,18.8,3.1,0.8,3.2,10.9,18.7,16,118.1,115.7,88.1,88.9,25.4,23.2,80,82.5,67.8,68.6,87.5,7.1,5.4,87.8,4.9,7.3,88.5,4.1,7.5,87.2,3,9.8,88,2.5,9.5,88.7,1.6,9.8,77.6,1.5,20.9,76.9,0.8,22.2,74.3,2.3,23.4,82.8,1,16.3,87.5,0.9,11.5,47.4,10.3,42.3
Battambang,1044,19,6995,20,233906,115311,11614,4490,6764,3876,1829,665,8593,4541,301,625,95,23,563,6,260,273,713,317,46,21.2,345,192,625,155,470,3337,205,368,51,417,4,28,0,0,36452,16745,4226,1753,32017,15098,2124,829,28616,13568,1661,603,25152,12259,1079,417,22451,11155,700,254,20693,10426,396,133,16854,8654,433,142,12235,6498,196,48,9246,4967,235,83,6644,3657,74,27,4969,2716,54,14,4762,2519,436,187,32226,21337,165381,24654,16421,7082,38335,11456,6570,3310,16375,3961,14.9,29.9,24.2,131,1499,3720,1356,57,1,80,501,864,331,50,3,6,15,45,5,3,1,1641,6796,1172,5313,450,1435,19,48,47,137,370,269,381,5069,20,162,555,1281,846,1223,495,328,30712,7147,1.3,244,273,126,47,67,163,187,180,208,981,961,5,1,4,0,13938,3629355,32,100,15,11,20,NGY SET,117,33,184,46,6764,3876,1829,665,8894,4620,23028,11134,146390,70906,84937,41221,91905,44326,106.8,106.5,106.1,107.3,224,6.5,8.2,1.6,6.5,4.9,6.7,53.9,24.9,68.3,30.4,34.6,27.2,33.4,46.1,1.4,1.3,5.9,70.7,16.4,7,21.3,52.8,6.2,2.3,3.4,14.9,29.9,24.2,5,1.4,2.6,13.9,27.8,21.3,139.9,134.7,92.7,90.5,33.8,32.8,79,82.1,69.3,72,81.5,11.5,6.9,86.6,6.8,6.5,86.1,5.9,8,86.1,4.3,9.7,86,3,11,84.4,1.9,13.7,73.9,2.7,23.4,75.9,1.7,22.5,72.2,2.5,25.3,77.8,1.2,21,86.2,1.1,12.7,44.2,8.8,47
Kampong Cham,757,41,5544,108,212068,105172,14465,5451,5576,3139,1626,561,7202,3700,232,405,80,40,330,0,131,231,398,311,38.9,25.1,91,86,405,63,342,2878,36,51,87,706,7,49,1,19,28883,13492,3585,1424,25954,12278,2708,1049,24133,11657,2218,836,21931,10624,1767,654,20475,10254,1405,527,19179,9631,796,261,16490,8662,678,203,13075,6875,269,89,10185,5255,424,138,7785,4152,73,21,6091,3193,38,11,5368,2856,504,238,25298,18522,140555,21587,15812,8455,39750,9903,7712,4613,19244,3851,15.4,24.9,20,105,2022,2827,610,12,0,43,677,740,144,20,2,7,19,23,13,1,0,1376,5912,1284,5636,91,275,1,1,53,61,286,167,240,4346,108,236,237,1076,510,731,331,314,12553,8055,1.22,23,231,35,11,66,84,126,130,146,551,481,6,1,9,0,16252,4748181,15,59,10,2,11,LY MENGSAN,133,50,128,43,5576,3139,1626,561,7463,3793,18995,9279,121504,59356,68691,33348,71301,33999,104.7,104.7,106,109.7,280.1,7.4,9.5,1.8,7.8,5.7,7.3,43.6,17.3,52.6,41.1,38,29.4,38.3,48.8,1.3,1.2,5.9,66.3,18.7,9.1,22.6,51.4,8.9,3.4,3.2,15.4,24.9,20,7,2.1,2.6,13.7,22,17.5,133.2,130.1,97.5,98.6,26.8,24.2,80.7,85.5,72.7,75.9,83.3,12.8,3.9,84.7,10.5,4.9,84.7,9.3,6,85.8,7.9,6.3,86.5,6.6,6.9,88.5,4.1,7.5,76.8,4.1,19.1,78.1,2.2,19.8,73.6,4,22.4,79.6,1,19.4,86,0.7,13.4,38.8,8.6,52.5
Kampong Chhnang,447,4,3093,14,112868,56749,5800,2125,3383,1524,625,172,4008,1696,99,273,60,15,176,6,122,81,134,108,48.7,21.2,76,75,273,49,224,1624,93,179,20,178,9,35,0,0,14464,6946,1685,666,13632,6571,1142,417,12742,6262,884,328,11588,5705,649,242,11023,5425,422,147,10626,5469,241,72,9395,4881,177,55,7509,4059,92,26,5908,3088,80,18,4162,2238,38,8,3232,1713,44,13,2814,1400,346,133,12779,10445,74075,7700,9218,4650,22812,6431,4124,2228,10208,2104,10.4,28.2,20.6,16,727,2071,538,31,0,4,194,324,87,16,0,0,0,3,13,1,0,809,3401,729,3207,72,176,8,18,15,38,121,86,120,2321,14,55,178,466,310,344,224,141,34448,21604,1.28,129,205,120,28,64,77,214,210,187,429,382,6,1,3,2,17418,4275691,14,45,0,1,4,PICH SAMBO,105,32,114,31,3383,1524,625,172,4227,1759,11068,5430,69867,34246,39432,19180,40461,19375,103.8,104,105.6,108.8,252.5,7.6,9,1.8,7.6,5.2,6.9,39.4,27.3,30,24.2,33.4,28.2,36.5,48.6,1.3,1.3,5.1,65.6,20.2,9,15.6,42.3,6.8,1.5,4.2,10.4,28.2,20.6,5.1,0.8,2.9,9.5,25.6,16.7,115.5,115.7,94.4,95.9,18.3,17.1,83.9,87.1,74.1,75.3,85.9,11.6,2.5,89.4,8.6,2,90.1,7.3,2.6,90.4,5.5,4.1,92.1,3.7,4.2,93,2.2,4.8,83.2,2,14.8,82.6,1.3,16.1,83.3,1.4,15.2,83.3,1,15.7,85,1.5,13.5,46.1,11.8,42
Kampong Speu,562,5,4017,33,165118,80487,7053,2817,4270,1750,805,151,5075,1901,157,312,70,23,275,0,164,154,180,86,46.2,22.2,153,48,312,48,264,2243,120,216,37,305,4,18,3,32,22603,10720,2239,920,20751,9868,1282,549,19704,9650,1012,384,17114,8186,734,265,16991,8465,657,283,16328,8170,645,286,13611,6952,98,28,10468,5380,36,6,7753,3685,119,25,5040,2333,4,1,3822,1806,15,2,3374,1492,212,68,20364,15466,113491,12821,13513,5965,31832,9090,5036,2661,12236,2776,11.3,28.6,22.7,76,1051,2231,881,31,0,21,243,373,150,18,0,5,31,44,63,3,0,1149,4933,1056,4683,91,248,2,2,44,47,250,176,254,3115,33,165,201,903,637,911,341,255,26977,16409,1.14,194,393,227,18,48,75,311,320,286,523,523,6,1,4,1,15524,4650505,19,105,5,5,7,SAM SAMENTA,74,19,115,19,4270,1750,805,151,5264,1939,16630,8193,107097,52724,60338,29320,60752,28652,103,103.1,105.8,112,293.8,7.6,9,2,8.8,5.5,7.1,48.9,29.2,32,15.3,38.7,32.5,41.1,53,1.3,1.1,4.6,68.7,19.3,7.4,15.9,37.5,5.8,0.8,1.9,11.3,28.6,22.7,4.9,0.4,1.3,10.6,25.1,17.3,122.5,119.6,93,91.8,24.1,23.2,78,81.2,66.6,67.4,84.1,9.7,6.3,92.4,6.3,1.3,89.5,5.5,5,91,4.1,4.9,90.7,3.8,5.5,92.5,3.7,3.8,75.5,0.7,23.8,78.5,0.4,21.1,75.9,1.6,22.5,79.9,0.1,20,86.7,0.4,12.9,37,5.9,57.1
Kampong Thom,748,10,4369,16,147454,74173,10482,4187,4313,2218,711,183,5024,2401,183,474,69,22,296,4,216,183,265,185,29.8,20.4,243,134,474,74,400,2459,169,270,44,281,3,13,0,0,20963,9710,3169,1328,18631,8987,2031,808,17478,8466,1625,613,16093,8173,1261,489,14901,7558,840,330,13444,7075,648,231,10867,5876,277,113,8358,4523,151,55,6227,3331,226,105,4674,2501,33,7,3847,2042,21,8,3406,1651,200,100,17794,12247,101510,14494,10590,4371,25452,7719,4641,2352,11927,3037,14.3,30.3,25.5,97,891,2277,985,63,0,16,175,301,199,19,1,2,12,21,24,6,0,1213,4773,1117,4552,92,210,4,11,38,106,210,117,158,3213,16,138,402,651,411,454,360,341,19462,11238,1.33,232,176,71,11,48,106,204,206,178,688,604,6,2,4,2,19365,4583401,22,165,9,11,4,CHOU VUNTHY,88,19,110,24,4313,2218,711,183,5222,2444,14603,7095,93554,45634,52094,25317,52914,25071,105.8,105,105.8,111.1,197.1,5.8,6.7,1.6,6.4,4.3,5.8,39.6,28.9,35.4,24.7,34.2,29.3,33.8,45.9,1.4,1.3,5.8,68.8,17.3,8.1,14.2,47.8,9.4,2.6,2.1,14.3,30.3,25.5,7.6,2,1.9,13.9,27.6,20.8,121.9,118.1,83.9,83.1,31.2,29.7,79.4,83.3,74.1,74.6,68,13,19.1,83.9,10.8,5.3,83.4,9.1,7.4,78.6,7,14.4,85.3,5.6,9.1,85.9,4.9,9.2,76.6,2.6,20.8,80.3,2,17.7,79.2,3.6,17.2,85.4,0.7,13.8,87.7,0.6,11.7,45,5.5,49.5
Kampot,580,4,3653,273,133226,64479,4678,1704,4541,2191,939,186,5480,2377,174,307,78,21,195,0,327,174,161,160,45.3,22.9,199,29,307,63,244,1756,144,196,151,1332,32,171,0,0,15484,7292,1339,525,14533,6914,770,302,14236,6845,546,206,13142,6363,525,194,13584,6542,400,134,13264,6413,276,94,11976,5936,180,58,9656,4815,73,13,7581,3664,232,46,5400,2688,45,10,4145,2037,15,1,3774,1795,277,121,14145,10387,84243,10723,11796,5851,29213,7986,5355,2964,13319,2827,12.7,27.3,21.2,26,878,2665,932,40,0,3,207,468,234,27,0,0,2,12,10,1,0,988,4420,927,4252,57,158,4,10,23,62,201,108,181,2992,273,104,256,741,358,514,342,271,14723,8078,1.31,100,303,85,24,88,159,290,289,290,558,504,6,1,6,4,12829,3201505,3,48,6,2,16,TAK HAP,96,15,114,24,4541,2191,939,186,5690,2416,12488,6064,82191,39906,47542,23003,48319,23051,105.9,106,106.7,109.6,229.7,7.8,9.4,1.7,7.6,5.2,6.3,33.6,56.4,27.8,27.6,29.3,24.3,36.5,44.5,1.2,1.3,4.8,63.2,21.9,10,17.1,43.4,4.6,1.7,2.5,12.7,27.3,21.2,3.6,0.8,2,11.5,24.2,16.8,113.3,111.6,83.2,82.4,26.6,26.1,84,87.2,71.4,73.2,87.5,8.5,4,92.1,5.2,2.7,91.2,3.9,4.9,90.7,3.6,5.6,90.4,2.8,6.8,91.3,2,6.7,81.2,1.5,17.2,82.4,0.8,16.8,76.6,3.1,20.3,82.3,0.9,16.8,85.5,0.4,14.1,48.5,7.2,44.4
Kandal,729,13,6355,27,235083,114190,14486,4990,6999,3794,1436,367,8435,4161,218,373,101,37,357,0,345,193,355,222,51.5,26.9,143,113,373,79,632,4954,207,396,117,1322,17,99,4,75,31028,14176,3759,1421,29028,13750,2723,1019,26325,12540,2233,793,23495,11168,1643,557,21762,10472,1154,352,20583,10235,629,179,18890,9623,675,179,15274,7781,246,60,11894,6014,347,74,9134,4638,163,33,7347,3712,100,27,7138,3541,814,296,27269,21221,152221,20614,18215,10141,46058,11089,8971,5544,23619,4613,13.5,24.1,19.5,87,1634,3629,1483,166,0,22,486,611,248,69,0,0,23,72,97,26,0,1626,7243,1583,7147,39,94,4,2,50,62,351,209,1312,4909,27,159,365,1173,709,856,431,341,116214,37983,1.27,254,304,101,68,147,188,367,363,346,721,698,6,2,8,0,23901,9501517,8,17,12,2,2,UNG TOLA,118,38,148,38,6999,3794,1436,367,8701,4237,21606,10491,134450,65124,77851,37549,86453,41386,105.9,106.5,107.3,108.9,322.5,9.6,11.6,2.2,9.9,6.7,8.7,49,47.3,48.7,30.5,33.6,27.9,37,47.9,1.3,1.3,5.6,64.8,19.6,10,17,49.3,8,2.8,4.6,13.5,24.1,19.5,6,1.3,3,11.8,20.2,15.5,126.2,121.6,98.2,97.1,22.2,20.2,86.3,90.2,73.7,77.1,86.4,12.4,1.2,88.6,10,1.4,88.7,9.1,2.3,89.2,7.1,3.6,89.4,5.2,5.5,91.1,3,5.9,78.8,3.5,17.7,81.3,1.7,17,76.7,2.8,20.5,80,1.8,18.2,84.8,1.3,13.8,40.8,10.3,48.9
Kep,50,0,281,7,8162,3977,232,74,471,234,95,24,566,258,22,22,4,2,14,0,22,22,22,21,47,20.8,21,9,22,6,16,112,17,24,5,46,0,0,0,0,919,456,48,15,864,404,29,13,786,361,19,5,765,384,14,4,742,347,8,3,765,346,13,4,682,326,49,12,565,298,5,2,491,247,31,8,305,152,0,0,282,147,0,0,255,144,16,8,871,661,4841,548,633,354,1738,502,305,160,842,213,11.3,28.9,25.3,0,33,285,152,1,0,0,9,50,34,2,0,0,0,0,6,0,0,83,391,82,390,1,1,0,0,0,0,12,3,11,241,7,0,0,43,9,45,20,18,29123,45313,1.66,7,19,4,3,0,8,40,39,29,44,34,5,1,0,0,25007,3872228,0,3,0,0,0,NGOUN CHANSOCHEATA,42,12,21,5,471,234,95,24,629,275,935,449,6181,2959,3597,1720,3728,1776,108.2,108.9,109.1,109.9,163.2,9.4,11.3,1.7,7.8,4.8,5.6,28,44,44,42,17.3,14.4,29,33.9,1.2,1.7,9.1,59.3,21.3,10.3,16.8,45.6,2.7,4.9,1.9,11.3,28.9,25.3,1.9,2.5,1.8,9.5,24.7,22.8,93.2,98.2,70.7,77.1,24.1,21.5,87,92.1,65.7,69.7,92.8,5.3,1.9,93.2,3.5,3.3,93.8,2.4,3.9,90.7,1.7,7.5,88.9,0.9,10.2,93.4,1.8,4.8,74.8,6.5,18.7,82.6,0.9,16.5,70.7,6.7,22.6,90.7,0,9.3,87.5,0,12.5,70.5,5.4,24.1
Koh Kong,199,14,973,2,25287,12231,922,372,981,413,139,29,1120,442,56,115,21,7,86,0,71,52,146,94,32,15.8,41,6,115,29,86,468,44,56,25,109,2,6,0,0,3632,1728,345,144,3368,1602,166,74,2785,1355,98,31,2583,1241,73,28,2267,1122,52,16,2097,1088,33,13,1787,888,2,0,1433,640,5,1,1259,573,81,34,886,410,0,0,680,329,0,0,720,358,67,31,3287,1916,16732,3405,1785,610,4479,1694,886,202,2286,1056,20.4,37.8,46.2,19,216,616,130,0,0,1,27,88,19,4,0,0,3,2,0,0,0,207,821,152,708,54,111,1,2,5,23,41,23,38,681,2,8,95,120,57,93,46,39,19605,13356,1.33,20,49,25,8,3,18,23,22,20,148,141,5,1,0,0,23858,4025920,3,8,0,1,22,NGET LEOUNG,59,18,65,13,981,413,139,29,1244,473,3020,1454,19002,9196,10663,5213,11081,5395,107.7,106.6,104.5,105.4,127.1,4.9,5.6,1,4.1,3.4,4.9,43.2,35.7,73.4,47.2,25.8,22.6,26,37.1,1.4,1.3,7.1,66.2,17.7,9,12.4,39.5,4.6,2,2.9,20.4,37.8,46.2,3.8,1.7,2.8,19.4,34.5,47.5,108.8,108.9,63.4,64,41.7,41.2,78.9,79.3,69.5,69.5,74.7,8.1,17.2,81.5,5,13.4,85.1,3.3,11.6,81.5,2.7,15.9,87.2,2.2,10.6,93.4,1.5,5.2,80,0.1,19.8,82.1,0.3,17.5,75.3,6.4,18.4,85.1,0,14.9,92.2,0,7.8,47.2,9,43.9
