Province,Table_1 | Number of | Schools,Table_1 | Disadv. | Schools,Table_1 | Number of | Classes,Table_1 | Classes | in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-Sch.,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | College,Table_2 | Number of Schools | Lycee,Table_2 | 2 - Shift | Schools,Table_2 | Floating | Schools,Table_2 | Schools | in Pagoda,Table_2 | Attached | Pre-Sch.,Table_2 | Schools Without | Water Sup.,Table_2 | Schools Without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg.Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec+ Ed.,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high schoolClasses,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L. Sec. Enrollment | Total,Table_8 | L. Sec. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U. Sec. Enrollment | Total,Table_8 | U. Sec. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L. Sec.,Table_8 | % Over-age Enrollment in | U. Sec.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.,Table_9 | Education Level of Teaching Staff | U.Sec.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings Without Good | Floor,Table_10 | Buildings Without Good | Roof,Table_10 | Buildings Without Good | Wall,Table_11 | Number of | Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constr.,Table_11 | Classrooms Without Good | Floor,Table_11 | Classrooms Without Good | Roof,Table_11 | Classrooms Without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Cl.room Area | per Student,Table_12 | Pre-School with | Sport Facility,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meet.,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Commu. | Teachers,Table_13 | Teaching | Monks,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | Sch. Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Director of the | Provincial Education Service,Table_14 | Provincial Edn. Service | Total,Table_14 | Provincial Edn. Service | Female,Table_14 | District Edn. Office | Total,Table_14 | District Edn. Office | Female,Table_14 | Teaching Staff at Schools | Total,Table_14 | Teaching Staff at Schools | Female,Table_14 | Non-Tch. Staff at Schools | Total,Table_14 | Non-Tch. Staff at Schools | Female,Table_14 | Total Staff | Total,Table_14 | Total Staff | Female,Table_15 | Aged 6 | Total,Table_15 | Aged 6 | Girl,Table_15 | Aged 6-11 | Total,Table_15 | Aged 6-11 | Girl,Table_15 | Aged 12-14 | Total,Table_15 | Aged 12-14 | Girl,Table_15 | Aged 15-17 | Total,Table_15 | Aged 15-17 | Girl,Table_15 | Sex-Ratio of Population | Aged 6,Table_15 | Sex-Ratio of Population | 6-11,Table_15 | Sex-Ratio of Population | 12-14,Table_15 | Sex-Ratio of Population | 15-17,Table_16 | Pupils | School,Table_16 | Teachers | School,Table_16 | Staff | School,Table_16 | Buildings | School,Table_16 | Rooms | School,Table_16 | Classrooms | School,Table_16 | Classes | School,Table_16 | Percentage of Schools | 2 - shift,Table_16 | Percentage of Schools | in Pagoda,Table_16 | Percentage of Schools | w/o Water,Table_16 | Percentage of Schools | w/o Toilet,Table_17 | Pupil | Teacher,Table_17 | Pupil | Staff,Table_17 | Pupil | Class,Table_17 | Pupil | Classroom,Table_17 | Classes | per,Table_17 | Classroom | Area (m2),Table_17 | Percentage of Total Students in | Pre-school,Table_17 | Percentage of Total Students in | Primary,Table_17 | Percentage of Total Students in | Lower,Table_17 | Percentage of Total Students in | Upper,Table_17 | Percentage of | Non-tching,Table_17 | Percentage of | Female,Table_18 | % Repeaters (Total) | Primary,Table_18 | % Repeaters (Total) | L.Sec.,Table_18 | % Repeaters (Total) | U.Sec.,Table_18 | % Over-age Enrollment (Total) | Primary,Table_18 | % Over-age Enrollment (Total) | L.Sec.,Table_18 | % Over-age Enrollment (Total) | U.Sec.,Table_18 | % Repeaters (Girl) | Primary,Table_18 | % Repeaters (Girl) | L.Sec.,Table_18 | % Repeaters (Girl) | U.Sec.,Table_18 | % Over-age Enrollment  (Girl) | Primary,Table_18 | % Over-age Enrollment  (Girl) | L.Sec.,Table_18 | % Over-age Enrollment  (Girl) | U.Sec.,Table_19 | Gross Admission Rate | Total,Table_19 | Gross Admission Rate | Girl,Table_19 | Net Admission Rate | Total,Table_19 | Net Admission Rate | Girl,Table_19 | % Over-age (6+) Admission | Total,Table_19 | % Over-age (6+) Admission | Girl,Table_19 | Transition Rate to Lower Sec. 2020/2021 | Total,Table_19 | Transition Rate to Lower Sec. 2020/2021 | Girl,Table_19 | Transition Rate to Upper Sec. 2020/2021 | Total,Table_19 | Transition Rate to Upper Sec. 2020/2021 | Girl,Table_20 | Grade 1 | Promotion,Table_20 | Grade 1 | Repetition,Table_20 | Grade 1 | Dropout,Table_20 | Grade 2 | Promotion,Table_20 | Grade 2 | Repetition,Table_20 | Grade 2 | Dropout,Table_20 | Grade 3 | Promotion,Table_20 | Grade 3 | Repetition,Table_20 | Grade 3 | Dropout,Table_20 | Grade 4 | Promotion,Table_20 | Grade 4 | Repetition,Table_20 | Grade 4 | Dropout,Table_21 | Grade 5 | Promotion,Table_21 | Grade 5 | Repetition,Table_21 | Grade 5 | Dropout,Table_21 | Grade 6 | Promotion,Table_21 | Grade 6 | Repetition,Table_21 | Grade 6 | Dropout,Table_21 | Grade 7 | Promotion,Table_21 | Grade 7 | Repetition,Table_21 | Grade 7 | Dropout,Table_21 | Grade 8 | Promotion,Table_21 | Grade 8 | Repetition,Table_21 | Grade 8 | Dropout,Table_22 | Grade 9 | Promotion,Table_22 | Grade 9 | Repetition,Table_22 | Grade 9 | Dropout,Table_22 | Grade 10 | Promotion,Table_22 | Grade 10 | Repetition,Table_22 | Grade 10 | Dropout,Table_22 | Grade 11 | Promotion,Table_22 | Grade 11 | Repetition,Table_22 | Grade 11 | Dropout,Table_22 | Grade 12 | Promotion,Table_22 | Grade 12 | Repetition,Table_22 | Grade 12 | Dropout
Banteay Meanchey,822,0,4882,23,164159,82496,5391,1961,4766,2503,938,243,5704,2746,328,410,54,30,255,0,17,307,520,366,46,23.5,577,106,410,86,324,2255,6,7,10,75,1,4,0,0,18994,8921,1737,669,18253,8782,1130,425,16506,7837,790,271,16301,7923,627,206,15049,7352,421,140,14844,7380,325,108,12398,6475,117,40,10554,5648,54,15,8764,4738,80,28,6038,3438,20,12,5205,2926,8,2,4515,2623,82,45,17257,12191,99947,16233,12281,3262,31716,10002,6018,2216,15758,3698,16.2,31.5,23.5,106,797,2217,1553,93,0,39,180,357,310,52,0,3,9,32,43,1,0,1192,5347,993,4749,199,598,0,0,2120,2151,1382,1271,1213,3976,23,0,0,0,0,0,144,164,38262,11108,1.38,159,141,167,23,26,43,81,67,73,679,645,6,2,7,2,54531,10708094,111,30,24,169,23,CHHOU BUNROEURNG,95,28,116,32,4766,2503,938,243,5915,2806,17727,8478,101813,48706,56835,27156,54605,26216,109.1,109,109.3,108.3,199.7,5.8,6.9,1.5,6.5,4.8,5.9,31,2.1,63.3,44.5,34.4,28.8,33.6,41.3,1.2,1.4,10.2,60.9,19.3,9.6,16.4,48.1,5,0.8,0.7,16.2,31.5,23.5,3.8,0.5,0.7,14.9,29.3,21,97.3,97.3,68.8,70.8,29.4,27.3,84,87.6,79.5,81.1,86.1,8.7,5.2,88.3,6.4,5.3,91,4.6,4.5,89.7,3.8,6.5,91.3,2.6,6.1,91.9,2.2,5.9,88.8,1,10.2,86.2,0.5,13.3,85.7,1.1,13.3,87.5,0.3,12.2,93.1,0.2,6.7,73.2,2.1,24.7
Battambang,1170,0,7827,63,257116,128312,13223,5076,7099,4290,1758,670,8857,4960,389,654,98,29,571,5,55,363,787,373,42.7,22.8,935,250,654,155,499,3660,23,40,29,283,3,27,0,0,32644,15287,4614,1801,29477,13891,2873,1098,27532,13050,1994,763,26587,12749,1282,478,25028,12316,936,307,23067,11511,653,239,19461,10172,167,58,16644,8987,138,65,13931,7514,252,101,9524,5313,53,30,8071,4452,37,19,7373,4112,224,117,28030,19065,175634,59335,19294,4584,50036,17161,9471,3196,24968,7011,33.8,34.3,28.1,249,913,2704,2942,271,20,56,242,573,726,152,9,18,26,31,22,3,0,1722,7364,1423,6442,299,922,0,0,3166,3142,1667,1471,1440,5777,63,0,0,0,0,0,203,154,49856,5843,1.24,209,167,152,25,43,63,90,80,111,1146,1107,6,2,4,8,57855,11941720,119,49,58,452,24,YI SONGKY,126,36,168,47,7099,4290,1758,670,9151,5043,20510,9910,117792,56932,65755,31743,63174,30642,107,106.9,107.1,106.2,229.4,6.1,7.6,1.5,6.3,4.9,6.7,48.8,4.7,67.3,31.9,37.8,30.3,34.3,46.5,1.4,1.2,6.6,65.4,18.6,9.3,19.8,56,7,1.1,1.3,33.8,34.3,28.1,5.4,0.8,1.2,33.1,31.5,26.4,136.7,136.1,93,95.2,32,30,81.1,85.2,77.1,78.8,86.4,10.5,3.1,84.2,9.5,6.3,86.9,6.8,6.3,89.1,4.7,6.1,88,3.7,8.4,74.5,2.7,22.8,85.5,0.9,13.7,85.7,0.9,13.4,72.1,2.1,25.8,83.9,0.6,15.5,92,0.5,7.6,57.8,3.5,38.7
Kampong Cham,820,0,6116,146,223361,118213,14549,5407,5840,3411,1779,722,7619,4133,289,407,81,43,313,0,136,283,379,349,46.1,27.3,501,113,407,66,341,3013,47,77,82,675,5,27,2,42,26921,12429,4424,1663,25295,12431,3017,1148,23026,10869,2348,841,22261,12865,1767,628,21037,13976,1288,443,19977,9820,862,287,16844,8991,141,72,14422,7846,131,46,12577,6878,251,97,9403,5311,48,24,8448,4748,63,31,7491,4278,209,127,22497,16920,138517,36758,16703,5275,43843,13700,9355,3668,25342,6215,26.5,31.2,24.5,175,1385,2441,1728,107,4,81,506,701,423,67,1,4,23,15,25,9,0,1435,7003,1379,6830,56,173,0,0,2640,2707,1729,1801,1702,4846,146,0,0,0,0,0,132,161,18721,8885,1.25,110,118,34,12,21,35,42,44,46,708,671,7,2,18,0,102781,26856795,61,28,33,447,11,LY MENGSAN,134,52,113,39,5840,3411,1779,722,7866,4224,18506,9183,106284,52758,59331,29418,57003,28390,101.5,101.5,101.7,100.8,272.4,7.1,9.3,1.8,8.5,5.9,7.5,38.2,16.6,46.2,42.6,38.2,29.3,36.5,46.1,1.3,1.3,7,62,19.6,11.3,23.3,54.2,9.9,1.2,1.3,26.5,31.2,24.5,6.9,0.9,1.3,30.3,28.7,22.4,121.6,117.2,91.4,91.5,24.8,22,83,87.7,80.5,83.3,80,15.9,4.2,82.6,12.1,5.3,85.5,9.8,4.7,86.4,7.7,5.9,88.3,5.9,5.8,60.6,4.3,35.2,87.9,0.9,11.2,86,0.9,13.1,61.7,2.2,36.1,86.1,0.5,13.4,90.2,0.8,9,55.7,3,41.3
Kampong Chhnang,472,0,3307,23,118383,61090,6480,2210,3586,1776,740,213,4326,1989,115,279,62,16,185,4,43,97,298,97,42,23.3,381,77,279,48,231,1695,9,17,27,215,7,32,0,0,14183,6774,1930,746,13382,6424,1325,450,12271,5847,1079,326,11813,6099,798,242,11284,6292,647,201,10817,5443,383,101,9783,5297,54,24,8517,4623,60,20,7020,3842,60,27,4856,2752,7,2,4148,2276,3,1,3749,2150,134,70,12253,10470,73750,15001,9729,2434,25320,8190,4849,1677,12753,3548,20.3,32.3,27.8,54,467,1581,1419,64,1,10,125,274,287,44,0,0,1,27,32,0,0,842,3888,794,3762,48,126,0,0,1645,1619,602,481,444,2554,23,0,0,0,0,0,85,85,24193,67839,1.21,45,119,84,22,37,53,114,111,111,446,428,7,2,14,0,56805,13849282,66,36,13,220,23,SIM PREM,109,31,102,25,3586,1776,740,213,4537,2045,10839,5389,62253,30957,34752,17262,33388,16659,101.2,101.1,101.3,100.4,250.8,7.6,9.2,1.8,8.2,5.4,7,39.2,9.1,63.1,20.6,33,27.4,35.8,46.4,1.3,1.2,5.5,62.3,21.4,10.8,17.1,46,8.4,0.7,1.1,20.3,32.3,27.8,5.6,0.5,1,19.8,30.6,26,113,111.9,96.6,96.8,14.6,13.5,85.9,90.1,72.4,72.9,85,13.6,1.5,86.8,10.3,2.9,88.9,8.7,2.4,89.5,6.7,3.8,90,5.6,4.4,86.6,3.4,10.1,87.1,0.6,12.4,84.2,0.7,15.1,68.2,0.9,30.9,83.2,0.1,16.6,85.1,0.1,14.8,49.1,3.6,47.3
Kampong Speu,631,0,4182,37,165484,81809,6624,2620,4308,1970,871,177,5179,2147,218,316,72,25,232,0,45,214,318,219,43.5,23.6,456,53,316,49,267,2204,15,19,28,244,1,5,1,15,19207,9013,2057,846,18981,9253,1189,481,18125,8613,1092,446,17017,8193,867,335,16776,8084,591,228,16371,7988,464,169,14031,7349,64,13,11429,5943,54,19,9190,4759,135,35,5900,3098,36,8,4937,2577,27,19,4226,2279,48,21,17150,12957,106477,15859,13967,3811,34650,10373,5864,2286,15063,4073,14.9,29.9,27,100,846,1772,1494,95,1,32,181,287,311,60,0,0,12,18,54,5,3,1092,4605,1041,4454,51,151,0,0,2074,2131,1068,1115,869,3409,37,0,0,0,0,0,100,123,27613,16225,1.35,113,259,219,34,38,62,207,196,182,591,568,7,1,3,0,46762,12081357,127,47,21,313,20,THAN THARIN,96,24,96,18,4308,1970,871,177,5371,2189,18048,8860,103656,50902,57864,28382,55593,27393,103.7,103.6,103.9,102.9,262.3,6.8,8.2,1.7,7.3,5.4,6.6,36.8,7.1,50.4,34.7,38.4,32,39.6,48.5,1.2,1.3,5.6,64.3,20.9,9.1,16.8,41.5,5.9,0.7,0.7,14.9,29.9,27,4.9,0.4,0.6,13.8,27.4,25.7,95,92.2,71.8,70.4,24.4,23.7,81.4,84.6,69.2,69.2,87.1,10.1,2.9,90.5,6.3,3.2,90,6.1,3.9,90.8,4.9,4.3,90.7,3.4,5.9,66.4,2.7,30.9,81,0.5,18.5,79.6,0.5,19.9,45.2,1.6,53.2,77.6,0.6,21.8,86.5,0.6,13,36,1.1,62.9
Kampong Thom,800,0,4920,69,158695,84240,8224,3068,4463,2526,828,218,5291,2744,214,494,67,25,315,6,71,214,485,237,35.3,22.2,607,153,494,88,406,2602,24,31,47,325,0,0,0,0,20594,9975,3077,1254,19597,9108,1580,578,17053,8140,1347,478,16157,9508,864,315,14283,9443,566,189,13610,6983,426,139,11644,6234,85,34,10016,5484,47,9,8662,4605,107,34,6441,3703,26,4,5743,3162,9,2,4964,2818,90,32,17517,13430,101294,23397,11559,2885,30322,10578,6415,2590,17148,4984,23.1,34.9,29.1,129,670,1996,1546,122,0,29,136,285,335,43,0,0,2,13,29,3,0,1198,4756,1108,4555,90,201,0,0,2124,2221,1012,863,706,3857,69,0,0,0,0,0,117,146,46279,11758,1.59,94,121,91,10,10,48,121,105,108,752,708,7,2,16,2,56449,10947376,149,38,28,370,48,TAN BUNHONG,99,21,114,26,4463,2526,828,218,5504,2791,14018,6872,80507,39480,44942,22014,43178,21247,104,103.9,104.2,103.2,198.4,5.6,6.6,1.5,5.9,4.8,6.2,39.4,8.9,60.6,29.6,35.6,30,32.3,41.1,1.3,1.6,6.3,63.8,19.1,10.8,15.6,51.9,7.8,0.8,0.7,23.1,34.9,29.1,5.6,0.5,0.4,25,31.9,27.1,125,126.9,95.8,96.4,23.3,24,85.8,88.8,78.4,79.7,82.3,14.1,3.7,86.2,8.7,5.1,87,7.7,5.3,87.1,5.5,7.4,87.8,3.8,8.4,66.4,3.2,30.4,84.5,0.7,14.8,83.8,0.5,15.7,73.2,1.3,25.5,85.7,0.4,13.9,91.5,0.2,8.3,58.9,1.9,39.2
Kampot,612,0,4710,79,125456,61766,4613,1626,4740,2374,998,226,5738,2600,202,310,76,24,171,0,296,197,406,194,45.1,26.3,508,33,300,61,239,1745,107,138,153,1282,35,185,1,13,14818,6860,1593,631,13809,6571,860,278,12471,5798,600,181,11982,5751,422,153,11282,5425,285,86,11154,5394,260,79,10392,5331,143,56,9057,4815,72,32,7982,4156,199,51,5526,2953,43,17,5312,2788,34,18,4629,2473,102,44,13225,10196,75516,10212,10249,3206,27431,8617,5483,2456,15467,4219,13.5,31.4,27.3,83,799,2303,1482,73,0,30,161,448,309,50,0,1,3,17,20,3,0,917,4274,886,4185,31,89,0,0,1721,1749,1054,1019,849,3216,79,0,0,0,0,0,121,87,10370,5138,1.49,54,171,84,22,46,108,172,159,158,556,540,7,2,3,0,54838,11038603,32,7,15,255,12,TAK HAP,108,15,109,23,4740,2374,998,226,5955,2638,12213,5997,70145,34456,39157,19212,37620,18543,103.6,103.6,103.8,102.9,208.4,7.9,9.5,1.5,7.1,5.3,7.8,28.4,49.2,67.4,32.2,26.5,21.9,26.6,39,1.5,1.5,5.6,60.2,21.9,12.3,17.4,45.3,5.3,1.5,1.2,13.5,31.4,27.3,3.9,1,1,12.2,28.7,24,108.3,103.9,83.5,81.1,22.9,21.9,91,95.3,75.1,75.8,85,10.5,4.5,89.6,6.5,3.9,90.9,4.7,4.4,90.9,3.5,5.6,92.4,2.4,5.2,81.5,2.3,16.2,87.3,1.4,11.3,84.8,0.8,14.4,73.2,2.7,24,85,0.7,14.3,90,0.7,9.4,60.9,2.2,36.9
Kandal,761,0,6810,175,263786,130356,19661,7286,7299,4114,1516,402,8815,4516,248,373,100,40,309,0,205,219,279,233,45.7,27.1,534,134,373,79,496,3420,69,139,114,1267,18,117,4,80,31962,14772,5786,2239,29303,13751,3874,1452,27449,12960,3247,1215,25903,12553,2570,910,24049,11469,1989,670,23034,11198,1344,491,20965,10761,193,79,18850,9905,199,76,15976,8308,186,47,11393,6220,77,28,10235,5614,33,8,8845,4970,163,71,26176,21037,161700,23889,20772,6815,55791,16450,11316,4881,30473,6926,14.8,29.5,22.7,274,1343,2870,2611,201,0,52,318,488,548,107,3,1,5,10,22,2,0,1511,6924,1488,6866,23,58,0,0,2516,2593,1440,1324,1106,5590,175,0,0,0,0,0,147,116,50102,12238,1.36,126,173,99,40,78,94,181,164,177,702,658,7,2,18,10,42889,15734624,24,13,16,291,8,CHENG SAM UL,113,39,125,36,7299,4114,1516,402,9053,4591,24713,12143,141934,69764,79233,38900,76123,37544,103.5,103.4,103.7,102.8,346.6,9.6,11.6,2,9.1,7.3,8.9,40.6,26.9,36.7,30.6,36.1,29.9,38.7,47.2,1.2,1.4,6,61.3,21.2,11.6,17.2,51.2,11.6,1,0.9,14.8,29.5,22.7,9.1,0.7,0.6,12.6,26,20.6,105.9,103.2,85.1,83.4,19.6,19.2,86.6,91.2,80.1,82.3,79.3,18,2.7,83.6,13.4,3,84.8,11.8,3.4,86.2,10,3.7,87.1,8,5,90.5,5.6,3.9,89.3,0.9,9.8,88.8,1.1,10.1,84,1.3,14.7,87.6,0.7,11.7,89.3,0.3,10.4,63.4,1.9,34.6
Kep,50,0,300,9,9014,4477,350,111,476,258,97,19,573,277,22,22,4,2,10,0,10,22,29,22,44.4,23.6,42,4,22,6,16,115,5,9,5,45,0,0,0,0,1079,499,136,51,1055,508,78,23,948,466,40,12,881,423,21,4,798,381,21,7,720,344,9,2,646,367,4,1,571,290,3,0,516,261,37,10,329,184,0,0,335,184,0,0,319,153,1,1,943,642,5481,1028,642,97,1733,646,329,86,983,326,18.8,37.3,33.2,0,23,266,177,10,0,1,5,43,45,3,0,0,0,1,0,0,0,91,521,91,521,0,0,0,0,202,205,36,50,43,262,9,0,0,0,0,0,9,9,13701,1898,1.73,3,13,8,0,0,12,20,18,18,35,34,7,2,0,0,66392,10941171,1,0,0,28,0,NGOUN CHANSOCHEATA,46,14,16,6,476,258,97,19,635,297,878,422,5040,2426,2813,1353,2703,1306,107.8,107.8,108,107,180.3,9.5,11.5,1.8,10.4,5.2,6,20,20,58,44,18.9,15.7,30,34.4,1.1,1.7,9.1,60.8,19.2,10.9,16.9,48.3,5.6,2.5,0.1,18.8,37.3,33.2,3.8,1.2,0.2,17.3,31.6,29,107.5,106.1,73.2,72.7,31.9,31.5,88.7,94.1,80.8,84,83.6,11.6,4.7,89.9,7.7,2.4,89.9,4.2,6,88.6,2.4,9,88.7,2.6,8.7,83.6,1.2,15.2,89,0.6,10.3,90,0.6,9.4,79.6,9.1,11.3,91.8,0,8.2,94.1,0,5.9,84.6,0.3,15
Koh Kong,223,0,1204,2,28113,13868,995,376,1199,578,186,53,1385,631,71,121,19,12,71,0,5,71,154,94,37.8,18.3,175,14,121,23,98,583,2,2,3,19,0,0,0,0,3590,1763,366,154,3371,1571,233,88,2816,1330,123,44,2628,1259,61,21,2438,1178,69,25,2362,1144,35,9,2144,1085,21,9,1873,1008,25,7,1690,841,46,12,1243,643,4,1,1048,540,1,0,840,438,11,6,3224,1809,17205,3577,2123,496,5707,2361,1239,350,3131,1010,20.8,41.4,32.3,13,186,783,215,2,0,0,41,96,42,7,0,0,3,17,10,0,0,288,1261,233,1131,55,130,0,0,535,547,259,287,243,869,2,0,0,0,0,0,37,27,15453,9466,1.87,24,26,25,5,3,4,9,10,12,197,186,6,2,7,0,570032,70449073,30,3,24,100,0,NGET LEOUNG,74,22,66,18,1199,578,186,53,1525,671,2590,1218,14873,7000,8303,3903,7977,3768,112.5,112.5,112.7,111.7,126.1,5.4,6.2,1.3,5.7,3.9,5.4,31.8,2.2,69.1,42.2,23.4,20.3,23.3,32.4,1.4,1.9,7.4,61.2,20.3,11.1,13.4,45.6,5.2,1.6,0.5,20.8,41.4,32.3,4.1,1,0.4,18.6,36.5,28.2,124.5,132.1,69.9,73.1,43.9,44.6,86.5,89.4,84.6,85.8,85.1,9.9,5,83.9,7.3,8.8,89.8,4.3,5.9,87.1,2.2,10.7,90.8,2.7,6.5,66.8,1.4,31.8,88.4,1,10.6,88.8,1.3,9.9,69.5,3.1,27.3,86.7,0.3,12.9,90.3,0.1,9.6,62,1.3,36.7
