Province,Table_1 | Number of Schools,Table_1 | Number of Classes,Table_1 | Number of Classrooms,Table_1 | Classes in Pagoda,Table_1 | Enrollment | Total,Table_1 | Enrollment | Girl,Table_1 | Repeaters | Total,Table_1 | Repeaters | Girl,Table_1 | Teaching Staff | Total,Table_1 | Teaching Staff | Female,Table_1 | Non-Teaching Staff | Total,Table_1 | Non-Teaching Staff | Female,Table_1 | Total Staff | Total,Table_1 | Total Staff | Female,Table_2 | Number of Schools | Pre-School,Table_2 | Number of Schools | Primary,Table_2 | Number of Schools | L.Sec.Sch.,Table_2 | Number of Schools | U.Sec.Sch.,Table_2 | 2-Shift Schools | U.Sec.Sch.,Table_2 | Floating Schools | U.Sec.Sch.,Table_2 | Schools in Pagoda | U.Sec.Sch.,Table_2 | Attached Pre-Schools | U.Sec.Sch.,Table_2 | Schools without | Water Sup.,Table_2 | Schools without | Latrine,Table_2 | Characteristics of School Principals (Incharge) | Avg. Age,Table_2 | Characteristics of School Principals (Incharge) | Avg. Service,Table_2 | Characteristics of School Principals (Incharge) | U.Sec.Edu.+,Table_2 | Characteristics of School Principals (Incharge) | Female,Table_3 | Number of Primary Schools,Table_3 | Number of Cluster Schools,Table_3 | Satelite School | school,Table_3 | Satelite School | class,Table_3 | Number of schools in Pagoda | Pre school Schools,Table_3 | Number of schools in Pagoda | Pre school Classes,Table_3 | Number of schools in Pagoda | Primary School Schools,Table_3 | Number of schools in Pagoda | Primary School Classes,Table_3 | Number of schools in Pagoda | Junior high school Schools,Table_3 | Number of schools in Pagoda | Junior high school Classes,Table_3 | Number of schools in Pagoda | Senior high school Schools,Table_3 | Number of schools in Pagoda | Senior high school Classes,Table_4 | Enrollment in Grade 1 | Total,Table_4 | Enrollment in Grade 1 | Girl,Table_4 | Repeaters in Grade 1 | Total,Table_4 | Repeaters in Grade 1 | Girl,Table_4 | Enrollment in Grade 2 | Total,Table_4 | Enrollment in Grade 2 | Girl,Table_4 | Repeaters in Grade 2 | Total,Table_4 | Repeaters in Grade 2 | Girl,Table_4 | Enrollment in Grade 3 | Total,Table_4 | Enrollment in Grade 3 | Girl,Table_4 | Repeaters in Grade 3 | Total,Table_4 | Repeaters in Grade 3 | Girl,Table_5 | Enrollment in Grade 4 | Total,Table_5 | Enrollment in Grade 4 | Girl,Table_5 | Repeaters in Grade 4 | Total,Table_5 | Repeaters in Grade 4 | Girl,Table_5 | Enrollment in Grade 5 | Total,Table_5 | Enrollment in Grade 5 | Girl,Table_5 | Repeaters in Grade 5 | Total,Table_5 | Repeaters in Grade 5 | Girl,Table_5 | Enrollment in Grade 6 | Total,Table_5 | Enrollment in Grade 6 | Girl,Table_5 | Repeaters in Grade 6 | Total,Table_5 | Repeaters in Grade 6 | Girl,Table_6 | Enrollment in Grade 7 | Total,Table_6 | Enrollment in Grade 7 | Girl,Table_6 | Repeaters in Grade 7 | Total,Table_6 | Repeaters in Grade 7 | Girl,Table_6 | Enrollment in Grade 8 | Total,Table_6 | Enrollment in Grade 8 | Girl,Table_6 | Repeaters in Grade 8 | Total,Table_6 | Repeaters in Grade 8 | Girl,Table_6 | Enrollment in Grade 9 | Total,Table_6 | Enrollment in Grade 9 | Girl,Table_6 | Repeaters in Grade 9 | Total,Table_6 | Repeaters in Grade 9 | Girl,Table_7 | Enrollment in Grade 10 | Total,Table_7 | Enrollment in Grade 10 | Girl,Table_7 | Repeaters in Grade 10 | Total,Table_7 | Repeaters in Grade 10 | Girl,Table_7 | Enrollment in Grade 11 | Total,Table_7 | Enrollment in Grade 11 | Girl,Table_7 | Repeaters in Grade 11 | Total,Table_7 | Repeaters in Grade 11 | Girl,Table_7 | Enrollment in Grade 12 | Total,Table_7 | Enrollment in Grade 12 | Girl,Table_7 | Repeaters in Grade 12 | Total,Table_7 | Repeaters in Grade 12 | Girl,Table_8 | Grade 1 Intake | Total,Table_8 | Grade 1 Intake | Aged 6,Table_8 | Primary Enrollment | Total,Table_8 | Primary Enrollment | Aged 11+,Table_8 | Grade 7 Intake | Total,Table_8 | Grade 7 Intake | Aged 12,Table_8 | L.Sec.Edu. Enrollment | Total,Table_8 | L.Sec.Edu. Enrollment | Aged 14+,Table_8 | Grade 10 Intake | Total,Table_8 | Grade 10 Intake | Aged 15,Table_8 | U.Sec.Edu. Enrollment | Total,Table_8 | U.Sec.Edu. Enrollment | Aged 17+,Table_8 | % Over-age Enrollment in | Primary,Table_8 | % Over-age Enrollment in | L.Sec.Edu.,Table_8 | % Over-age Enrollment in | U.Sec.Edu.,Table_9 | Education Level of Teaching Staff | Primary,Table_9 | Education Level of Teaching Staff | L.Sec.Edu.,Table_9 | Education Level of Teaching Staff | U.Sec.Edu.,Table_9 | Education Level of Teaching Staff | Graduate,Table_9 | Education Level of Teaching Staff | Post Gaduate,Table_9 | Education Level of Teaching Staff | PhD,Table_9 | Education Level of Non-Teaching Staff | Primary,Table_9 | Education Level of Non-Teaching Staff | L.Sec.Edu.,Table_9 | Education Level of Non-Teaching Staff | U.Sec.Edu.,Table_9 | Education Level of Non-Teaching Staff | Graduate,Table_9 | Education Level of Non-Teaching Staff | Post Graduate,Table_9 | Education Level of Non-Teaching Staff | PhD,Table_9 | Teaching Staff without Pedagogy Training | Primary,Table_9 | Teaching Staff without Pedagogy Training | L.Sec.Edu.,Table_9 | Teaching Staff without Pedagogy Training | U.Sec.Edu.,Table_9 | Teaching Staff without Pedagogy Training | Graduate,Table_9 | Teaching Staff without Pedagogy Training | Post Graduate,Table_9 | Teaching Staff without Pedagogy Training | PhD,Table_10 | Total Number of | Buildings,Table_10 | Total Number of | Rooms,Table_10 | Concrete/Brick Structure | Buildings,Table_10 | Concrete/Brick Structure | Rooms,Table_10 | Wooden Structure | Buildings,Table_10 | Wooden Structure | Rooms,Table_10 | Bamboo Structure | Buildings,Table_10 | Bamboo Structure | Rooms,Table_10 | New Buildings | Repaired,Table_10 | New Buildings | Constructed,Table_10 | Buildings without Good | Floor,Table_10 | Buildings without Good | Roof,Table_10 | Buildings without Good | Wall,Table_11 | Number of Classrooms,Table_11 | Number of Classrooms | in Pagoda,Table_11 | Number of Classrooms | New Repaired,Table_11 | Number of Classrooms | New Constructed,Table_11 | Classrooms without Good | Floor,Table_11 | Classrooms without Good | Roof,Table_11 | Classrooms without Good | Wall,Table_11 | Schools with Separate | Office,Table_11 | Schools with Separate | Library,Table_12 | School Area (m2) | Land,Table_12 | School Area (m2) | Playground,Table_12 | Classroom Area per Student | Playground,Table_12 | Pre-School with Sport Facility | Playground,"Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Volleyball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Football","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Basketball","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Climb.Ropes","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Shotput","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | High Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Long Jump","Table_12 | Schools with Sport Ground, Equipment and Teams / Player for | Running",Table_13 | Parent Association | Exists,Table_13 | Parent Association | Held Meeting,Table_13 | Parent Association | Total,Table_13 | Parent Association | Female,Table_13 | Community Teachers | Female,Table_13 | Teaching Monks | Female,Table_13 | PB Fund (Riel) | per Student,Table_13 | PB Fund (Riel) | per School,Table_13 | Number of Schools Obtaining Funds from | School Income,Table_13 | Number of Schools Obtaining Funds from | Community,Table_13 | Number of Schools Obtaining Funds from | Gvt. For building,Table_13 | Number of Schools Obtaining Funds from | Abroad,Table_13 | Number of Schools Obtaining Funds from | IOs/NGOs,Table_14 | Aged 6 | Total,Table_14 | Aged 6 | Girl,Table_14 | Aged 6-11 | Total,Table_14 | Aged 6-11 | Girl,Table_14 | Aged 12-14 | Total,Table_14 | Aged 12-14 | Girl,Table_14 | Aged 15-17 | Total,Table_14 | Aged 15-17 | Girl,Table_14 | Sex-Ratio of Population | Aged 6,Table_14 | Sex-Ratio of Population | Aged 6-11,Table_14 | Sex-Ratio of Population | Aged 12-14,Table_14 | Sex-Ratio of Population | Aged 15-17,Table_15 | Pupils per School,Table_15 | Teachers per School,Table_15 | Staff per School,Table_15 | Buildings per School,Table_15 | Rooms per School,Table_15 | Classrooms per School,Table_15 | Classes per School,Table_15 | Percentage of Schools | 2-shift,Table_15 | Percentage of Schools | in Pagoda,Table_15 | Percentage of Schools | without Water,Table_15 | Percentage of Schools | without Toilet,Table_16 | Pupil Teacher Ratio,Table_16 | Pupil Staff Ratio,Table_16 | Pupil Class Ratio,Table_16 | Pupil Classroom Ratio,Table_16 | Classes per Classroom,Table_16 | Classroom Area (m2) per Pupil,Table_16 | Percentage of Total Students in | Pre-school,Table_16 | Percentage of Total Students in | Primary,Table_16 | Percentage of Total Students in | L.Sec.Edu.,Table_16 | Percentage of Total Students in | U.Sec.Edu.,Table_16 | Percentage of | Non-tching Staff,Table_16 | Percentage of | Female Staff,Table_17 | % Repeaters (Total) | Primary,Table_17 | % Repeaters (Total) | L.Sec.Edu.,Table_17 | % Repeaters (Total) | U.Sec.Edu.,Table_17 | % Over-age Enrollment (Total) | Primary,Table_17 | % Over-age Enrollment (Total) | L.Sec.Edu.,Table_17 | % Over-age Enrollment (Total) | U.Sec.Edu.,Table_17 | % Repeaters (Girl) | Primary,Table_17 | % Repeaters (Girl) | L.Sec.Edu.,Table_17 | % Repeaters (Girl) | U.Sec.Edu.,Table_17 | % Over-age Enrollment  (Girl) | Primary,Table_17 | % Over-age Enrollment  (Girl) | L.Sec.Edu.,Table_17 | % Over-age Enrollment  (Girl) | U.Sec.Edu.,Table_18 | Gross Admission Rate | Total,Table_18 | Gross Admission Rate | Girl,Table_18 | Net Admission Rate | Total,Table_18 | Net Admission Rate | Girl,Table_18 | % Over-age (6+) Admission | Total,Table_18 | % Over-age (6+) Admission | Girl,Table_18 | Transition Rate to L.Sec.Edu. 2024-2025 | Total,Table_18 | Transition Rate to L.Sec.Edu. 2024-2025 | Girl,Table_18 | Transition Rate to U.Sec.Edu. 2024-2025 | Total,Table_18 | Transition Rate to U.Sec.Edu. 2024-2025 | Girl,Table_19 | Grade 1 | Promotion,Table_19 | Grade 1 | Repetition,Table_19 | Grade 1 | Dropout,Table_19 | Grade 2 | Promotion,Table_19 | Grade 2 | Repetition,Table_19 | Grade 2 | Dropout,Table_19 | Grade 3 | Promotion,Table_19 | Grade 3 | Repetition,Table_19 | Grade 3 | Dropout,Table_19 | Grade 4 | Promotion,Table_19 | Grade 4 | Repetition,Table_19 | Grade 4 | Dropout,Table_20 | Grade 5 | Promotion,Table_20 | Grade 5 | Repetition,Table_20 | Grade 5 | Dropout,Table_20 | Grade 6 | Promotion,Table_20 | Grade 6 | Repetition,Table_20 | Grade 6 | Dropout,Table_20 | Grade 7 | Promotion,Table_20 | Grade 7 | Repetition,Table_20 | Grade 7 | Dropout,Table_20 | Grade 8 | Promotion,Table_20 | Grade 8 | Repetition,Table_20 | Grade 8 | Dropout,Table_21 | Grade 9 | Promotion,Table_21 | Grade 9 | Repetition,Table_21 | Grade 9 | Dropout,Table_21 | Grade 10 | Promotion,Table_21 | Grade 10 | Repetition,Table_21 | Grade 10 | Dropout,Table_21 | Grade 11 | Promotion,Table_21 | Grade 11 | Repetition,Table_21 | Grade 11 | Dropout,Table_21 | Grade 12 | Promotion,Table_21 | Grade 12 | Repetition,Table_21 | Grade 12 | Dropout
Banteay Meanchey,515,4234,3990,51,151399,76052,3980,1332,4778,2644,1004,263,5782,2907,327,409,55,30,234,0,11,306,457,506,47.6,26,384,81,409,86,323,2257,0,0,10,73,1,3,0,0,17179,8034,991,356,16164,7561,671,251,16564,7836,597,184,17229,8268,399,113,16628,8115,305,71,15404,7829,248,88,12310,6352,221,60,10192,5460,173,61,8666,4728,202,74,6433,3645,72,33,5848,3394,57,18,4943,2912,44,23,16188,13468,99168,9537,12089,7960,31168,4417,6361,4771,17224,1581,9.6,14.2,9.2,93,582,1824,2099,164,16,29,179,291,413,89,3,3,16,28,92,8,0,1314,5957,1138,5426,173,525,3,6,57,150,1240,925,1240,3990,51,180,333,333,333,333,126,155,27076,5560,1.2,15,129,159,43,45,39,61,27,23,514,259,7,2,10,0,55576,15959888,63,171,22,63,67,17045,8213,104326,50475,52916,25758,54569,26552,107.5,106.7,105.4,105.5,294,9.3,11.2,2.6,11.6,7.7,8.2,45.4,2.1,11.3,1.7,31.7,26.2,35.8,37.9,1.1,1.3,12.7,65.5,20.6,11.4,17.4,50.3,3.2,1.9,1,9.6,14.2,9.2,2.2,1.2,0.7,8.3,12,7.6,95,93.5,79,79.6,16.8,14.9,84.8,88.4,73.6,76,92.1,5.9,2.1,94.5,4,1.5,94,3.3,2.7,94.1,2.3,3.6,93.5,1.9,4.6,85.3,1.7,13,81.4,1.8,16.8,84.7,1.7,13.6,75.5,2.3,22.1,85,1.1,13.9,84.6,1,14.4,84,0.9,15.2
Battambang,809,6954,5919,71,235143,117880,10892,3748,6872,4248,1875,687,8747,4935,406,650,94,32,509,0,31,373,736,803,46.3,24.9,681,172,650,155,491,3573,2,6,25,247,3,25,1,9,27878,12837,2866,1064,26063,12102,1904,683,26430,12399,1461,506,27258,13120,1067,316,25909,12933,678,186,22804,11474,538,188,19487,9902,833,243,15859,8520,427,133,12750,7070,575,205,9666,5537,261,88,8371,4941,124,58,8030,4753,158,78,25012,20434,156342,32498,18654,11560,48096,7431,9405,6275,26067,3856,20.8,15.5,14.8,119,729,2028,3567,421,8,48,209,485,878,252,3,8,11,10,19,2,0,1912,8082,1594,7170,312,899,6,13,124,279,1604,978,1604,5919,71,453,476,476,476,476,200,182,19258,4887,1.21,27,263,249,101,115,74,100,42,45,805,462,7,2,2,7,53951,15588541,82,202,36,80,54,21465,10447,128209,62365,64650,31386,69834,33910,105.5,105.6,106,105.9,290.7,8.5,10.8,2.4,10,7.3,8.6,62.9,3.8,9,0.7,34.2,26.9,33.8,39.7,1.2,1.3,9.5,66.5,20.5,11.1,21.4,56.4,5.4,3.8,2.1,20.8,15.5,14.8,3.9,2.3,1.5,19.9,13,12.6,116.5,112.7,95.2,93.5,18.3,17,81.9,85.7,73.1,77.1,84.5,10,5.4,87.3,6.7,6,88.9,5,6.1,90.4,3.8,5.8,89.4,2.7,7.9,86,2.4,11.7,77.9,4.2,17.9,80.4,2.8,16.8,72.7,4.5,22.9,80,2.5,17.5,88.9,1.4,9.7,81.8,2,16.2
Kampong Cham,541,5830,5026,128,205881,103264,10260,3432,5623,3372,1788,696,7411,4068,297,400,81,43,249,0,81,280,497,535,50.4,30,371,81,400,64,336,3096,1,3,72,623,6,28,2,34,22770,10459,2456,909,22126,10208,1880,622,22036,10287,1460,457,22125,10680,1095,326,21147,10255,780,247,19525,9898,620,207,17175,8729,570,146,14691,7825,442,149,12696,6832,407,142,10942,6107,268,102,9188,5386,116,35,8609,5146,166,90,20314,17790,129729,18746,16605,11048,44562,6520,10674,6678,28739,3928,14.5,14.6,13.7,127,1128,1898,2300,169,2,67,434,606,569,111,0,1,38,41,72,5,0,1631,7323,1581,7175,49,143,1,5,68,75,1484,868,1484,5026,128,286,174,174,174,174,144,157,9117,4358,1.2,13,72,53,35,36,33,21,12,22,538,250,8,2,13,12,46857,17881706,24,75,15,16,33,17974,8716,108813,53009,56178,27465,62517,30550,106.2,105.3,104.5,104.6,380.6,10.4,13.7,3,13.5,9.3,10.8,46,15,8.1,1.1,36.6,27.8,35.3,41,1.2,1.3,8.7,63,21.6,14,24.1,54.9,6.4,3.2,1.9,14.5,14.6,13.7,4.5,1.9,1.4,13.6,11.6,11.5,113,109.6,99,97.2,12.4,11.3,85.3,89,83.2,86.6,83.6,10.1,6.2,86.3,7.9,5.8,87.2,6.1,6.7,88.3,4.7,6.9,89.1,3.7,7.2,83.5,3.2,13.3,81.6,3.3,15.1,85,3.1,12,74.2,3.2,22.7,83.4,2.5,14.1,91.4,1.3,7.4,74.4,2,23.7
Kampong Chhnang,392,3010,2656,19,122338,61855,4553,1385,3509,1737,801,239,4310,1976,120,281,61,17,182,1,34,87,372,391,45.8,25.2,327,79,281,48,233,1732,1,4,26,216,7,30,0,0,13242,6266,1221,406,12948,6140,933,314,13199,6255,686,191,13420,6495,497,140,12836,6427,350,95,11563,5764,245,53,9629,5023,187,48,8416,4522,105,30,7431,3955,162,49,5743,3196,85,25,5056,2957,22,2,4549,2722,60,32,12021,11251,77208,11962,9442,6427,25476,3230,5658,4034,15348,1546,15.5,12.7,10.1,54,336,1092,1895,129,3,18,119,225,380,58,1,0,0,3,0,0,0,940,4203,891,4072,49,131,0,0,28,90,635,329,635,2656,19,99,147,147,147,147,95,90,22549,10146,1.13,29,132,134,39,56,46,59,24,24,390,267,10,3,3,0,57032,17152363,32,182,17,20,78,11732,5735,68270,33531,33389,16404,35670,17569,104.6,103.6,103.5,103,312.1,9,11,2.4,10.7,6.8,7.7,46.4,8.7,5.1,0.3,34.9,28.4,40.6,46.1,1.1,1.2,7,63.1,20.8,12.5,18.6,45.8,5.1,1.8,1.1,15.5,12.7,10.1,3.2,0.9,0.7,14.9,10.1,8.9,102.5,102.2,95.9,96.4,6.4,5.6,88.2,91.7,76.7,79.9,90.8,9.2,0,92.2,6.9,1,93.1,4.9,2,94.1,3.7,2.2,94.8,2.9,2.2,93.5,2.3,4.2,85.4,1.9,12.6,85.6,1.2,13.2,85.2,2.2,12.6,83.7,1.4,14.9,90.9,0.4,8.6,79.2,1.4,19.4
Kampong Speu,425,3848,3488,26,172273,86219,5926,1958,4268,1948,906,187,5174,2135,234,316,70,27,231,0,30,222,394,425,47.8,26.4,318,43,316,49,265,2260,2,7,25,229,2,13,1,14,20612,9851,1559,556,19197,9215,984,331,19501,9310,973,297,19884,9688,661,214,18813,9173,518,172,17228,8665,385,143,14523,7421,259,78,11624,6081,186,49,9568,4988,215,61,7224,4006,81,31,6216,3516,46,7,5913,3384,59,19,19053,17150,115235,15232,14264,9161,35715,4481,7143,4956,19353,2144,13.2,12.5,11.1,101,703,1377,1891,194,2,34,176,257,357,82,0,0,7,5,53,2,0,1099,4853,1061,4747,38,106,0,0,54,108,1110,708,1110,3488,26,201,184,184,184,184,107,125,15573,8362,1.09,11,112,200,50,43,67,150,36,30,425,289,8,1,2,0,47925,19011182,59,177,22,33,27,18391,9025,103645,50806,50130,24468,54498,26423,103.8,104,104.9,106.3,405.3,10,12.2,2.6,11.4,8.2,9.1,54.4,7.1,7.3,0,40.4,33.3,44.8,49.4,1.1,1.2,8,66.9,20.7,11.2,17.5,41.3,4.4,1.8,1,13.2,12.5,11.1,3.1,1,0.5,12.4,10.1,9.7,103.6,103,93.3,94.3,10,8.4,87.3,90.6,72.2,76,91.9,7.9,0.2,93.9,5,1.1,93.9,4.8,1.3,94.7,3.4,1.9,93.8,2.9,3.4,87,2.4,10.7,82.4,1.9,15.7,80.3,1.6,18.1,72.4,2.2,25.4,82.3,1.1,16.6,91.2,0.7,8.1,89.9,1.1,9
Kampong Thom,603,4365,3859,66,159998,81703,7918,2552,4394,2502,804,230,5198,2732,216,497,67,25,296,6,52,202,569,600,44.7,23.5,483,115,497,78,409,2570,2,7,50,340,0,0,0,0,20183,9499,2491,870,18633,8969,1537,523,18182,8801,1185,334,18439,9107,807,223,17311,8823,547,158,15079,7774,382,120,12763,6654,358,107,10376,5774,177,64,8688,4728,290,99,6695,3779,70,26,5590,3300,31,8,5534,3234,43,20,17692,15574,107827,15474,12405,7999,31827,4762,6625,4758,17819,2181,14.4,15,12.2,185,452,1618,1929,194,16,29,127,232,346,67,3,1,7,10,30,4,0,1306,5294,1203,5069,101,223,2,2,90,117,1007,579,1007,3859,66,337,149,149,149,149,120,114,15835,7481,1.35,10,160,176,27,49,48,74,17,12,603,556,8,2,7,0,62427,15862664,52,249,25,56,100,16188,7976,92367,45621,44235,21733,47690,23337,103,102.5,103.5,104.4,265.3,7.3,8.6,2.2,8.8,6.4,7.2,49.1,8.6,5.6,0.5,36.4,30.8,36.7,41.5,1.1,1.4,7.6,67.4,19.9,11.1,15.5,52.6,6.4,2.6,0.8,14.4,15,12.2,4.2,1.6,0.5,13.8,12.5,10.3,109.3,108.2,96.2,96.6,12,10.8,88,90.6,77.2,79.9,85.5,12.5,2.1,90.4,8.2,1.4,91.6,6.2,2.2,92.1,4.4,3.4,92.6,3.4,3.9,87.2,2.7,10.1,81.3,2.9,15.9,86.2,1.8,12,83.4,3.4,13.3,88,1.1,10.9,94.2,0.5,5.3,89.5,0.8,9.7
Kampot,420,3325,3277,27,126225,62195,4022,1219,4625,2339,986,219,5611,2558,201,312,77,24,135,0,188,194,398,393,49.2,28.4,357,30,312,63,249,1795,1,3,152,1291,34,159,1,12,14640,6760,991,328,13848,6562,753,243,14517,6814,551,155,14461,6949,324,78,13309,6513,262,51,12497,6103,218,48,10242,5042,280,84,8595,4437,190,67,7689,3880,250,85,5752,3145,81,25,4976,2798,65,27,4683,2703,57,28,13649,11988,83272,16710,9962,6397,26526,3786,5671,4048,15411,1795,20.1,14.3,11.6,113,569,2096,1760,87,0,27,124,399,379,55,2,1,3,11,39,0,0,1045,4865,1014,4773,29,88,2,4,39,60,1136,678,1136,3277,27,160,120,120,120,120,98,56,13312,5370,1.31,6,135,106,35,61,79,74,33,46,417,202,8,2,1,1,56708,16423369,18,65,13,24,23,12660,6173,69533,33881,33524,16300,37114,18187,105.1,105.2,105.7,104.1,300.5,11,13.4,2.5,11.6,7.8,7.9,32.1,44.8,5.2,6.4,27.3,22.5,38,38.5,1,1.4,7,66,21,12.2,17.6,45.6,3.7,2.7,1.3,20.1,14.3,11.6,2.3,1.8,0.9,19.3,11.8,10.6,107.8,104.2,94.7,92.7,12.2,11,88.5,90.7,73.7,79,91.7,6.9,1.4,93.7,5.1,1.3,94,3.7,2.3,94.1,2.3,3.5,95.1,2,2.9,86.1,1.9,11.9,81.3,2.7,15.9,83.7,2.1,14.2,78.4,3.2,18.4,81.7,1.3,17,91.9,1.3,6.8,85.7,1.2,13.1
Kandal,551,6144,5697,180,270436,134398,14502,4827,7345,4223,1555,421,8900,4644,255,373,100,42,269,0,135,219,476,544,49.9,29.5,412,106,373,85,282,2886,8,27,108,1244,15,91,4,81,26153,11797,3561,1248,29267,13598,2777,976,30214,14292,2352,763,30410,14710,1842,606,28801,14019,1296,408,25086,12520,779,232,21949,11084,643,190,18358,9791,383,109,16056,8426,397,113,13487,7283,234,90,12841,7215,93,31,12179,6843,145,61,22592,19742,169931,40179,21306,13162,56363,9129,13253,9045,38507,4914,23.6,16.2,12.8,234,1072,2566,3130,340,3,63,253,465,621,151,2,1,2,47,40,2,0,1707,8351,1654,8141,53,210,0,0,112,186,1447,1025,1447,5697,180,526,437,437,437,437,154,134,26038,17168,1.14,26,119,111,57,79,72,75,41,42,548,296,7,2,11,9,47190,22970869,29,46,10,7,29,24458,11956,137423,67394,65209,31940,70585,34262,104.6,103.9,104.2,106,490.8,13.3,16.2,3.1,15.2,10.3,11.2,48.8,24.5,13.6,1.3,36.8,30.4,44,47.5,1.1,1.2,7.6,62.8,20.8,14.2,17.5,52.2,7.4,2.5,1.2,23.6,16.2,12.8,5.2,1.4,0.9,23.6,12.7,10.8,92.4,88.2,80.7,78.7,12.6,10.8,91,94,82.3,85.7,86.1,11.6,2.3,89.9,9,1.2,91.1,7.5,1.4,91.9,6.2,1.9,92.5,4.9,2.6,94.6,3.3,2.1,84.6,3,12.4,88,2.2,9.9,84.2,2.5,13.3,87.4,1.6,11,92.5,0.7,6.8,83,1.3,15.7
Kep,30,245,267,6,8963,4400,344,95,456,254,114,29,570,283,22,22,4,2,8,0,5,20,25,29,46.7,25.6,27,2,22,6,16,115,0,0,5,43,0,0,0,0,1063,483,61,21,958,439,65,18,998,490,53,16,1047,506,53,16,959,452,29,5,887,458,26,6,751,355,23,3,536,289,12,6,492,223,12,2,398,214,5,0,314,196,4,2,312,164,1,0,1002,885,5912,874,728,496,1779,232,393,291,1024,100,14.8,13,9.8,0,25,193,219,19,0,1,5,44,55,9,0,0,0,0,0,0,0,96,547,96,547,0,0,0,0,2,6,72,77,72,267,6,12,8,8,8,8,6,11,13792,1800,1.41,0,14,9,3,2,11,13,0,0,30,25,8,2,0,0,57136,16228597,3,13,2,5,1,963,462,5284,2594,2462,1217,2601,1275,100.2,106.9,110.6,104.2,298.8,15.2,19,3.2,18.2,8.9,8.2,26.7,16.7,16.7,3.3,19.7,15.7,36.6,33.6,0.9,1.5,12.7,66,19.8,11.4,20,49.6,4.9,2.6,1,14.8,13,9.8,2.9,1.3,0.3,14,9.2,6.8,104.1,100.1,91.9,89.7,11.7,10.4,87.6,87.3,86,91.5,92.1,6.3,1.6,93.3,6.4,0.3,93.7,5,1.3,91.4,5.2,3.4,91.1,3.1,5.8,91.2,3.1,5.7,79.4,3.5,17.1,85.7,2.1,12.1,76.1,2.6,21.2,84.2,1.4,14.4,95.1,1.2,3.7,92,0.3,7.7
Koh Kong,139,1061,890,10,28366,13956,821,272,1242,617,208,65,1450,682,76,103,19,13,70,0,4,72,131,139,42.2,20.8,120,10,103,23,79,538,0,0,4,31,0,0,0,0,3552,1663,242,96,3146,1445,177,55,3202,1546,110,35,3052,1457,71,18,2857,1450,33,13,2651,1283,6,1,2215,1083,54,14,1862,953,42,18,1656,844,51,11,1322,692,22,5,1094,610,2,1,1128,627,11,5,3310,2313,18460,3625,2161,1101,5733,1261,1300,772,3544,700,19.6,22,19.8,23,108,763,333,15,0,0,25,113,58,12,0,0,4,1,0,1,0,290,1319,238,1189,52,130,0,0,6,24,282,147,282,890,10,26,30,30,30,30,39,43,12209,5381,1.49,1,35,32,7,8,11,11,2,1,139,71,8,2,2,0,73062,13961017,7,21,3,7,1,2518,1294,14899,7601,7365,3685,7723,3849,94.6,96,99.9,100.7,204.1,8.9,10.4,2.1,9.5,6.4,7.6,50.4,2.9,5.8,0,22.8,19.6,26.7,31.9,1.2,1.6,11.8,65.1,20.2,12.5,14.3,47,3.5,2.6,1,19.6,22,19.8,2.5,1.5,0.6,17.9,18.4,17.8,131.4,121.1,91.9,87.5,30.1,27.8,93.4,97.5,78,82.2,91.5,7.7,0.8,92.8,5.6,1.6,96,3.6,0.4,96.9,2.4,0.7,97.3,1.2,1.5,88.3,0.3,11.5,83.3,2.5,14.2,86.4,2.3,11.3,83.4,3.1,13.5,82.2,1.7,16.1,94.8,0.2,5,71.2,1,27.8
