Province,,Schools,Classes,Enrollment_Total,Enrollment_Girl,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Govern_Staff,Foreigner_Staff_Total,Foreigner_Staff_Female,Buildings,Rooms,Classrooms,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,Total_PostGrad,Total_PhD,NT_Primary,Female_LSec,Female_USec,Female_Graduate,Female_PostGrad,Female_PhD,NoPed_Primary,NoPedTrain_LSec,NoPedTrain_USec,NoPedTrain_Graduate,NoPedTrain_PostGrad,NoPedTrain_PhD,Grade_1_Promotion,Grade_1_Repetition,Grade_1_Dropout,Grade_2_Promotion,Grade_2_Repetition,Grade_2_Dropout,Grade_3_Promotion,Grade_3_Repetition,Grade_3_Dropout,Grade_4_Promotion,Grade_4_Repetition,Grade_4_Dropout,Grade_5_Promotion,Grade_5_Repetition,Grade_5_Dropout,Grade_6_Promotion,Grade_6_Repetition,Grade_6_Dropout,Grade_7_Promotion,Grade_7_Repetition,Grade_7_Dropout,Grade_8_Promotion,Grade_8_Repetition,Grade_8_Dropout,Grade_9_Promotion,Grade_9_Repetition,Grade_9_Dropout,Grade_10_Promotion,Grade_10_Repetition,Grade_10_Dropout,Grade_11_Promotion,Grade_11_Repetition,Grade_11_Dropout,Grade_12_Promotion,Grade_12_Repetition,Grade_12_Dropout
Banteay Meanchey,2018,121,894,21942,10611,1053,580,252,113,269,49,25,132,1382,703,3270,1518,157,64,2972,1444,85,24,2594,1200,63,18,2166,1044,14,5,1829,901,16,6,1501,772,12,4,1229,602,12,4,904,421,9,3,784,398,16,4,515,276,0,0,427,215,1,0,358,167,7,1,21942,10611,392,133,0,38,430,554,31,0,0,29,265,280,6,0,0,8,50,51,1,0,90.7,4.8,4.5,87.0,2.9,10.2,83.2,2.4,14.4,84.4,0.6,15.0,81.9,0.9,17.2,81.7,0.8,17.5,73.3,1.0,25.7,86.6,1.0,12.4,65.1,2.0,32.9,82.9,0.0,17.1,83.8,0.2,16.0,67.7,2.0,30.3
Battambang,2018,45,406,8804,4371,779,488,165,82,552,38,27,57,632,361,1028,487,3,0,828,386,8,0,689,352,10,4,620,310,5,1,608,312,7,0,575,292,4,2,545,277,14,2,547,250,9,1,569,286,14,2,540,285,5,3,529,284,2,1,453,245,17,7,8804,4371,98,23,12,31,228,467,40,1,12,19,169,274,14,0,0,1,5,8,0,0,80.5,0.3,19.2,83.0,1.0,16.0,89.9,1.4,8.7,98.1,0.8,1.1,94.5,1.2,4.3,94.8,0.7,4.6,97.4,2.6,0.0,98.4,1.6,0.0,94.8,2.5,2.7,98.0,0.9,1.1,85.6,0.4,14.0,81.2,3.8,15.0
Kampong Cham,2018,25,158,4010,1969,214,130,34,14,54,7,6,52,295,140,545,278,32,10,528,253,27,13,455,215,17,6,337,145,8,3,381,177,0,0,286,145,4,4,159,72,2,1,142,66,2,0,106,54,0,0,89,48,1,0,71,33,0,0,58,28,0,0,4010,1969,93,37,5,23,74,103,9,0,1,17,59,53,0,0,0,0,3,8,0,0,94.1,5.9,0.0,85.7,5.1,9.2,73.2,3.7,23.1,97.6,2.4,0.0,75.1,0.0,24.9,55.0,1.4,43.6,89.2,1.3,9.6,74.3,1.4,24.3,84.0,0.0,16.0,79.6,1.1,19.3,81.7,0.0,18.3,65.9,0.0,34.1
Kampong Chhnang,2018,25,190,4505,2055,356,242,87,46,132,13,9,51,326,183,499,261,3,1,426,191,3,1,246,121,0,0,278,124,0,0,254,119,0,0,202,89,0,0,211,80,5,1,182,68,0,0,215,82,1,0,119,36,2,0,165,75,0,0,176,73,1,1,4505,2055,15,4,0,17,195,140,3,1,0,12,147,82,1,0,0,0,9,11,0,0,85.3,0.6,14.1,57.5,0.7,41.8,100.0,0.0,0.0,91.4,0.0,8.6,79.5,0.0,20.5,100.0,0.0,0.0,86.0,2.4,11.6,100.0,0.0,0.0,55.1,0.5,44.4,98.3,1.7,0.0,100.0,0.0,0.0,99.4,0.6,0.0
Kampong Speu,2018,50,328,8134,4179,444,279,109,41,116,49,36,67,517,296,1091,552,29,12,825,412,21,7,741,376,12,5,626,312,5,3,502,261,9,4,491,276,18,13,288,133,4,1,246,118,2,2,206,121,1,0,105,55,0,0,58,30,0,0,38,19,0,0,8134,4179,101,47,4,20,130,271,19,0,2,16,93,159,9,0,0,0,2,13,1,0,75.0,2.7,22.3,89.6,2.6,7.8,84.3,1.6,14.1,80.0,0.8,19.2,97.8,1.8,0.4,57.2,3.7,39.1,85.2,1.4,13.4,83.6,0.8,15.6,50.7,0.5,48.8,55.2,0.0,44.8,65.5,0.0,34.5,36.2,0.0,63.8
Kampong Thom,2018,15,58,1699,754,110,71,34,18,64,7,7,38,166,58,233,91,1,0,191,84,1,0,208,106,0,0,147,68,0,0,151,63,0,0,119,55,0,0,71,26,0,0,83,41,0,0,56,22,3,1,55,25,0,0,29,19,0,0,14,6,0,0,1699,754,5,1,2,2,31,70,5,0,2,2,26,40,1,0,0,0,0,1,0,0,81.9,0.4,17.7,99.5,0.5,0.0,70.7,0.0,29.3,100.0,0.0,0.0,78.8,0.0,21.2,59.7,0.0,40.3,100.0,0.0,0.0,67.5,0.0,32.5,94.6,5.4,0.0,52.7,0.0,47.3,48.3,0.0,51.7,25.5,0.0,74.6
Kampot,2018,48,296,9588,5022,543,304,61,32,182,66,40,69,465,287,2074,1079,48,30,1230,632,27,13,877,491,30,18,797,418,10,5,697,369,8,3,559,296,4,0,565,307,7,5,388,219,0,0,384,201,1,0,369,184,0,0,304,153,0,0,346,174,23,11,9588,5022,158,85,12,104,147,259,21,0,1,75,81,143,4,0,2,6,9,30,0,0,58.4,2.3,39.3,70.7,2.2,27.1,90.7,3.4,5.9,87.4,1.2,11.4,79.9,1.2,18.9,99.3,0.7,0.0,68.3,1.2,30.5,99.0,0.0,1.0,96.0,0.3,3.7,82.4,0.0,17.6,100.0,0.0,0.0,75.8,6.6,17.6
Kandal,2018,63,419,10697,5119,694,395,284,146,353,68,48,79,1129,362,1586,815,103,39,1172,580,93,32,892,437,51,18,788,375,35,12,688,338,15,4,557,289,19,4,757,294,6,2,620,243,5,4,526,225,3,1,407,182,3,2,380,173,3,0,350,167,10,7,10697,5119,346,125,22,47,201,389,30,5,13,37,144,187,11,3,10,1,6,9,0,0,72.5,6.5,21.0,74.8,7.9,17.3,88.0,5.7,6.3,87.0,4.4,8.6,80.6,2.2,17.2,96.6,3.4,0.0,81.8,0.8,17.4,84.7,0.8,14.5,77.2,0.6,22.2,93.4,0.7,5.9,92.0,0.8,7.2,84.4,2.9,12.7
Kep,2018,4,18,836,446,24,14,5,4,2,8,4,8,20,18,289,143,0,0,102,56,0,0,90,55,0,0,104,64,0,0,82,46,0,0,48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,446,0,0,11,0,7,6,0,0,8,0,3,3,0,0,1,0,0,1,0,0,35.3,0.0,64.7,88.2,0.0,11.8,100.0,0.0,0.0,78.8,0.0,21.2,58.5,0.0,41.5,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Koh Kong,2018,18,110,3259,1674,188,99,24,11,44,13,11,39,186,105,732,364,12,2,577,294,20,6,395,201,1,0,373,196,3,0,282,137,3,3,235,145,0,0,137,57,0,0,117,56,1,0,78,34,0,0,17,7,0,0,0,0,0,0,0,0,0,0,3259,1674,40,11,0,29,137,21,1,0,0,16,76,7,0,0,0,0,5,2,0,0,78.5,1.6,19.9,67.4,3.5,29.1,94.5,0.2,5.3,75.4,0.8,23.8,83.1,1.1,15.8,58.3,0.0,41.7,85.4,0.0,14.6,66.4,0.8,32.8,21.8,0.0,78.2,0.0,0.0,100.0,,,,,,
Kratie,2018,8,44,1499,880,14,13,15,4,8,15,8,3,9,44,764,463,11,9,276,174,0,0,156,91,2,1,80,46,0,0,43,20,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,880,13,10,0,1,4,8,1,0,0,1,3,8,1,0,0,0,0,0,0,0,35.2,1.4,63.4,56.5,0.0,43.5,50.7,1.3,48.0,53.8,0.0,46.2,41.9,0.0,58.1,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Mondul Kiri,2018,5,17,345,140,20,17,16,12,1,3,1,4,23,17,66,19,0,0,43,15,0,0,29,9,0,0,30,13,0,0,23,13,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,140,0,0,0,6,7,6,1,0,0,6,7,3,1,0,0,0,0,0,0,0,65.2,0.0,34.8,67.4,0.0,32.6,100.0,0.0,0.0,76.7,0.0,23.3,60.9,0.0,39.1,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Otdar Meanchey,2018,6,45,1473,662,35,25,5,3,0,0,0,9,37,29,314,130,8,4,248,120,4,1,170,70,6,3,197,100,0,0,165,77,0,0,107,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,662,18,8,1,4,28,2,0,0,1,4,19,1,0,0,0,1,2,0,0,0,78.4,2.6,19.0,68.1,1.6,30.3,96.5,3.5,0.0,83.8,0.0,16.2,64.8,0.0,35.2,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Pailin,2018,18,105,2245,1098,151,113,45,16,24,3,1,36,234,93,425,195,14,5,313,158,6,1,262,127,1,0,191,98,1,0,188,101,5,1,148,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245,1098,27,7,0,11,50,88,2,0,0,10,38,65,0,0,0,1,8,5,0,0,72.9,3.3,23.8,83.4,1.9,14.7,72.8,0.4,26.8,98.4,0.5,1.0,78.2,2.7,19.1,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
