,type,Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
0,public,Banteay Meanchey,2018,818,4598,4782,2440,888,210,18465,8748,1074,412,17049,8062,817,256,16656,7974,576,211,16637,7984,400,131,14577,7185,229,80,13516,6902,164,46,10773,5671,236,55,8656,4605,135,31,7348,3969,195,57,4956,2818,30,8,4061,2188,24,10,3272,1781,171,74,135966,67887,4051,1371,49,779,2697,1188,51,0,3.3,3.7,2.0,6.4,3.4,6.4,17.3,14.0,18.4,13.8,9.6,39.7
1,public,Battambang,2018,1133,7494,6946,4165,1811,672,34641,16139,4037,1512,31386,14626,2462,852,29023,13746,1708,607,27697,13171,1124,383,25906,12794,673,224,23060,11620,498,163,18079,9334,575,163,13659,7482,301,90,11634,6218,458,177,8003,4458,88,31,6338,3554,72,28,5290,3077,248,132,234716,116219,12244,4362,79,1132,3450,2146,145,5,4.5,3.6,5.7,5.2,6.3,8.6,19.9,16.5,17.0,16.4,11.3,29.3
2,public,Kampong Cham,2018,804,5846,5835,3390,1695,659,27237,12570,3946,1498,25534,11826,2868,1055,24421,11297,2210,773,23122,11100,1715,579,21483,10654,1221,435,19640,9948,747,266,16675,8572,546,200,13596,7492,370,98,11868,6497,377,119,9011,5093,175,54,7188,4100,40,9,6228,3458,329,149,206003,102607,14544,5235,127,1713,3043,914,38,0,4.2,4.7,4.6,4.6,4.4,4.9,16.6,15.2,17.2,18.1,9.5,38.1
3,public,Kampong Chhnang,2018,466,3220,3498,1682,700,188,13264,6211,1395,502,12580,5995,1002,307,12692,6023,838,283,12748,6269,566,187,11976,5980,318,99,11014,5643,213,59,9456,4920,226,57,8017,4285,124,31,6923,3854,159,45,5024,2800,39,11,4075,2292,21,7,3461,1917,179,88,111230,56189,5080,1676,19,595,1912,932,40,0,1.4,2.0,2.2,3.0,2.7,4.0,14.1,15.1,15.7,17.3,10.2,34.6
4,public,Kampong Speu,2018,603,4162,4471,1957,742,129,19320,9030,1679,647,18429,8671,1210,440,18766,8879,915,322,19278,9461,615,222,18015,8938,430,187,17066,8617,497,182,13442,6760,181,44,11290,5972,83,15,9302,4773,217,65,6336,3227,19,2,4967,2559,9,0,4125,2092,76,31,160336,78979,5931,2157,53,921,2174,1276,47,0,2.0,1.2,2.8,3.5,4.9,3.5,19.2,18.6,22.7,20.3,10.4,13.7
5,public,Kampong Thom,2018,782,4593,4435,2429,731,179,20195,9510,2600,1052,17887,8373,1713,629,17260,8287,1307,475,16184,7946,805,270,15067,7666,556,193,13972,7157,352,125,12478,6801,428,150,9677,5261,133,41,8348,4592,254,91,6047,3347,37,9,4964,2801,30,9,3952,2189,87,43,146031,73930,8302,3087,63,669,2396,1232,75,0,4.6,3.7,5.9,6.1,6.4,5.3,17.6,13.0,12.9,12.8,6.0,23.9
6,public,Kampot,2018,608,3699,4747,2325,938,189,14257,6505,1212,415,13208,6179,681,229,13185,6234,599,206,12943,6191,366,122,12796,6193,271,96,12146,6077,202,58,10412,5223,262,63,9516,4933,133,31,8312,4280,307,76,6241,3226,71,19,5176,2694,34,9,4546,2311,91,42,122738,60046,4229,1366,101,828,2642,1125,51,0,2.2,2.3,4.4,3.0,5.7,5.7,17.3,17.2,17.1,17.8,9.0,20.5
7,public,Kandal,2018,748,6547,7246,4002,1482,412,29530,13885,3777,1413,27462,12497,2796,963,27160,12455,2310,830,27162,12834,1774,639,25747,12471,1208,437,22627,11131,777,227,19165,9614,634,160,15755,8302,293,112,13575,7309,355,98,10959,6109,118,34,8999,4998,59,22,7454,4063,422,185,235595,115668,14523,5120,130,1438,3424,2111,143,0,1.0,1.7,3.3,2.9,4.4,3.5,15.4,13.7,15.5,12.9,6.4,27.4
8,public,Kep,2018,50,272,455,239,92,15,1041,510,94,41,921,428,49,13,878,437,47,20,859,450,34,15,728,364,17,4,677,334,22,7,620,310,29,9,505,252,5,3,481,231,17,5,368,195,7,2,377,197,1,0,325,180,2,1,7780,3888,324,120,0,21,273,158,3,0,,,0.9,6.5,7.8,10.8,22.2,20.6,17.9,9.5,8.5,4.7
9,public,Koh Kong,2018,218,1113,1074,484,164,45,3272,1546,258,98,3080,1424,160,57,2734,1299,109,44,2679,1292,51,20,2519,1246,31,10,2405,1199,18,9,2013,1041,17,8,1645,840,15,4,1478,729,56,15,1101,509,5,0,824,367,1,0,685,343,16,9,24435,11835,737,274,12,141,753,150,1,0,7.7,8.6,6.4,8.1,0.0,6.7,14.5,11.8,20.2,14.4,4.4,70.5
